tingkat,provinsi,kabupaten,dinas,bpp,penyuluh
"kabupaten","PAPUA BARAT","TELUK WONDAMA","Dinas Pertanian dan Pangan","13","54"
"kabupaten","PAPUA BARAT","TELUK BINTUNI","DINAS PERTANIAN","3","80"
"kabupaten","PAPUA BARAT","MANOKWARI","DINAS PERTANIAN DAN KETAHANAN PANGAN","9","154"
"kabupaten","PAPUA BARAT","SORONG SELATAN","Kantor Pelaksana Penyuluhan dan Ketahanan Pangan","1","3"
"kabupaten","PAPUA BARAT","SORONG","Dinas Tanaman Pangan Hortikultura dan Perkebunan Kabupaten Sorong","10","75"
"kabupaten","PAPUA BARAT","RAJA AMPAT","Dinas Ketahanan Pangan dan Pertanian","2","7"
"kabupaten","PAPUA BARAT","TAMBRAUW","Dinas Pertanian Kabupaten Tambrauw, Bidang Penyuluhan","5","33"
"kabupaten","PAPUA BARAT","MAYBRAT","Dinas Pertanian dan Perkebunan","4","2"
"kabupaten","PAPUA BARAT","KOTA SORONG","DINAS PERTANIAN KOTA SORONG","1","21"
"kabupaten","PAPUA BARAT","PEGUNUNGAN ARFAK","Dinas Pertanian dan Ketahanan Pangan","2","9"
"kabupaten","PAPUA BARAT","MANOKWARI SELATAN","DINAS KETAHANAN PANGAN DAN PERTANIAN","2","18"
"provinsi","PAPUA","","Dinas Pertanian dan Pangan Provinsi Papua","148","1"
"kabupaten","PAPUA","MERAUKE","Dinas Tanaman Pangan, Hortikultura dan Perkebunan","9","76"
"kabupaten","PAPUA","JAYAWIJAYA","DINAS PERTANIAN","12","68"
"kabupaten","PAPUA","JAYAPURA","Dinas Tanaman Pangan dan Hortikultura Kabupaten Jayapura","7","36"
"kabupaten","PAPUA","NABIRE","Dinas Pertanian","7","46"
"kabupaten","PAPUA","KEPULAUAN YAPEN","Dinas Pertanian","7","53"
"kabupaten","PAPUA","BIAK NUMFOR","Dinas Pertanian dan Ketahanan Pangan","10","69"
"kabupaten","PAPUA","PANIAI","DINAS PERTANIAN, PERKEBUNAN DAN PETERNAKAN","2","130"
"kabupaten","PAPUA","PUNCAK JAYA","Dinas Pertanian dan Perikanan","2","16"
"kabupaten","PAPUA","MIMIKA","DINAS PERTANIAN TANAMAN PANGAN HOLTIKULTURA DAN PERKEBUNAN","4","36"
"kabupaten","PAPUA","BOVEN DIGOEL","Dinas Tanaman Pangan Hortikultura, Peternakan Dan Perikanan","7","51"
"kabupaten","PAPUA","MAPPI","Dinas Pertanian Kabupaten Mappi","4","41"
"kabupaten","PAPUA","ASMAT","Dinas Tanaman Pangan dan Pertanian","7","83"
"kabupaten","PAPUA","YAHUKIMO","Dinas Pertanian dan Perikanan","6","23"
"kabupaten","PAPUA","PEGUNUNGAN BINTANG","Dinas Pertanian Dan Perikanan","11","69"
"kabupaten","PAPUA","TOLIKARA","Dinas Pertanian dan Perikanan","0","0"
"kabupaten","PAPUA","SARMI","Dinas Pertanian","6","36"
"kabupaten","PAPUA","KEEROM","Dinas Pertanian","7","107"
"kabupaten","PAPUA","WAROPEN","Dinas Pertanian, Perkebunan dan Ketahanan Pangan","10","50"
"kabupaten","PAPUA","SUPIORI","Dinas Pertanian dan Ketahanan Pangan","5","26"
"kabupaten","PAPUA","MAMBERAMO RAYA","Dinas Pertanian dan Ketahanan Pangan","2","23"
"kabupaten","PAPUA","NDUGA","Dinas Pertanian dan Ketahanan Pangan","2","3"
"kabupaten","PAPUA","LANNY JAYA","Dinas Pertanian dan Perikanan","8","16"
"kabupaten","PAPUA","MAMBERAMO TENGAH","Dinas Pertanian","0","0"
"kabupaten","PAPUA","YALIMO","Dinas Pertanian dan Pangan","4","0"
"kabupaten","PAPUA","PUNCAK","Dinas Pertanian Dan Perkebunan","0","0"
"kabupaten","PAPUA","DOGIYAI","Dinas Pertanian dan Perkebunan","4","19"
"kabupaten","PAPUA","INTAN JAYA","Pertanian dan Perkebunan","1","14"
"kabupaten","PAPUA","DEIYAI","DINAS PERTANIAN","2","20"
"kabupaten","PAPUA","KOTA JAYAPURA","Dinas Ketahanan Pangan dan Pertanian Kota Jayapura","2","11"
