parameter_kunci,jml_varian,varian,jml_baris,jml_produk,jml_satuan,satuan_terbanyak
trichoderma koningii,1,Trichoderma koningii (1),1,1,1,CFU/g (1)
trichoderrma harzianum,1,Trichoderrma harzianum (1),1,1,1,CFU/g (1)
"ukuran (1 mm - 3,35 mm)",1,"Ukuran (1 mm - 3,35 mm) (1)",1,1,1,% (1)
"ukuran (1,00 mm - 3,35 mm)",1,"Ukuran (1,00 mm - 3,35 mm) (1)",1,1,1,% (1)
"ukuran 1 mm - 3,35 mm",1,"Ukuran 1 mm - 3,35 mm (1)",1,1,1,% (1)
"ukuran 1,00 -3,35 mm",1,"Ukuran 1,00 -3,35 mm (1)",1,1,1,% (1)
"ukuran 1,00 mm- 3,35 mm",1,"Ukuran 1,00 mm- 3,35 mm (1)",1,1,1,% (1)
"ukuran 1,00 mm-3,35 mm",1,"Ukuran 1,00 mm-3,35 mm (1)",1,1,1,% (1)
"ukuran 2,0 mm - 4,75 mm",1,"Ukuran 2,0 mm - 4,75 mm (1)",1,1,1,% (1)
"ukuran 2,00 mm - 4,74 mm",1,"Ukuran 2,00 mm - 4,74 mm (1)",1,1,1,% (1)
"ukuran butir 1,00mm - 3,35mm",1,"Ukuran Butir 1,00mm - 3,35mm (1)",1,1,1,% (1)
"ukuran butir 2,8-3,2 mm",1,"Ukuran Butir 2,8-3,2 mm (1)",1,1,1,% (1)
"ukuran butir 2,8-3,2mm",1,"Ukuran Butir 2,8-3,2mm (1)",1,1,1,% (1)
"ukuran butiran (1,00-3,35mm)",1,"Ukuran Butiran (1,00-3,35mm) (1)",1,1,1,% (1)
"ukuran diameter butir (2,8-3,2 mm)",1,"Ukuran diameter butir (2,8-3,2 mm) (1)",1,1,1,% (1)
"ukuran partikel 1- 3,35 mm",1,"Ukuran partikel 1- 3,35 mm (1)",1,1,1,% (1)
"ukuran: - 1,00 mm - 3,35 mm",1,"Ukuran: - 1,00 mm - 3,35 mm (1)",1,1,1,% (1)
yeast,1,Yeast (1),1,1,1,CFU/ml (1)
zinc,1,Zinc (1),1,1,1,% (1)
zinck,1,Zinck (1),1,1,1,% (1)
zink,1,Zink (1),1,1,1,% (1)
zn (na2znedta),1,Zn (Na2ZnEDTA) (1),1,1,1,% (1)
zn (nazn-edta),1,Zn (NaZn-EDTA) (1),1,1,1,% (1)
zn - total,1,Zn - Total (1),1,1,1,ppm (1)
zn so4,1,Zn SO4 (1),1,1,1,% (1)
zn-edta,1,Zn-EDTA (1),1,1,1,% (1)
znso4.7h2o,1,ZnSO4.7H2O (1),1,1,1,% (1)
