principal,total_pupuk,Hara Majemuk,Organik & Humat,Hayati,Hara Tunggal/An-organik,Pembenah Tanah/Amelioran,Makro-Mikro Campuran,Tidak Tercantum
BAROKAH TANI JAYA BERSAMA,1,0,0,0,0,0,0,1
DAKSA YEKTI PRATAMA,1,0,1,0,0,0,0,0
DAVIANDRA NIAGA NUSANTARA,1,0,0,0,0,1,0,0
AGRIMAS CITRA MANDIRI,1,0,1,0,0,0,0,0
KARUNIA AGRI UTAMA,1,0,0,0,0,0,0,1
MATAHARI AGRI BERSAMA,1,1,0,0,0,0,0,0
PT Agri Timur Mas,1,1,0,0,0,0,0,0
AL HADID DUA PULUH,1,1,0,0,0,0,0,0
MAULANA WIJAYA MANDIRI,1,0,1,0,0,0,0,0
PRODUKSI TERNAK MAJU SEJAHTERA,1,0,1,0,0,0,0,0
AGRO TANI PERTIWI,1,1,0,0,0,0,0,0
POLARIS ORBIT INDONESIA,1,0,1,0,0,0,0,0
MEKAR TANI SUKSES,1,0,0,0,0,0,0,1
HIDAYAH AGRO MULYA,1,0,0,1,0,0,0,0
PT. KK Indonesia,1,0,0,1,0,0,0,0
PT KREASI SADAWIRA UTAMA,1,0,0,0,1,0,0,0
GEMA FAJAR NUSANTARA,1,0,0,1,0,0,0,0
CV.PETRO INTI PERKASA,1,0,0,0,0,1,0,0
CV. SUMBER USAHA ABADI,1,0,0,0,0,1,0,0
BIOCHEM INTI GLOBAL,1,0,1,0,0,0,0,0
ZAHRA INDO GREEN FARMERS,1,0,0,0,0,1,0,0
WASTEX TECHNOLOGY INDONESIA,1,0,0,0,0,1,0,0
TANI AGRI SUKSES,1,0,0,0,0,0,0,1
ANUGRAH LESTARI INDONESIA,1,0,1,0,0,0,0,0
PT. Zamrud Bumi Indonesia,1,0,1,0,0,0,0,0
UD. KASIHAN JAYA,1,0,0,0,0,1,0,0
PROFARM FERTILINDO,1,1,0,0,0,0,0,0
BINA ZHINOFA INDUSTRI,1,0,0,0,0,0,0,1
AUMA MAJU JAYA,1,0,0,0,1,0,0,0
ANEKA FLORA INDONESIA,1,0,0,0,0,0,0,1
AGRO BERKAH MANDIRI JAYA,1,0,1,0,0,0,0,0
CV ANANTA WINANGUN,1,0,1,0,0,0,0,0
CV TOYOPAMA,1,0,1,0,0,0,0,0
SATRIA GUNUNG SAKTI,1,1,0,0,0,0,0,0
ZEO BENT AGRO,1,0,0,0,0,1,0,0
YORIYUSAKIFA YUKI KOMPOS,1,0,1,0,0,0,0,0
LEMBAH NUSA ALAM,1,0,0,0,0,0,0,1
SURYA BAHARI PERSADA,1,0,0,1,0,0,0,0
MAKASSAR AGRO MANDIRI,1,0,1,0,0,0,0,0
TELSAP UTAMA,1,0,1,0,0,0,0,0
TERRA BARU INDONESIA,1,0,0,0,0,1,0,0
CIPTA ALAM MUKTI,1,0,0,1,0,0,0,0
JEMBATAN MERAH INDAH,1,0,0,1,0,0,0,0
ASRI JAYA RAYA,1,0,0,0,0,1,0,0
PT. ARTHASIDDHI SUKSES ANUGERAH,1,0,1,0,0,0,0,0
ARYSTA LIFESCIENCE TIRTA,1,0,0,0,1,0,0,0
SEKAR SARI JAYA,1,1,0,0,0,0,0,0
SRI DIPO NUSWANTORO,1,0,0,0,0,0,0,1
MENARA AGRO PRIMA,1,0,0,0,0,1,0,0
AGRO MUJIZAT INTEGRASI NUSANTARA,1,0,1,0,0,0,0,0
LENTERA KENCANA ABADI,1,1,0,0,0,0,0,0
CV. Bunga Agro Lestari,1,0,0,0,0,0,0,1
SAMUDRA PUTRA SEJAHTERA,1,0,0,0,0,1,0,0
BUNGA AGRO LESTARI,1,1,0,0,0,0,0,0
SARI TANI,1,0,0,0,0,1,0,0
BUMI MAKMUR SEJAHTERA LAMONGAN,1,0,1,0,0,0,0,0
CHRISTDO TITIAN JAYA,1,0,0,1,0,0,0,0
BLANG RAYA INDO,1,0,0,0,0,0,0,1
SINAR BUKIT SIAUR,1,0,0,0,0,1,0,0
AGRI NUSA TANI,1,0,0,1,0,0,0,0
PUTRA MAKMUR BERJAYA,1,0,0,0,0,1,0,0
TRASH FORMER INDONESIA,1,0,1,0,0,0,0,0
PETERNAKAN MAJU BERSAMA,1,0,0,1,0,0,0,0
SUSIANTO TANUDJAJA,1,0,0,0,0,1,0,0
BIO ENERGI RIMBA,1,0,1,0,0,0,0,0
ARPINDO PERKASA,1,0,1,0,0,0,0,0
AGROJAYA LESTARI,1,0,0,0,0,0,0,1
SUWARNI GLOBAL PERSADA,1,0,0,0,1,0,0,0
JAVA INDAH,1,0,0,0,0,0,0,1
GHM FARM TECH,1,0,1,0,0,0,0,0
NAGAMAS ARIF SEJATI,1,0,1,0,0,0,0,0
FERTILE ECOGREEN INDONESIA,1,0,1,0,0,0,0,0
SARI SUBUR LANGGENG JAYA,1,0,0,1,0,0,0,0
J.J TIGA PUTRI AGRICA,1,0,0,0,0,0,0,1
MEGA KARYA GRESIK,1,0,0,0,0,1,0,0
KOPERASI PRODUSEN KARYA NUGRAHA JAYA KUNINGAN,1,0,1,0,0,0,0,0
RIAU TANI BERSATU,1,0,0,1,0,0,0,0
KEMINDO INTERNATIONAL,1,0,1,0,0,0,0,0
PETROKIMIA GRESIK INDONESIA,1,1,0,0,0,0,0,0
REJEKI AGRO INDONESIA,1,0,1,0,0,0,0,0
PT FIRDAUS BERJAYA INDAH,1,0,0,0,0,0,0,1
FIDEC CIRCLE INDONESIA,1,0,0,1,0,0,0,0
DUA RODA AGRO TERPADU,1,0,1,0,0,0,0,0
DJUARA TANI NUSANTARA,1,0,1,0,0,0,0,0
PARAMA AGROINDUSTRI DANAPATI,1,1,0,0,0,0,0,0
PUTRA SIHOBON JAYA,1,0,1,0,0,0,0,0
CV. KIAT AGRO MANDIRI,1,0,0,0,0,1,0,0
HARVANITA AGRO NUSA,1,1,0,0,0,0,0,0
ANTASENA TAMBANG MAKMUR,1,0,0,0,0,1,0,0
DUA POETRA JAYA AGROLINK,1,0,0,0,0,0,0,1
BERKAH SUKSES TEKNOLOGI,1,0,0,0,0,0,0,1
CV. Sinar Surya,1,0,0,1,0,0,0,0
WILMA RAGAM INFOPEN,1,0,0,0,0,0,0,1
RIAU PRIMA ENERGI,1,1,0,0,0,0,0,0
DUPA WANGI FERTILINDO,1,0,1,0,0,0,0,0
SUMBER BERKAH AGRO SANTOSA,1,1,0,0,0,0,0,0
TERRA AGRO PERSADA,1,0,1,0,0,0,0,0
CV. Mino Tangguh Mandiri,1,0,1,0,0,0,0,0
DELTA ANUGRAH SUBUR SEJAHTERA,1,0,1,0,0,0,0,0
ZHEN TIAN WANG SOUTH EAST ASIA BIOLOGICAL TECHNOLOGY,1,1,0,0,0,0,0,0
SATYALOKA PARAMA SIDHI,1,0,1,0,0,0,0,0
BYTER AGRICULTURE INDONESIA,1,0,0,0,0,0,0,1
BERSAMA SATU TEGUH,1,0,1,0,0,0,0,0
BIO POLLEN INDONESIA,1,0,1,0,0,0,0,0
YUKI MINERALINDO PERSADA,1,0,0,0,0,1,0,0
WIDAYA AGROKIMIA NUSANTARA,1,0,0,1,0,0,0,0
KENCANA BHUMI SELARAS,1,1,0,0,0,0,0,0
TRION GENI UTAMA NUSANTARA,1,0,1,0,0,0,0,0
CV. Anugerah Prima Lestari,1,0,1,0,0,0,0,0
ARIF FIZAH FERTILIZER,1,1,0,0,0,0,0,0
AGROSMART,1,0,1,0,0,0,0,0
HUMUS AGRO LESTARI,1,0,0,0,0,1,0,0
NIAGA RAYA,1,0,0,0,0,1,0,0
SANG SURYA INDAH,1,0,1,0,0,0,0,0
PETROTECH INDO ENGINEERING,1,0,0,0,0,0,0,1
ALGATROPIA INDONESIA RAYA,1,0,1,0,0,0,0,0
WIJIMAS AGRI LESTARI,1,0,0,1,0,0,0,0
PASAROA KREASI ANAK NEGERI,1,0,0,0,0,0,0,1
EMJ AGRO NUSANTARA,1,0,1,0,0,0,0,0
GLOBAL ALAM PERKASA GRUP,1,0,0,0,0,1,0,0
CV. APDIL APDILAH SUPER BUAH,1,0,0,0,0,0,0,1
KELAPA NUSANTARA GROP,1,1,0,0,0,0,0,0
PERFEKTA LINTAS SEMESTA,1,0,0,1,0,0,0,0
SERASI MAHARAYA INDONESIA,1,0,0,1,0,0,0,0
SEMESTA ALAM INDO,1,0,0,0,0,1,0,0
ST UNGGUL JAYA,1,0,0,0,0,1,0,0
AGRANAS KARYA MANDIRI,1,1,0,0,0,0,0,0
AGRO NIAGA SEJATI,1,1,0,0,0,0,0,0
SULTAN AGRO NUSANTARA,1,0,1,0,0,0,0,0
CV. PUSAKA ALAM,1,0,0,0,1,0,0,0
PUTRA ABIMANYU UTAMA,1,1,0,0,0,0,0,0
LIM KOEI HOCK/UD SALIM JAYA,1,0,0,0,0,0,0,1
PT CENTRANUSA INTI PRIMA INDUSTRY,1,0,0,0,0,1,0,0
AGROLAND INDO SYNERGY,1,0,0,0,0,0,0,1
SANG SURYA BERSINAR,1,0,0,0,0,0,1,0
SARANA DAUN HIJAU,1,1,0,0,0,0,0,0
PT. HARAKU JAYA SINERGY,1,0,0,0,0,0,0,1
ABU NAWAS MEU ADAB,1,0,0,0,0,0,0,1
TEKNO ORGANIK PAPUA,1,0,0,1,0,0,0,0
CATUR INTI PERSADA,1,0,1,0,0,0,0,0
TIRTA MITRA PRATAMA,1,1,0,0,0,0,0,0
GAPOKTAN SUKA MAKMUR,1,0,1,0,0,0,0,0
MPS ORGANIK SUPER,1,0,1,0,0,0,0,0
SUMBER RAYA,1,0,0,0,0,1,0,0
CLAREXINDO MAKMUR SEJAHTERA,1,0,1,0,0,0,0,0
NUANSA INDORAYA PERKASA,1,0,0,0,0,1,0,0
ALAM KIMIA BLITZ PERKASA,1,0,0,0,0,1,0,0
NIAGA BERKAH ANUGRAH,1,0,1,0,0,0,0,0
CV. Subur Makmur Nusantara,1,0,0,0,0,0,0,1
QL AGROFOOD,1,0,1,0,0,0,0,0
INTI MINERAL INDUSTRI,1,0,0,0,0,0,0,1
BATARAGENI KARYA MANDIRI,1,0,0,1,0,0,0,0
PERDANA AGRO PERSADA,1,0,0,0,0,1,0,0
AGRO INDO MANDIRI,1,0,0,1,0,0,0,0
TRI HARMONI ABADI,1,0,1,0,0,0,0,0
RAINBOW AGROSCIENCES,1,0,1,0,0,0,0,0
CV.BERNAS ANDALAN SEJATI,1,0,1,0,0,0,0,0
PANCA MULYA TANIMAS LESTARI,1,0,1,0,0,0,0,0
BINTANG BERLIAN,1,0,0,0,0,1,0,0
AGRO LESTARINDO,1,0,1,0,0,0,0,0
BAROKAH ABADI TANI,1,0,1,0,0,0,0,0
DNA TECHNOLOGY INDUSTRI,1,0,0,0,0,0,1,0
CV AGRO SENTOSA ABADI,1,0,0,1,0,0,0,0
CV. LESTARI INTI AGRO,1,1,0,0,0,0,0,0
HIDAYAT BINTANG ASIA,1,0,1,0,0,0,0,0
MORAWA ORGANIK,1,0,1,0,0,0,0,0
MANDIRI DASAR UTAMA,1,1,0,0,0,0,0,0
PT Biodiversitas Bioteknologi Indonesia,1,0,0,1,0,0,0,0
TIGA KREASI BERSAMA,1,0,0,1,0,0,0,0
PT. BERKAT KARUNIA DAMAI,1,0,0,0,1,0,0,0
SAHABAT TANI TV,1,0,0,0,0,0,0,1
PROFARM FERTILINDO,1,1,0,0,0,0,0,0
MEKAR SARI JAYA,1,0,0,0,0,0,0,1
ASPA SEMBILAN TUJUH FARMER INDUSTRY,1,0,0,0,0,0,0,1
CV. ZEO BENT INDONESIA,1,0,0,0,0,1,0,0
BHETOCHAR ENERGI NUSANTARA,1,0,0,0,0,1,0,0
YKB MERAH PUTIH,1,0,1,0,0,0,0,0
BATARA SUBUR TANI,1,0,1,0,0,0,0,0
MONTREAL JAYA INDO,1,0,1,0,0,0,0,0
KUR AGRO LESTARI,1,0,1,0,0,0,0,0
SURYAPRATAMA CITRALESTARI,1,0,0,0,0,0,0,1
MUKTI GRAHA PERKASA,1,1,0,0,0,0,0,0
INDO FERT CORP,1,0,0,0,0,1,0,0
CV. Rimba Jaya,1,0,1,0,0,0,0,0
GRESIK GOLD BLESSING,1,0,0,0,0,1,0,0
LAHAN MAS MEKAR,1,1,0,0,0,0,0,0
SEMBILAN JAYA ABADI RESOURCES,1,0,0,0,0,1,0,0
ARTA PUTRI,1,0,1,0,0,0,0,0
CV. PRIMA SAKTI,1,1,0,0,0,0,0,0
BUKIT MAS MURTI PERSADA,1,0,0,0,0,1,0,0
BERKAH BUMI BARU,1,0,0,0,0,1,0,0
NS CROPS ORGANIC,1,0,1,0,0,0,0,0
ALOVE BALI IND,1,0,1,0,0,0,0,0
APDIL APDILAH SUPER BUAH,1,0,0,0,0,0,0,1
JASARESI MANDIRI,1,0,0,0,0,0,0,1
PT. SETIA ALAM SINERGI,1,0,0,0,0,0,0,1
TRIASPUTRA AGRO MAJU SEJAHTERA,1,0,0,0,0,0,0,1
PT. Gemah Ripah Loh Jinawi Industri,1,0,0,0,1,0,0,0
BUMI SRIWIJAYA INDONESIA,1,0,0,0,0,1,0,0
BERSAMA AGRI MAKMUR,1,1,0,0,0,0,0,0
PT Cipta Ulang Sumberdaya Indonesia,1,0,0,1,0,0,0,0
DEWI MURNI SAMPURNA,1,0,0,0,0,0,0,1
TRANS BUMI SUBUR SEJAHTERA,1,0,0,0,0,1,0,0
WINON INTERNATIONAL,1,0,1,0,0,0,0,0
UD Jonhson,1,0,1,0,0,0,0,0
MAJJAMA AGRO INDUSTRI,1,0,0,0,0,0,0,1
MEGA KIMIA INDUSTRI,1,0,0,0,0,1,0,0
TUNAS MAKMUR JAYA ABADI,1,0,1,0,0,0,0,0
AGROABADI MAKMUR PERSADA,1,1,0,0,0,0,0,0
MITRA TANINDO,1,0,0,0,0,0,1,0
ARTHASIDDHI SUKSES ANUGERAH,1,0,1,0,0,0,0,0
DEWADARU KARYAUTAMA JAYA,1,0,0,0,0,1,0,0
INFINITI SUMBER ALAM,1,0,1,0,0,0,0,0
TUNAS LESTARI ALAM INDAH,1,0,1,0,0,0,0,0
PRAMUDITA DARYA PARMA,1,0,0,1,0,0,0,0
LIBO FARMING,1,0,1,0,0,0,0,0
PT DYNAPHARM NUSANTARA GEMILANG,1,0,1,0,0,0,0,0
SAMOR ARGA MAKMUR,1,0,1,0,0,0,0,0
INTIDAYA AGROLESTARI,1,0,0,1,0,0,0,0
CV.JABAL REZKI,1,0,0,0,0,1,0,0
ZENTIDE BIOTEKNOLOGI GLOBAL,1,0,1,0,0,0,0,0
CIWANGI NUTRISI TANAMAN,1,0,0,0,0,0,0,1
ARJUNA GRESIK BUMI PERKASA,1,1,0,0,0,0,0,0
PT. NUSANTARA AGRO FARMA,1,0,1,0,0,0,0,0
CANTIGA,1,0,1,0,0,0,0,0
MANDIRI CEMERLANG ABADI,1,0,0,1,0,0,0,0
PT. Winon International,1,0,1,0,0,0,0,0
SEDAYA AGRO,1,0,0,0,0,0,0,1
PT UNGGUL SEJAHTERA PERTANIAN,1,0,0,0,0,1,0,0
PELITA SUSUN BENTANG ORGANIK,1,0,1,0,0,0,0,0
PT GLOBAL GROWTH,1,0,1,0,0,0,0,0
PRINALTIA JUNTA PERKASA,1,0,1,0,0,0,0,0
BELERANG GUNUNG KAWAH IJEN,1,1,0,0,0,0,0,0
INSAN LESTARI,1,0,0,1,0,0,0,0
MUNCUL BERKAH TANI,1,0,0,0,0,1,0,0
UD. HARAPAN ABADI,1,0,0,0,0,1,0,0
PABRIK GULA RAJAWALI I,1,0,0,1,0,0,0,0
ZAQ INDONESIA,1,0,1,0,0,0,0,0
SURYA SEMI SENTOSA,1,0,0,1,0,0,0,0
BIOKLANTEK NUSANTARA,1,0,0,1,0,0,0,0
GEUSAN WIRA PERKASA,1,0,1,0,0,0,0,0
DAVARI ANUGERAH SEJAHTERA,1,0,1,0,0,0,0,0
PT. Kemoza Mandiri Grup,1,0,0,0,0,1,0,0
WIRA ADHI SATYA PERTIWI,1,0,0,1,0,0,0,0
BUMI LAVANAA AGRO INDUSTRI,1,0,0,1,0,0,0,0
SINAR MAS AGRO RESOURCES AND TECHNOLOGY,1,0,0,1,0,0,0,0
BIO BATARA JAYA,1,0,1,0,0,0,0,0
WILIS MULYO NUSWANTORO JOYO,1,0,0,1,0,0,0,0
INDOHAYATI AGRO SEJAHTERA,1,0,1,0,0,0,0,0
RAHMA JAYA,1,1,0,0,0,0,0,0
PT. BLANG THOEI LUAH,1,0,1,0,0,0,0,0
ORCHID GLOBAL MAKMUR,1,0,1,0,0,0,0,0
CV. Marson Syah,1,0,1,0,0,0,0,0
HAFISA ANUGERAH MAKMUR,1,1,0,0,0,0,0,0
TRUBUS MAS LESTARI,1,0,0,1,0,0,0,0
IKASHI SABDA AGUNG,1,0,0,1,0,0,0,0
NAVATI GEMILANG MANDIRI,1,0,1,0,0,0,0,0
TATANAN ALAM SEGAR,1,0,1,0,0,0,0,0
ARGO WIRA BUANA,1,0,1,0,0,0,0,0
IJO,1,0,1,0,0,0,0,0
SINAR JAYA SAE,1,0,0,0,1,0,0,0
BIO NUSA LESTARI,1,0,0,1,0,0,0,0
MUTIARA ZIOSOVIQ,1,0,0,0,0,1,0,0
RAMBATE RATAHAYU,1,1,0,0,0,0,0,0
ANDI JAYA INDUSTRI,1,1,0,0,0,0,0,0
DEWI,1,0,0,0,0,1,0,0
SUMBER PANGAN GRESIK,1,0,0,0,0,1,0,0
KUDJANG PUTRA PRATAMA,1,0,0,0,0,1,0,0
ADHI MANGGALA,1,0,0,0,0,1,0,0
FAN JAYA MANUNGGAL,1,1,0,0,0,0,0,0
AGROTANI,1,0,1,0,0,0,0,0
NAWASENA UNGGUL SANTOSA,1,0,0,0,0,0,0,1
KARYA ALAM SUKSES,1,0,0,0,0,1,0,0
MADUBARU,1,0,0,1,0,0,0,0
PUTRA JAYA RAHARJA,1,0,0,0,0,1,0,0
SURYA NUSA PERKASA,1,0,0,0,0,0,0,1
HERKREASI,1,0,0,0,0,0,0,1
VALENTA JAYA BERSAMA,1,0,0,0,0,0,0,1
PT. LAJU PERSADA UTAMA,1,0,0,0,0,1,0,0
CV. RIAU AGROFERT,1,1,0,0,0,0,0,0
ANAGATA AGRO ABADI,1,0,1,0,0,0,0,0
ARINAKI MULIA BERSAMA,1,1,0,0,0,0,0,0
RIMBA ALAM NUSANTARA,1,0,1,0,0,0,0,0
CLEAN AND WELL PACK INDONESIA,1,0,0,0,0,0,0,1
PT. DAHLIAH DUTA UTAMA,1,0,1,0,0,0,0,0
BIN ZEIN AGRICULTURE,1,0,0,0,0,1,0,0
BERLIAN ANUGERAH JAYA,1,0,0,0,0,1,0,0
HUMACARE INDONESIA ABADI,1,0,1,0,0,0,0,0
CV. MANUNGGAL ABADI SENTOSA,1,0,1,0,0,0,0,0
HERDANIC AFDA DIHESA,1,0,0,1,0,0,0,0
CV. INDAH PRATAMA SARI,1,0,0,0,0,1,0,0
KK INDONESIA,1,0,0,1,0,0,0,0
SEMANGAT BERSAMA ENTREPRENEURSHIP,1,0,0,1,0,0,0,0
ARMAFAN BAKTI SESAMA,1,0,1,0,0,0,0,0
LEGASI ALAM INDONESIA,1,0,0,0,0,0,0,1
"TANI JAYA, UD",1,0,0,0,0,1,0,0
GUNUNG DONO PUTRA,1,0,0,0,0,1,0,0
CV. DITAMA RAYA,1,0,1,0,0,0,0,0
DELTA FORTUNA,1,0,0,1,0,0,0,0
ALAM SEMESTA TEKHNOVASI,1,0,0,1,0,0,0,0
LABEZAR UTAMA INDONESIA,1,0,0,0,1,0,0,0
BENATA,1,0,1,0,0,0,0,0
PT. PERMATA NEGERI INDONESIA,1,0,0,0,0,1,0,0
BERKAH TANI LESTARI,1,0,0,0,0,0,0,1
ANDALAS DOLOMIT SEJAHTERA,1,0,0,0,0,1,0,0
CV. Sinar Surya,1,0,1,0,0,0,0,0
NUSANTARA TETAP JAYA,1,0,0,0,0,1,0,0
BASIMBAH TANI SYAHDILATA,1,0,1,0,0,0,0,0
MITRA KREASIDHARMA,1,0,0,0,0,0,0,1
SUMBER MULYA GRAND ORGANIK,1,0,1,0,0,0,0,0
MITRA GRESIK INDONESIA,1,0,0,0,0,1,0,0
EMIRA AGRITANI,1,0,0,0,0,1,0,0
ASIA PACIFIC MARKETING INTERNATIONAL,1,0,1,0,0,0,0,0
ASIA PACIFIC RAYON,1,0,0,0,0,0,0,1
CV. PONDANGI,1,0,1,0,0,0,0,0
DUTA AGRO LESTARI,1,0,1,0,0,0,0,0
PUPUK KELAPA SAWIT JAYA,1,1,0,0,0,0,0,0
CV. Argo Pundi Lestari,1,1,0,0,0,0,0,0
MAHKOTA JAYA RAYA,1,0,0,0,0,0,0,1
ARTHA BUANA MANDIRI,1,0,0,0,0,0,0,1
JAYA MAKMUR SENTAUSA,1,0,0,0,0,0,0,1
PUTRO JOYO GROUP,1,0,0,0,0,1,0,0
PT. POLOWIJO GRAHA NIAGA,1,0,0,0,1,0,0,0
TASMA PUJA,1,0,1,0,0,0,0,0
CV. BINA AGRO PACIFIC,1,0,0,0,0,1,0,0
BUMI MAKMUR,1,0,1,0,0,0,0,0
EKOTANI SINAR ANUGERAH,1,0,1,0,0,0,0,0
LAMPOH LADA,1,0,0,0,0,0,0,1
GROWING PLANTS INTERNASIONAL,1,1,0,0,0,0,0,0
ALAMI ORION AGROTAMA,1,0,0,1,0,0,0,0
CV. Sinar Agro Sejati,1,0,1,0,0,0,0,0
ENERGI AGRO NUSANTARA,1,0,0,1,0,0,0,0
DASA VAYU ALAM SARI,1,0,1,0,0,0,0,0
NETA AGRINDO SANTOSA,1,0,0,0,0,0,0,1
BIMA JAYA FARM,1,0,0,0,0,1,0,0
BANGBARA SADULUR MAKMUR,1,0,1,0,0,0,0,0
KOPERASI PRODUSEN BRAHMAN SEJAHTERA SUBANG,1,0,1,0,0,0,0,0
ETONG CHEMICAL INDONESIA,1,1,0,0,0,0,0,0
JAYA PERKASA,1,1,0,0,0,0,0,0
EVA SUKSES MAKMUR,1,0,1,0,0,0,0,0
DARMAWANGSA PUTRA,1,0,0,0,1,0,0,0
IRQ MAKMUR JAYA,1,0,0,0,0,1,0,0
RIZKI FERTILA SEJAHTERA,1,0,0,0,0,1,0,0
PT Tri Dharma Internasional,1,0,0,1,0,0,0,0
CV. Putri Gresik,1,0,0,0,0,1,0,0
RODAME INDONESIA,1,0,1,0,0,0,0,0
SUBUR MAKMUR ORGANIK,1,0,1,0,0,0,0,0
PESONA HERBAL INDONESIA,1,0,1,0,0,0,0,0
KARYA MANUNGGAL JAYA,1,0,1,0,0,0,0,0
CV. AL HADID 20,1,0,0,0,0,0,0,1
BERKAH ALAM GEMILANG,1,0,0,0,0,0,0,1
HAYATI MAKMUR NUSANTARA,1,0,0,1,0,0,0,0
SEJAHTERA ABADI,1,0,1,0,0,0,0,0
BIOTEK AGRI LESTARI,1,0,0,1,0,0,0,0
ARWANA TANI MAKMUR,1,0,0,0,0,0,0,1
TIRTA UTAMA GLOBAL,1,0,1,0,0,0,0,0
OMTEC PRIMA MANDIRI,1,0,0,0,0,1,0,0
MULIA REZEKI ABADI,1,0,0,0,0,1,0,0
NUTRISI INDONESIA RAYA,1,0,1,0,0,0,0,0
TRIJAYA ANUGRAH SENTOSA,1,0,1,0,0,0,0,0
Yayasan Pemilahan Sampah Temesi,1,0,1,0,0,0,0,0
DHARMA PERTIWI,1,0,1,0,0,0,0,0
PT.LINTAS INDO SEJAHTERA,1,0,0,1,0,0,0,0
BIO DITA ORGANIK,1,0,1,0,0,0,0,0
CV. Cipta Agrifarmerindo,1,0,1,0,0,0,0,0
GREEN PHOSKA SEJAHTERA,1,1,0,0,0,0,0,0
CV. CEMIKA OPTIMA,1,0,1,0,0,0,0,0
PT. BIO INOVASINDO HAYATI,1,0,0,1,0,0,0,0
PT.Madura Guano,1,0,0,0,1,0,0,0
MAKMUR JAYA AGRO,1,0,0,0,0,0,0,1
FORMULA DISTRIBUSI KIMIA,1,0,0,0,0,0,1,0
KELOMPOK USAHA BERSAMA SIDO TENTREM,1,0,1,0,0,0,0,0
KUMISIK BERKAH SEJAHTERA,1,0,1,0,0,0,0,0
REJEKI INDO AGROTEC,1,0,1,0,0,0,0,0
PT. KARYA ALAM SUKSES,1,0,0,0,0,1,0,0
SUMITOMO INDONESIA,1,1,0,0,0,0,0,0
SUPER GRADE ROSINDO,1,0,0,1,0,0,0,0
PT. NUANSA INDORAYA PERKASA,1,0,0,0,0,1,0,0
MAHAJAYA MULTI SINERGI,1,0,1,0,0,0,0,0
PT. Hikari Agro Indonesia,1,0,0,1,0,0,0,0
PT DIANATA ADIKARYA SENTOSA,1,0,1,0,0,0,0,0
COKRO JOYO PASTI CUAN,1,0,0,0,0,1,0,0
SOLUSI AGRONUSA PRATAMA,1,0,1,0,0,0,0,0
MINERAL JAYA ALAM NUSANTARA,1,0,0,0,0,0,0,1
DAHLIAH DUTA UTAMA,1,0,0,1,0,0,0,0
BAHAGIA JAYA SINERGY,1,0,0,0,0,0,0,1
SURYA BUMI ADILMAKMUR,1,0,0,0,1,0,0,0
SIMAR ALAM BERKAH,1,0,0,1,0,0,0,0
CV BIO SENTRATAMA,1,0,1,0,0,0,0,0
ANUGRAHA ALAM SENTOSA,1,0,1,0,0,0,0,0
ESA ILHAM PERSADA,1,0,1,0,0,0,0,0
MARCO JAYA SEJAHTERA,1,0,1,0,0,0,0,0
MITRA TEMASEK NUSANTARA,1,0,0,1,0,0,0,0
AURORA SABANGSATIA,1,0,1,0,0,0,0,0
CIPTA MAKMUR BERSAMA,1,1,0,0,0,0,0,0
PT.BINTANG ANANDA MANDIRI,1,0,0,0,0,1,0,0
EMINEN GLOBALINDO RAYA,1,0,0,0,0,0,0,1
ADAMAS ASABHUMI,1,0,1,0,0,0,0,0
SENTRA PETERNAKAN RAKYAT (SPR),1,0,1,0,0,0,0,0
ORGANIC FARMING INDONESIA,1,0,0,1,0,0,0,0
MADA PUTRA NUSANTARA,1,1,0,0,0,0,0,0
AGROTIS GAIA INDONESIA,1,0,0,0,1,0,0,0
ULI AGRO MAKMUR,1,0,1,0,0,0,0,0
EBISU GLOBALTRADING INDONESIA,1,0,1,0,0,0,0,0
CAKRA DHARMA USAHA,1,0,0,1,0,0,0,0
SAUNG AGRO NUSANTARA,1,0,0,1,0,0,0,0
BIAN JAYA MAKMUR,1,0,1,0,0,0,0,0
MAJU JAYA,1,0,0,0,0,1,0,0
SUBUR MAKMUR ORGANIK,1,0,1,0,0,0,0,0
REGENERASI KEHIDUPAN NUSANTARA,1,0,1,0,0,0,0,0
PT BANDUNG ECO SINERGI TEKNOLOGI,1,0,1,0,0,0,0,0
NAZRAH AGRO MANDIRI,1,0,1,0,0,0,0,0
TIARA AGRO HITA KENCANA,1,0,0,1,0,0,0,0
PALAPA GRESIK,1,0,0,0,0,1,0,0
PANGAN INDO MAJU ABADI,1,0,0,0,1,0,0,0
PT. Anugerah Sarana Hayati,1,0,0,1,0,0,0,0
PT. Sri Munarti Supakat Indoputra,1,0,0,1,0,0,0,0
BUKIT KAPUR ALAM RAYA,1,0,0,0,0,1,0,0
LAUTAN LUAS,1,0,0,0,1,0,0,0
CV. ANUGERAH BERSAMA,1,0,1,0,0,0,0,0
INOVASI ANAK INDONESIA,1,0,1,0,0,0,0,0
CITRA ANUGRAH MALINOTAMA,1,0,1,0,0,0,0,0
AGRO GALBA RABUKA,1,0,0,1,0,0,0,0
PT. BIOTEK AGRO INDONESIA,1,0,0,1,0,0,0,0
PERSADA HIJAU,1,0,0,1,0,0,0,0
DELTAGRO MULIA SEJATI,1,1,0,0,0,0,0,0
SUMINDO,1,1,0,0,0,0,0,0
HARVEST BERKAH ABADI,1,0,1,0,0,0,0,0
AGRO INVESTAMA LESTARI,1,0,0,1,0,0,0,0
