nama_asli,nama_kanonik,pendaftaran,sumber
SEA SIX ENERGY INDONESIA,SEA SIX ENERGY INDONESIA,4,pupuk
NUSA TANI,NUSA TANI,4,pupuk
RISET PERKEBUNAN NUSANTARA,RISET PERKEBUNAN NUSANTARA,4,pupuk
CV. Mulyo Tani Makmur,CV. Mulyo Tani Makmur,4,pupuk-legacy
NICO MANDIRI SEJAHTERA,NICO MANDIRI SEJAHTERA,4,pupuk
PT. Super Tani Indonesia,PT. Super Tani Indonesia,4,pupuk
GLOBAL MANTEP LESTARI,GLOBAL MANTEP LESTARI,4,pupuk
GREENTECH INTERNATIONAL,GREENTECH INTERNATIONAL,4,pupuk
TANINDO TETAP JAYA,TANINDO TETAP JAYA,4,pupuk
KERTO KENCANA ABADI,KERTO KENCANA ABADI,4,pupuk
MISSION TANI,MISSION TANI,4,pupuk
PT INDMIRA,PT INDMIRA,4,pupuk
MANDIRI DUASATU,MANDIRI DUASATU,4,pupuk
SAKURA FISHERIES,SAKURA FISHERIES,4,pupuk
ESTU SEBA AGRINUSA,ESTU SEBA AGRINUSA,4,pupuk
CEVE SINAR ARAS,PT. CEVE SINAR ARAS,4,pupuk
PT. CEVE SINAR ARAS,PT. CEVE SINAR ARAS,4,pupuk
ALAM HIJAU,CV Alam Hijau,4,pupuk
PT Tunas Agro Persada,PT Tunas Agro Persada,4,pupuk-legacy
REZEKI BERSAMA INDONESIA,REZEKI BERSAMA INDONESIA,4,pupuk
HABDHI NEGORO MANDIRI,HABDHI NEGORO MANDIRI,4,pupuk
PT. Formitra Multi Prakarsa,PT. Formitra Multi Prakarsa,4,pupuk-legacy
SOBAT TANI,SOBAT TANI,4,pupuk
PT.CENTRAL ALAM RESOURCES LESTARI,PT.CENTRAL ALAM RESOURCES LESTARI,4,pupuk
PT TRIASINDO ROYAL AGRO,PT TRIASINDO ROYAL AGRO,4,pupuk+pupuk-legacy
UD. MITRA MERDEKA TANI,UD. Mitra Merdeka Tani,4,pupuk-legacy
SINAR MAS MALAKA,SINAR MAS MALAKA,4,pupuk
CV. MITRA AGRO SENTOSA,CV. MITRA AGRO SENTOSA,4,pupuk-legacy
SURYA NUSANTARA SEJATI,SURYA NUSANTARA SEJATI,4,pupuk
PT. Molindo Raya Industrial,PT. Molindo Raya Industrial,4,pupuk-legacy
TUNAS FOREST GEMILANG,TUNAS FOREST GEMILANG,4,pupuk
POSPORINDO NUSANTARA,POSPORINDO NUSANTARA,4,pupuk
DUTA LIMAS,CV DUTA LIMAS,4,pupuk
ALAM SEMESTA INDONESIA,ALAM SEMESTA INDONESIA,4,pupuk
JAYA TANI,CV. Jaya Tani,4,pupuk
CV. Jaya Tani,CV. Jaya Tani,4,pupuk-legacy
PT AJINOMOTO INDONESIA,PT AJINOMOTO INDONESIA,4,pupuk-legacy
CV. Agro Nusa Indah,CV. Agro Nusa Indah,4,pupuk-legacy
PUTRA HAKA PERKASA,PUTRA HAKA PERKASA,4,pupuk
AGRO UNGGUL JAYAMAKMUR,AGRO UNGGUL JAYAMAKMUR,4,pupuk
CV MAKMUR ABADI,CV MAKMUR ABADI,4,pupuk
SARIMAKMUR SULTAN NUSANTARA,SARIMAKMUR SULTAN NUSANTARA,4,pupuk
MANUNGGAL MERDEKA MAKMUR,MANUNGGAL MERDEKA MAKMUR,4,pupuk
BHADRA CEMERLANG,PT. Bhadra Cemerlang,4,pupuk
PT. DELAPAN ENAM BERLIAN,PT. DELAPAN ENAM BERLIAN,4,pupuk
AGRO ZYM JAYA,AGRO ZYM JAYA,4,pupuk
PT.MITRA CIPTA AGRO,PT.MITRA CIPTA AGRO,4,pupuk+pupuk-legacy
MANDIRI PALMERA AGRINDO,MANDIRI PALMERA AGRINDO,4,pupuk
CV. INTI TANI MAKMUR,CV. INTI TANI MAKMUR,4,pupuk
SUBUR PERKASA NUSANTARA,SUBUR PERKASA NUSANTARA,4,pupuk
CV. Cahaya Agro Persada,CV. Cahaya Agro Persada,4,pupuk
CV. TUMBUH BERKEMBANG SEJAHTERA,CV. TUMBUH BERKEMBANG SEJAHTERA,4,pupuk
DELIMA MANDALA SURYA,DELIMA MANDALA SURYA,4,pupuk
KARUNIA NIAGA SEJAHTERA,KARUNIA NIAGA SEJAHTERA,4,pupuk
BIO KONVERSI INDONESIA,BIO KONVERSI INDONESIA,4,pupuk
UTAMA KARYA TANI,CV.UTAMA KARYA TANI,4,pupuk
KERINA MARGA PLANTATION,KERINA MARGA PLANTATION,4,pupuk
NITIS PUSAKA KUSUMA,NITIS PUSAKA KUSUMA,4,pupuk
BISATANI SUKSES UTAMA,BISATANI SUKSES UTAMA,4,pupuk
PT TRI TUNGGAL ABADI MULIA,PT TRI TUNGGAL ABADI MULIA,4,pupuk
NIVIDIA PRATAMA KHATULISTIWA,NIVIDIA PRATAMA KHATULISTIWA,4,pupuk
TIMURAYA TUNGGAL,TIMURAYA TUNGGAL,4,pupuk
AGRO INDAH PERMATA 21,AGRO INDAH PERMATA 21,4,pupuk
PT.ALL COSMOS INDONESIA,PT.ALL COSMOS INDONESIA,4,pupuk-legacy
BUMI GEMILANG ARTHA,BUMI GEMILANG ARTHA,4,pupuk
PT. PLANTSAFE FERTILIZER INDONESIA,PT. PLANTSAFE FERTILIZER INDONESIA,4,pupuk-legacy
CV. Anugerah Tani Makmur,CV. Anugerah Tani Makmur,4,pupuk-legacy
PT Pupuk Indonesia (Persero),PT Pupuk Indonesia (Persero),4,pupuk-legacy
PT. RIZKY FAJAR AGRO,PT. RIZKY FAJAR AGRO,4,pupuk-legacy
PT HARVESTMORE MULTITRADE INDONESIA,PT HARVESTMORE MULTITRADE INDONESIA,4,pupuk-legacy
PT Lamandau Subur Sejahtera,PT Lamandau Subur Sejahtera,4,pupuk-legacy
PT. Indevco Internusa,PT. Indevco Internusa,4,pupuk-legacy
PT. Setia Bersama,PT. Setia Bersama,4,pupuk-legacy
CV. Ruthani Mandiri,CV. Ruthani Mandiri,4,pupuk-legacy
PT PRIMA AGRO TECH,PT. PRIMA AGRO TECH,3,pupuk-legacy
PT Exindo Raharja Pratama,PT Exindo Raharja Pratama,3,pupuk-legacy
CATUR AGRODAYA MANDIRI,PT. CATUR AGRODAYA MANDIRI,3,pupuk
DELTA CHEMICA,CV. DELTA CHEMICA,3,pupuk
GOLDEN FARM INDONESIA,CV. GOLDEN FARM INDONESIA,3,pupuk
PT BIOTIS AGRINDO,PT. BIOTIS AGRINDO,3,pupuk-legacy
CV. SARANA TANI MAKMUR,CV. SARANA TANI MAKMUR,3,pestisida
KENSO INDONESIA,PT. KENSO INDONESIA,3,pupuk
PT. RIA INDO AGRI,PT. Ria Indo Agri,3,pestisida
PT. SYNAGRO PERKASA,PT. SYNAGRO PERKASA,3,pestisida
PT. CIPTA KARYA UNGGULAN,PT. CIPTA KARYA UNGGULAN,3,pestisida
PT. SURYA KARYA ANDALAN,PT. SURYA KARYA ANDALAN,3,pestisida
ARTHA MAKMUR ABADI,PT. ARTHA MAKMUR ABADI,3,pupuk
ANKEWA CHEMICAL INDONESIA,PT. ANKEWA CHEMICAL INDONESIA,3,pupuk
PT. GLOBAL AGRO MANDIRI,PT. GLOBAL AGRO MANDIRI,3,pestisida
TANGGUH AGRO NUSA INDONESIA,PT. TANGGUH AGRO NUSA INDONESIA,3,pupuk
PT. ZAMRUD LINTAS KATULISTIWA,PT. ZAMRUD LINTAS KATULISTIWA,3,pestisida
PT. KALATHAM,PT Kalatham,3,pestisida
PT Kalatham,PT Kalatham,3,pupuk-legacy
PT. Duta Alam Prima,PT. Duta Alam Prima,3,pestisida
BINGEI AGUNG,PT. BINGEI AGUNG,3,pupuk
CV. PRIMA BERKAH NUSANTARA,CV. PRIMA BERKAH NUSANTARA,3,pestisida
PRIMA BERKAH NUSANTARA,CV. PRIMA BERKAH NUSANTARA,3,pupuk
ARENA HORMON INDONUSA,PT. ARENA HORMON INDONUSA,3,pupuk
CV. SUGI TEKNIK PANGAN,CV. SUGI TEKNIK PANGAN,3,pestisida
PT. Guthrie Agri Bio,PT. Guthrie Agri Bio,3,pestisida
CV. FLORA DAN FAUNA,CV. FLORA DAN FAUNA,3,pestisida
PT. PUTRISARI KIMIANUSA,PT. PUTRISARI KIMIANUSA,3,pestisida
PT. RAGAM MANDIRI,PT. RAGAM MANDIRI,3,pestisida
PT. PHOSPHINDO JAYA UTAMA,PT. PHOSPHINDO JAYA UTAMA,3,pestisida
CV. DMA,CV. DMA,3,pestisida
CV. BIMAGRO INDONESIA,CV. BIMAGRO INDONESIA,3,pestisida
BIMAGRO INDONESIA,CV. BIMAGRO INDONESIA,3,pupuk
PT. AGROW USAHA TANI INDONESIA,PT. AGROW USAHA TANI INDONESIA,3,pestisida
PT. AGRI KIMIA NUSANTARA,PT. AGRI KIMIA NUSANTARA,3,pestisida
PT. AGROSID MANUNGGAL SENTOSA,PT. Agrosid Manunggal Sentosa,3,pestisida
AGROSID MANUNGGAL SENTOSA,PT. Agrosid Manunggal Sentosa,3,pupuk
PT. RAWWA ROUNDTEC INDONESIA,PT. RAWWA ROUNDTEC INDONESIA,3,pestisida
PT. GOLDEN MAKMUR AGRI,PT. GOLDEN MAKMUR AGRI,3,pestisida
CV. ASRITANI UTAMA,CV. ASRITANI UTAMA,3,pestisida
PT. TOYOTA TSUSHO INDONESIA,PT. TOYOTA TSUSHO INDONESIA,3,pestisida
PT. ZAINI MAKMUR SENTOSA,PT. ZAINI MAKMUR SENTOSA,3,pestisida
PT. AGRICULTURE CONSTRUCTION INDONESIA,PT. AGRICULTURE CONSTRUCTION INDONESIA,3,pestisida
PT. VADEL KSATRIA SAMUDRA INDONESIA,PT. VADEL KSATRIA SAMUDRA INDONESIA,3,pestisida
PT. AGRI KEMIA NATURA,PT. AGRI KEMIA NATURA,3,pestisida
BIO SARANA INDONESIA,PT Bio Sarana Indonesia,3,pupuk
PT Bio Sarana Indonesia,PT Bio Sarana Indonesia,3,pupuk-legacy
CV. CULTURE AGRITECH INTERZONA,CV. CULTURE AGRITECH INTERZONA,3,pestisida
PT. PESTINDO SOLUTION,PT. PESTINDO SOLUTION,3,pestisida
PT. AGRIVA CROPSCIENCE INDONESIA,PT. AGRIVA CROPSCIENCE INDONESIA,3,pestisida
PT Greenlife Bioscience,PT Greenlife Bioscience,3,pupuk-legacy
PT. AGROSIDA SELARAS BERSAMA,PT. AGROSIDA SELARAS BERSAMA,3,pestisida
PT Nusamas Kimia Persada,PT Nusamas Kimia Persada,3,pupuk-legacy
PT. GOODFARM CHEMICAL INDONESIA,PT. GOODFARM CHEMICAL INDONESIA,3,pestisida
PT. JUBARO AGRO INDONESIA,PT. JUBARO AGRO INDONESIA,3,pestisida
PT. MODERN AGRICULTURE INDONESIA,PT. MODERN AGRICULTURE INDONESIA,3,pestisida
PT. BIO AGRITECH NUSANTARA,PT. BIO AGRITECH NUSANTARA,3,pestisida
PT. NUSANTARA SURYA BENIH,PT. NUSANTARA SURYA BENIH,3,pestisida
NATHANI INDONESIA,PT. NATHANI INDONESIA,3,pupuk
JOYO MAKMUR SUKSES,CV. JOYO MAKMUR SUKSES,3,pupuk
CV. SEMESTA AGRO MAKMUR,CV. SEMESTA AGRO MAKMUR,3,pestisida
PUPUK LAPAN HARSA,PUPUK LAPAN HARSA,3,pupuk
DUA POHON BESAR,DUA POHON BESAR,3,pupuk
CV. Karya Tani Indonesia,CV. Karya Tani Indonesia,3,pupuk
CV.MITRA TANI ABADI JAYA,CV.MITRA TANI ABADI JAYA,3,pupuk-legacy
HYDRO FARM INDONESIA,HYDRO FARM INDONESIA,3,pupuk
PT. PUPUT TANI MANDIRI,PT. PUPUT TANI MANDIRI,3,pupuk-legacy
PUPUK PARIT KITANG,PUPUK PARIT KITANG,3,pupuk
PT. SOLUSI LINGKUNGAN INDUSTRI NUSANTARA,PT. SOLUSI LINGKUNGAN INDUSTRI NUSANTARA,3,pupuk
AGROMAX MAKMUR SEKAWAN,AGROMAX MAKMUR SEKAWAN,3,pupuk
PT. Polowijo Gosari,PT. Polowijo Gosari,3,pupuk-legacy
NOVACHEM ADAMANTINA,PT.NOVACHEM ADAMANTINA,3,pupuk
INDOFAST AGRO NUSANTARA,INDOFAST AGRO NUSANTARA,3,pupuk
NUGEN CROP INDONESIA,NUGEN CROP INDONESIA,3,pupuk
PT. PERINTIS NIAGA INDONESIA,PT. PERINTIS NIAGA INDONESIA,3,pupuk
RUCI TANI JAYA ABADI,RUCI TANI JAYA ABADI,3,pupuk
FERTILINDO AGROLESTARI,FERTILINDO AGROLESTARI,3,pupuk
SUBUR MAKMUR SEJAHTERA,CV. Subur Makmur Sejahtera,3,pupuk
ANARD BUMI SENTOSA,ANARD BUMI SENTOSA,3,pupuk
JASA TAMBANG ACEH,JASA TAMBANG ACEH,3,pupuk
BERKAH TANI LESTARI,BERKAH TANI LESTARI,3,pupuk
PT RENER INTI INTERNASIONAL,PT RENER INTI INTERNASIONAL,3,pupuk
GUNUNG BERKAT SEJAHTERA,PT.GUNUNG BERKAT SEJAHTERA,3,pupuk
CV. Makmur Sembada,CV. Makmur Sembada,3,pupuk
SURYA MENTARI SAKTINDO,SURYA MENTARI SAKTINDO,3,pupuk
ANGPUTRA GLOBAL ORGANIK,PT. Angputra Global Organik,3,pupuk
PT. Angputra Global Organik,PT. Angputra Global Organik,3,pupuk-legacy
INDO BAY BIO,INDO BAY BIO,3,pupuk
PT. SERA AGRO NUTRINDO,PT. SERA AGRO NUTRINDO,3,pupuk
REKATANI INDONESIA,REKATANI INDONESIA,3,pupuk
BUMI IMPERIUM INDONESIA,BUMI IMPERIUM INDONESIA,3,pupuk
PRIMA TANI MANDIRI,CV. PRIMA TANI MANDIRI,3,pupuk
SARANA GLOBAL PHOSPHORINDO,SARANA GLOBAL PHOSPHORINDO,3,pupuk
KURNIA MAS,KURNIA MAS,3,pupuk
CV Alam Hijau,CV Alam Hijau,3,pupuk-legacy
CV. Tani Subur Perkasa,CV. Tani Subur Perkasa,3,pupuk+pupuk-legacy
PT TOYA INDO MANUNGGAL,PT TOYA INDO MANUNGGAL,3,pupuk-legacy
AGRI PRIME INTERNATIONAL,AGRI PRIME INTERNATIONAL,3,pupuk
PT. Centra Agro Pratama,PT. Centra Agro Pratama,3,pupuk-legacy
BUMI REKAYASA PERSADA,BUMI REKAYASA PERSADA,3,pupuk
MAGNESIUM GOSARI INTERNASIONAL,MAGNESIUM GOSARI INTERNASIONAL,3,pupuk
HIKMAH TANI,HIKMAH TANI,3,pupuk
PT. Gemah Ripah Loh Jinawi Industri,PT. Gemah Ripah Loh Jinawi Industri,3,pupuk+pupuk-legacy
JENAWI SUBURINDO REJEKI,JENAWI SUBURINDO REJEKI,3,pupuk
RAJAWALI CITRA ALAM,RAJAWALI CITRA ALAM,3,pupuk
CHEMSTAR AGRO INDONESIA,CHEMSTAR AGRO INDONESIA,3,pupuk
SULTAN ISKANDAR MUDA,SULTAN ISKANDAR MUDA,3,pupuk
RUHISA PERSADA,RUHISA PERSADA,3,pupuk
TIGA UNGGUL SEJAHTERA,TIGA UNGGUL SEJAHTERA,3,pupuk
LAMPOKO TERNAK INDONESIA,LAMPOKO TERNAK INDONESIA,3,pupuk
NEO SINAR MEDAN,NEO SINAR MEDAN,3,pupuk
NEO CROP SOLUTIONS,NEO CROP SOLUTIONS,3,pupuk
KAKIMAS PRIMA PERKASA,KAKIMAS PRIMA PERKASA,3,pupuk
MULTI ALAM RAYA SEJAHTERAA,MULTI ALAM RAYA SEJAHTERAA,3,pupuk
MITRA AGRO SENTOSA,CV. MITRA AGRO SENTOSA,3,pupuk
AGRIBISNIS TECHNOLOGY INDONESIA,AGRIBISNIS TECHNOLOGY INDONESIA,3,pupuk
PT. NUSANTARA AGRO TAMA,PT. NUSANTARA AGRO TAMA,3,pupuk
SELARAS ALAM SEJAHTERA,PT. Selaras Alam Sejahtera,3,pupuk
BAROKAH PRIMA TANI,BAROKAH PRIMA TANI,3,pupuk
SUMBER ALAM UNGGUL,SUMBER ALAM UNGGUL,3,pupuk
CV AGRO PERSADA,CV AGRO PERSADA,3,pupuk
BUNGA TANI,CV.BUNGA TANI,3,pupuk
BUMI PERSADA SIDAYU,BUMI PERSADA SIDAYU,3,pupuk
ASIA MIKRO PUPUK,ASIA MIKRO PUPUK,3,pupuk
KUSUMA DIPA NUGRAHA,PT. KUSUMA DIPA NUGRAHA,3,pupuk
SUTERA AGRINDO UTAMA,SUTERA AGRINDO UTAMA,3,pupuk
PT. PERMATA NEGERI INDONESIA,PT. PERMATA NEGERI INDONESIA,3,pupuk+pupuk-legacy
CV Arisna Jaya,CV Arisna Jaya,3,pupuk
PT. JASINDO KREASI MANDIRI,PT. JASINDO KREASI MANDIRI,3,pupuk
SANG HYANG SERI,SANG HYANG SERI,3,pupuk
SARI BUMI SIDAYU,SARI BUMI SIDAYU,3,pupuk
ARICTON EXIM INDONESIA,ARICTON EXIM INDONESIA,3,pupuk
PT. PRIMA MULIA ABADI,PT. PRIMA MULIA ABADI,3,pupuk-legacy
WIRAPUTRA AGRO MANDIRI,WIRAPUTRA AGRO MANDIRI,3,pupuk
CV. Sumber Rejeki,CV. Sumber Rejeki,3,pupuk-legacy
AGRITAMA PRIMA MANDIRI,AGRITAMA PRIMA MANDIRI,3,pupuk
INTI MIKRO INDONESIA,INTI MIKRO INDONESIA,3,pupuk
BASISCROP INDONESIA,BASISCROP INDONESIA,3,pupuk
REJEKI INDAH MANDIRI,REJEKI INDAH MANDIRI,3,pupuk
PT. POMAL BEKA MANDIRI,PT. POMAL BEKA MANDIRI,3,pupuk-legacy
PINAGO UTAMA,PINAGO UTAMA,3,pupuk
NUSANTARA GREEN LAND,NUSANTARA GREEN LAND,3,pupuk
AGRO RAYA TIMUR GROUP,AGRO RAYA TIMUR GROUP,3,pupuk
DEWI SRI RAMA I,DEWI SRI RAMA I,3,pupuk
PT. DWI AGRO HAYATI,PT. DWI AGRO HAYATI,3,pupuk
AGRO LESTARI JAYA,AGRO LESTARI JAYA,3,pupuk
CV.UTAMA KARYA TANI,CV.UTAMA KARYA TANI,3,pupuk-legacy
SIGMA KARYA BUANA,SIGMA KARYA BUANA,3,pupuk
PT AGRI MULTI LESTARI,PT AGRI MULTI LESTARI,3,pupuk
ARTHA CHRISTA,ARTHA CHRISTA,3,pupuk
SUKINDO SUPRASEMESTA,SUKINDO SUPRASEMESTA,3,pupuk
DELTA GREEN ZONE,DELTA GREEN ZONE,3,pupuk
CV. GHANDI PUTRA,CV. GHANDI PUTRA,3,pupuk+pupuk-legacy
AGRO FARMERY INDONESIA,AGRO FARMERY INDONESIA,3,pupuk
PRATAMA AGRO SENTOSA,PRATAMA AGRO SENTOSA,3,pupuk
DUNIA KIMIA JAYA,PT Dunia Kimia Jaya,3,pupuk
ARTHA BUANA,ARTHA BUANA,3,pupuk
"""CAHYA SEJATI""","""CAHYA SEJATI""",3,pupuk
CIPTA AGRO NUSANTARA,CIPTA AGRO NUSANTARA,3,pupuk
PANEN AGRO NIAGA,PANEN AGRO NIAGA,3,pupuk
PERMANA AGRO LESTARI,PERMANA AGRO LESTARI,3,pupuk
BURSATANI GLOBAL NIAGA,PT Bursatani Global Niaga,3,pupuk
NELAYAN INDONESIA JAYA,NELAYAN INDONESIA JAYA,3,pupuk
MABARFEED INDONESIA,MABARFEED INDONESIA,3,pupuk
RAHMA JAYA BERSAMA,RAHMA JAYA BERSAMA,3,pupuk
SAF AGRO JAYA,SAF AGRO JAYA,3,pupuk
JENGGONG MAGTASIDA GRUP,JENGGONG MAGTASIDA GRUP,3,pupuk
BUMI SUBUR RIZQUNA,BUMI SUBUR RIZQUNA,3,pupuk
CIPTA SARANA INDOTANI,CIPTA SARANA INDOTANI,3,pupuk
CV AGRO PETANI MAJU,CV AGRO PETANI MAJU,3,pupuk+pupuk-legacy
PT. Perdagangan Indo Mandiri Sejati,PT. Perdagangan Indo Mandiri Sejati,3,pupuk+pupuk-legacy
CV. Agronusa Mandiri,CV. Agronusa Mandiri,3,pupuk-legacy
CV. Duta Surya Alam,CV. Duta Surya Alam,3,pupuk-legacy
CENTA BRASINDO ABADI CHEMICAL INDUSTRY,PT. CENTA BRASINDO ABADI CHEMICAL INDUSTRY,2,pupuk
TIGA MUARA EMAS MAKMUR,PT. TIGA MUARA EMAS MAKMUR,2,pupuk
CV. SAKASAKI,CV. SAKASAKI,2,pestisida
BAYER INDONESIA,PT. Bayer Indonesia,2,pupuk
PT. Bayer Indonesia,PT. Bayer Indonesia,2,pupuk-legacy
SOLUSI TANI INDONESIA,PT. SOLUSI TANI INDONESIA,2,pupuk
PD. GARUDA,PD. GARUDA,2,pestisida
PT. Petrosida Gresik,PT. Petrosida Gresik,2,pupuk-legacy
PT.MULTI SARANA INDOTANI,PT. MULTI SARANA INDOTANI,2,pupuk-legacy
BELIRANG KALISARI,PT. BELIRANG KALISARI,2,pupuk
SAFE CHEMICAL INDONESIA,PT. SAFE CHEMICAL INDONESIA,2,pupuk
GRAHA AGRO,CV. GRAHA AGRO,2,pupuk
SUMANS MANDIRI SEJAHTERA,PT. SUMANS MANDIRI SEJAHTERA,2,pupuk
TANI MAS SUBUR,PT. TANI MAS SUBUR,2,pupuk
BIOTIS AGRINDO,PT. BIOTIS AGRINDO,2,pupuk
PT FAJAR BUANA CHEMICAL,PT. FAJAR BUANA CHEMICAL,2,pupuk-legacy
BENIH BERKAH BERSERI,PT. BENIH BERKAH BERSERI,2,pupuk
HANEARL SCIENCE INDONESIA,PT. HANEARL SCIENCE INDONESIA,2,pupuk
PT. Ria Indo Agri,PT. Ria Indo Agri,2,pupuk-legacy
PT. FLORA FAUNA MANGGALA,PT. FLORA FAUNA MANGGALA,2,pestisida
INTER AGRO INDONESIA,PT. INTER AGRO INDONESIA,2,pupuk
PT. PANCA AGRO NIAGA LESTARI,PT. PANCA AGRO NIAGA LESTARI,2,pestisida
GRAHA AGRITECH PRIMA,CV. GRAHA AGRITECH PRIMA,2,pupuk
MULTIKIMIA AGRO SEJAHTERA,PT. MULTIKIMIA AGRO SEJAHTERA,2,pupuk
CV. AGRO MANDIRI SEJAHTERA,CV. AGRO MANDIRI SEJAHTERA,2,pestisida
CV. JAVAMAS AGROPHOS,CV. Javamas Agrophos,2,pestisida
SUMBER AGRO PERKASA,PT. SUMBER AGRO PERKASA,2,pupuk
TRITAMA WIRAKARSA,PT. TRITAMA WIRAKARSA,2,pupuk
LUMBUNG AGRO MAKMUR,PT. LUMBUNG AGRO MAKMUR,2,pupuk
CV. BANGKIT JAYA,CV. BANGKIT JAYA,2,pestisida
CV. MULTIGRO MAKMUR ABADI,CV. MULTIGRO MAKMUR ABADI,2,pestisida
AZELIS INDONESIA DISTRIBUSI,PT. AZELIS INDONESIA DISTRIBUSI,2,pupuk
PT. INTISUBUR KIMINDO RAYA,PT. INTISUBUR KIMINDO RAYA,2,pestisida
PT. AGSPEC INDONESIA,PT. Agspec Indonesia,2,pestisida
MITRA SUKSES AGRINDO,PT Mitra Sukses Agrindo,2,pupuk
PRIMA AGRO LANCAR,CV. PRIMA AGRO LANCAR,2,pupuk
CV. PRIMA AGRO LANCAR,CV. PRIMA AGRO LANCAR,2,pupuk-legacy
PT. MENARA BERLIAN,PT. MENARA BERLIAN,2,pestisida
ALISHAN NUSA INDAH,PT. ALISHAN NUSA INDAH,2,pupuk
PT. SANITAS,PT. SANITAS,2,pestisida
PT. GEKA MITRA NIAGA,PT. GEKA MITRA NIAGA,2,pestisida
PT. SEJUK ALAM LESTARI,PT. SEJUK ALAM LESTARI,2,pestisida
PT. KENCANA AGRO GOLDENSIDA,PT. KENCANA AGRO GOLDENSIDA,2,pestisida
PT. PT BESTAGRO INDO SUKSES,PT. PT BESTAGRO INDO SUKSES,2,pestisida
CV. MASTERGREEN AGROCHEMICAL INDONESIA,CV. MASTERGREEN AGROCHEMICAL INDONESIA,2,pestisida
PT. GRAHA AGRO MAKMUR,PT. GRAHA AGRO MAKMUR,2,pestisida
PT. PERTIWI INTERTRADE,PT. PERTIWI INTERTRADE,2,pestisida
PT LION WINGS,PT LION WINGS,2,pestisida
PT. FLORA FAUNA AGRO,PT. FLORA FAUNA AGRO,2,pestisida
DEWARI AGRO SAKTI,PT. DEWARI AGRO SAKTI,2,pupuk
PT. TUNAS HARMONI ABADI,PT. TUNAS HARMONI ABADI,2,pestisida
PT. BINTANG CAHAYA AGRO PLANET,PT. BINTANG CAHAYA AGRO PLANET,2,pestisida
PT. MASTRA INDOKORPORA,PT. MASTRA INDOKORPORA,2,pestisida
CV. BINTANG TANI SEJAHTERA,CV. BINTANG TANI SEJAHTERA,2,pestisida
PT. AGRO SENTOSA INDAH KARUNIA,PT. AGRO SENTOSA INDAH KARUNIA,2,pestisida
CV. SURYA AGRO PERKASA,CV. SURYA AGRO PERKASA,2,pestisida
PT. TRI AYUMON TERPADU,PT. TRI AYUMON TERPADU,2,pestisida
PT. WIHADIL,PT. WIHADIL,2,pestisida
PT. GREEN ORGANIC DAILY,PT. GREEN ORGANIC DAILY,2,pestisida
PT. INTI TANI NIAGA,PT. INTI TANI NIAGA,2,pestisida
PT. YASIDA MAKMUR ABADI,PT. YASIDA MAKMUR ABADI,2,pestisida
PT. CHEMIFIN JAYA UTAMA,PT. CHEMIFIN JAYA UTAMA,2,pestisida
PT. FAJAR NASIONAL CIPTA,PT. FAJAR NASIONAL CIPTA,2,pestisida
AGRI KEMIA NATURA,PT. AGRI KEMIA NATURA,2,pupuk
PT. DAYA MUDA AGUNG,PT. DAYA MUDA AGUNG,2,pestisida
PT. V MAX ASIA TANI,PT. V MAX ASIA TANI,2,pestisida
PT.OAT MITOKU AGRIO,PT.OAT MITOKU AGRIO,2,pupuk-legacy
PT. SEMESTA HARAPAN INDONESIA,PT. SEMESTA HARAPAN INDONESIA,2,pestisida
PT. FABINDO SEJAHTERA,PT. FABINDO SEJAHTERA,2,pestisida
PT BIO AGRITECH NUSANTARA,PT. BIO AGRITECH NUSANTARA,2,pestisida
BIO AGRITECH NUSANTARA,PT. BIO AGRITECH NUSANTARA,2,pupuk
NUSANTARA SURYA BENIH,PT. NUSANTARA SURYA BENIH,2,pupuk
CINDE LARAS,CV. CINDE LARAS,2,pupuk
PT. DYRIZ INDONESIA,PT. DYRIZ INDONESIA,2,pestisida
PATIH GAJAHMADA,PATIH GAJAHMADA,2,pestisida+pupuk
PT. PROPADU KONAIR TARAHUBUN,PT. PROPADU KONAIR TARAHUBUN,2,pestisida
PT. POLARCHEM,PT POLARCHEM,2,pestisida
PT POLARCHEM,PT POLARCHEM,2,pupuk-legacy
PT. CENTRA BIOTECH INDONESIA,PT. CENTRA BIOTECH INDONESIA,2,pestisida
PT. NATHANI INDONESIA,PT. NATHANI INDONESIA,2,pestisida
PT. AGROCHEM JAYA,PT. AGROCHEM JAYA,2,pestisida
PT. LOTUS GLOBALINDO SENTOSA,PT. LOTUS GLOBALINDO SENTOSA,2,pestisida
PT. ESSENCE AGRO CHEMICAL,PT. ESSENCE AGRO CHEMICAL,2,pestisida
PT. INTITANI AGROKIMINDO,PT. INTITANI AGROKIMINDO,2,pestisida
CV. PRADIPTA PARAMITA,CV. PRADIPTA PARAMITA,2,pestisida
PT. TURRIMA AGRO MASS BORNEO,PT. TURRIMA AGRO MASS BORNEO,2,pestisida
PT. ANUGRAH SENTANA AGRO,PT. ANUGRAH SENTANA AGRO,2,pestisida
PT. MAKUTA AGRO SEJATI,PT. MAKUTA AGRO SEJATI,2,pestisida
CV. TANI LESTARI,CV. TANI LESTARI,2,pestisida
BARU INDONESIA,CV. BARU INDONESIA,2,pupuk
PT. NOPOSION AGROCHEMICALS INDONESIA,PT. NOPOSION AGROCHEMICALS INDONESIA,2,pestisida
