principal,sektor,jml_produk_pupuk,jml_produk_pestisida,jml_produk_total,rincian_jenis_pestisida,nama_varian_lain
CV. Bintang Asri Arthauly,Pupuk,6,0,6,,
CV. PRIMA AGRO PERKASA,Pestisida,0,6,6,Insektisida:4; Herbisida:2,
CV. PRIMA BERKAH NUSANTARA,Pupuk+Pestisida,3,3,6,Fungisida:2; Insektisida:1,PRIMA BERKAH NUSANTARA
CV. Sumber Buana Perkasa,Pupuk,6,0,6,,
FARMINDO ANN CHEMICAL,Pupuk,6,0,6,,
GREAT GIANT PINEAPPLE,Pupuk,6,0,6,,
INDUSTRI KEBUN NUSANTARA,Pupuk,6,0,6,,
MANUNGGAL AGRO TANI,Pupuk,6,0,6,,
MULTIFARM INTI SEJAHTERA,Pupuk,6,0,6,,
MZ MEDICAL,Pupuk,6,0,6,,
NOUSINDO NUSANTARA AGRI,Pupuk,6,0,6,,
PT Agrimas Utama Indonesia,Pupuk,6,0,6,,
PT. AGRINDO SANDARAN MAS,Pestisida,0,6,6,Insektisida:4; Zat Pengatur Tumbuh Tanaman:1; Herbisida:1,
PT. AGRITANI MAKMUR MANDIRI,Pupuk,6,0,6,,
PT. AGROINDO,Pupuk,6,0,6,,
PT. AMPUH PERKASA JAYA,Pestisida,0,6,6,Pestisida Rumah Tangga:6,
PT. ANDALL HASA PRIMA,Pestisida,0,6,6,Herbisida:6,
PT. Angputra Global Organik,Pupuk,6,0,6,,ANGPUTRA GLOBAL ORGANIK
PT. BINTANG RAPESTRA ABADI,Pestisida,0,6,6,Insektisida:3; Fungisida:2; Moluskisida:1,
PT. Bhadra Cemerlang,Pupuk,6,0,6,,BHADRA CEMERLANG
PT. FADJARPURNAMA PRATAMA INTI,Pestisida,0,6,6,Herbisida:4; Insektisida:1; Zat Pengatur Tumbuh Tanaman:1,
PT. FAJAR BUANA CHEMICAL,Pupuk+Pestisida,2,4,6,Herbisida:4,PT FAJAR BUANA CHEMICAL
PT. Graha Inti Jaya,Pupuk,6,0,6,,
PT. INDONESIA BENXING INDUSTRIAL,Pestisida,0,6,6,Herbisida:6,
PT. IRQ MAKMUR JAYA,Pupuk,6,0,6,,IRQ MAKMUR JAYA
PT. LUMBUNG AGRO MAKMUR,Pupuk+Pestisida,2,4,6,Insektisida:2; Zat Pengatur Tumbuh Tanaman:1; Herbisida:1,LUMBUNG AGRO MAKMUR
PT. MEKAR WARNA SARI,Pestisida,0,6,6,Insektisida:4; Fungisida:1; Zat Pengatur Tumbuh Tanaman:1,
PT. PRIMA AGRO NETWORK,Pupuk+Pestisida,4,2,6,Herbisida:2,PRIMA AGRO NETWORK
PT. SEJUK ALAM LESTARI,Pupuk+Pestisida,4,2,6,Herbisida:2,SEJUK ALAM LESTARI
PT. SENTRAL TANI NUSANTARA,Pestisida,0,6,6,Herbisida:4; Insektisida:2,
PT. SHADANI INSAN MULIA ABADI,Pupuk,6,0,6,,
PT. SUPRA TUSAMAN ABADI,Pestisida,0,6,6,Pestisida Rumah Tangga:4; Repelen:2,
PT. SURAT TANI,Pestisida,0,6,6,Herbisida:5; Fungisida:1,
PT. TRI AGRO CHEMICALS,Pestisida,0,6,6,Insektisida:4; Moluskisida:1; Herbisida:1,
PT. TUNAS HARMONI ABADI,Pupuk+Pestisida,4,2,6,Fungisida:1; Insektisida:1,TUNAS HARMONI ABADI
PT.WONDERINDO PHARMATAMA,Pupuk,6,0,6,,WONDERINDO PHARMATAMA
RAJAWALI BUANA KREASI,Pupuk,6,0,6,,
REDSTONE INDONESIA MAKMUR,Pupuk,6,0,6,,
SENTRA TANI SEJAHTERA,Pupuk,6,0,6,,
SINERGI INTI PANEN,Pupuk,6,0,6,,
SINKA SINYE AGROTAMA,Pupuk,6,0,6,,
STANLEY AGRO NUSANTARA,Pupuk,6,0,6,,
STEFES INDONESIA,Pupuk,6,0,6,,
SUMBER ALAM BAROKAH,Pupuk,6,0,6,,
SUMBER MURNI GRUP,Pupuk,6,0,6,,
SUMBER SUBUR SEJATI,Pupuk,6,0,6,,
WINNERS AVENUE SURABAYA,Pupuk,6,0,6,,
AGRITAMA TUMBUH PERKASA,Pupuk,5,0,5,,
AGRO MAKMUR MANDIRI,Pupuk,5,0,5,,
AGRO NUSANTARA INTERNASIONAL,Pupuk,5,0,5,,
AGROLAND MANDIRI UTAMA,Pupuk,5,0,5,,
ALL COSMOS BIOTEK,Pupuk,5,0,5,,
ANDI JAYA INDUSTRI,Pupuk,5,0,5,,
ATS INTI SAMPOERNA,Pupuk,5,0,5,,
BERKAT MITRA MAKMUR,Pupuk,5,0,5,,
BINTANG ASRI ARTHAULI,Pupuk,5,0,5,,
BINTANG TIMUR PASIFIK,Pupuk,5,0,5,,
CV. Anugerah Tani Makmur,Pupuk,5,0,5,,ANUGERAH TANI MAKMUR
CV. KUJANG MAS AGRO KENCANA,Pupuk,5,0,5,,
CV. PRIMA AGRO LANCAR,Pupuk+Pestisida,4,1,5,Insektisida:1,PRIMA AGRO LANCAR; PT. PRIMA AGRO LANCAR
CV. PRIMA TANI MANDIRI,Pupuk,5,0,5,,PRIMA TANI MANDIRI
CV. Sumber Rejeki,Pupuk,5,0,5,,SUMBER REJEKI
CV. TUNAS SUBUR,Pestisida,0,5,5,Insektisida:4; Fungisida:1,
CV. Tiga Tunas Bangsa,Pupuk,5,0,5,,
DMG PHARMA LABORATORIES,Pupuk,5,0,5,,
DWI JAYA EKAPRIMA,Pupuk,5,0,5,,
ELIT SOLUSI NIAGA,Pupuk,5,0,5,,
FEMU ENVIRO RISORINDO,Pupuk,5,0,5,,
GATEWAY INTERNUSA,Pupuk,5,0,5,,
GREEN AGRI INDONESIA,Pupuk,5,0,5,,
MILLENIS MITRA INDONESIA,Pupuk,5,0,5,,
MITRA AGUNG SAWITA SEJATI,Pupuk,5,0,5,,
MON LEON INDONESIA,Pupuk,5,0,5,,
PT ARIGOLD YOOHA CORP,Pupuk,5,0,5,,
PT Belirang Perkasa Agro,Pestisida,0,5,5,Insektisida:4; Fungisida:1,
PT Indo Pest Biochem,Pestisida,0,5,5,Pestisida Pengendalian Vektor Penyakit Pada Manusia:3; Insektisida:1; Bahan pengawet kayu:1,
PT. ACE BIOCHEM INDONESIA,Pestisida,0,5,5,Insektisida:2; Fungisida:2; Zat Pengatur Tumbuh Tanaman:1,
PT. AGRI KEMIA NATURA,Pupuk+Pestisida,2,3,5,Herbisida:2; Fumigan:1,AGRI KEMIA NATURA
PT. ARENA AGRO UTAMA,Pupuk+Pestisida,1,4,5,Fungisida:2; Zat Pengatur Tumbuh Tanaman:2,
PT. Andalan Chemist Indonesia,Pupuk,5,0,5,,
PT. BERKAH SUMBER SUKSES,Pestisida,0,5,5,Insektisida:2; Fungisida:2; Moluskisida:1,
PT. BRILLIANCE AGROSCIENCES INDONESIA,Pestisida,0,5,5,Herbisida:5,
PT. CATUR MANUNGGAL JAYA ABADI,Pestisida,0,5,5,Herbisida:2; Insektisida:2; Fungisida:1,
PT. ENSYSTEX INTERNATIONAL INDONESIA,Pestisida,0,5,5,Pestisida Pengendalian Vektor Penyakit Pada Manusia:3; Bahan pengawet kayu:2,
PT. INDO GLOBAL TRADE,Pestisida,0,5,5,Fumigan:5,
PT. INTER AGRO TECHNOLOGY INDONESIA,Pestisida,0,5,5,Rodentisida:2; Insektisida:2; Repelen:1,
PT. KIMIKA USAHA PRIMA,Pestisida,0,5,5,Insektisida:2; Fungisida:2; Herbisida:1,
PT. NATHANI INDONESIA,Pupuk+Pestisida,3,2,5,Fungisida:2,NATHANI INDONESIA
PT. NIROGA SUMBER SEJAHTERA,Pestisida,0,5,5,Pestisida Pengendalian Vektor Penyakit Pada Manusia:4; Insektisida:1,
PT. NUSANTARA SURYA BENIH,Pupuk+Pestisida,2,3,5,Bahan pengawet kayu:3,NUSANTARA SURYA BENIH
PT. OSIMO INDONESIA,Pestisida,0,5,5,Pestisida Rumah Tangga:5,
PT. PANEN AGRO PERKASA INDONESIA,Pestisida,0,5,5,Herbisida:4; Insektisida:1,
PT. PERDANA AGRO MANDIRI,Pestisida,0,5,5,Insektisida:3; Herbisida:1; Moluskisida:1,
PT. PLANTSAFE FERTILIZER INDONESIA,Pupuk,5,0,5,,PLANTSAFE FERTILIZER INDONESIA
PT. PRIMA LESTARI AGROSCIENCES INDONESIA,Pestisida,0,5,5,Fungisida:2; Herbisida:2; Insektisida:1,
PT. PRIMA MULIA ABADI,Pupuk,5,0,5,,PRIMA MULIA ABADI
PT. PUTRA TIMUR AGRO NUSANTARA,Pestisida,0,5,5,Herbisida:3; Insektisida:2,
PT. RIA INDO AGRI,Pupuk+Pestisida,2,3,5,Insektisida:3,PT. Ria Indo Agri
PT. SEGORO INTERNASIONAL,Pestisida,0,5,5,Pestisida Pengendalian Vektor Penyakit Pada Manusia:3; Bahan pengawet kayu:1; Insektisida:1,
PT. SUMITOMO INDONESIA,Pupuk+Pestisida,1,4,5,Fungisida:3; Herbisida:1,SUMITOMO INDONESIA
PT. TAKBIR SUKMA TRADA INDONESIA,Pestisida,0,5,5,Insektisida:3; Pestisida lain-lain:1; Pestisida Rumah Tangga:1,
PT. TEXCHEM INDONESIA,Pestisida,0,5,5,Insektisida:5,
PT. Tranquerah Nusantara Cerah,Pupuk,5,0,5,,
PT. Triasindo Subur Prima,Pupuk,5,0,5,,
PT. UNITED ALACRITY INDONESIA,Pupuk+Pestisida,4,1,5,Insektisida:1,UNITED ALACRITY INDONESIA
PT.GUNUNG BERKAT SEJAHTERA,Pupuk,5,0,5,,GUNUNG BERKAT SEJAHTERA
PT.MITRA CIPTA AGRO,Pupuk,5,0,5,,MITRA CIPTA AGRO
PT.NOVACHEM ADAMANTINA,Pupuk,5,0,5,,NOVACHEM ADAMANTINA
PUPUK SWADAYA PURIMAS,Pupuk,5,0,5,,
PUTERA RAYA ABADI,Pupuk,5,0,5,,
RAJA ARTHA AGRO,Pupuk,5,0,5,,
WIKA JAYA MANDIRI,Pupuk,5,0,5,,
AGRO INDAH PERMATA 21,Pupuk,4,0,4,,
AGRO UNGGUL JAYAMAKMUR,Pupuk,4,0,4,,
AGRO ZYM JAYA,Pupuk,4,0,4,,
ALAM SEMESTA INDONESIA,Pupuk,4,0,4,,
BIO KONVERSI INDONESIA,Pupuk,4,0,4,,
BISATANI SUKSES UTAMA,Pupuk,4,0,4,,
BUMI GEMILANG ARTHA,Pupuk,4,0,4,,
CV MAKMUR ABADI,Pupuk,4,0,4,,
CV. AGRO BIO MAHLIGAI,Pupuk,4,0,4,,AGRO BIO MAHLIGAI
CV. BUMI AGRO FERTILIZER,Pupuk,4,0,4,,BUMI AGRO FERTILIZER
CV. BUMINDO ABADI MAKMUR,Pestisida,0,4,4,Fungisida:4,
CV. CENTRAL BUKIT MORIA,Pestisida,0,4,4,Pestisida Rumah Tangga:4,
CV. Cahaya Agro Persada,Pupuk,4,0,4,,
CV. INTI TANI MAKMUR,Pupuk,4,0,4,,
CV. Makmur Sembada,Pupuk,4,0,4,,CV. MAKMUR SEMBADA
CV. Ruthani Mandiri,Pupuk,4,0,4,,
CV. SAHABAT TANI MANDIRI,Pupuk,4,0,4,,SAHABAT TANI MANDIRI
CV. SINAR AGRO KIMIA INDONESIA,Pestisida,0,4,4,Insektisida:3; Fungisida:1,
CV. SUBUR TANI AGRO RAYA SEJAHTERA,Pestisida,0,4,4,Herbisida:4,
CV. SUGI TEKNIK PANGAN,Pupuk+Pestisida,1,3,4,Insektisida:3,SUGI TEKNIK PANGAN
CV. Satria Jaya,Pupuk,4,0,4,,SATRIA JAYA
CV. Subur Makmur Sejahtera,Pupuk,4,0,4,,SUBUR MAKMUR SEJAHTERA
CV. TUMBUH BERKEMBANG SEJAHTERA,Pupuk,4,0,4,,
DELIMA MANDALA SURYA,Pupuk,4,0,4,,
ESTU SEBA AGRINUSA,Pupuk,4,0,4,,
GEMA TANI ETAM,Pupuk,4,0,4,,
GLOBAL MANTEP LESTARI,Pupuk,4,0,4,,
GREENTECH INTERNATIONAL,Pupuk,4,0,4,,
HABDHI NEGORO MANDIRI,Pupuk,4,0,4,,
KARUNIA NIAGA SEJAHTERA,Pupuk,4,0,4,,
KERINA MARGA PLANTATION,Pupuk,4,0,4,,
KERTO KENCANA ABADI,Pupuk,4,0,4,,
LINTANG MAS AGRO,Pupuk,4,0,4,,
MANDIRI DUASATU,Pupuk,4,0,4,,
MANDIRI PALMERA AGRINDO,Pupuk,4,0,4,,
MANUNGGAL MERDEKA MAKMUR,Pupuk,4,0,4,,
MISSION TANI,Pupuk,4,0,4,,
NICO MANDIRI SEJAHTERA,Pupuk,4,0,4,,
NITIS PUSAKA KUSUMA,Pupuk,4,0,4,,
NIVIDIA PRATAMA KHATULISTIWA,Pupuk,4,0,4,,
NUSA TANI,Pupuk,4,0,4,,
POSPORINDO NUSANTARA,Pupuk,4,0,4,,
PT Bursatani Global Niaga,Pupuk,4,0,4,,BURSATANI GLOBAL NIAGA
PT Dunia Kimia Jaya,Pupuk,4,0,4,,DUNIA KIMIA JAYA
PT HARVESTMORE MULTITRADE INDONESIA,Pupuk,4,0,4,,
PT INDMIRA,Pupuk,4,0,4,,
PT Lamandau Subur Sejahtera,Pupuk,4,0,4,,
PT Pupuk Indonesia (Persero),Pupuk,4,0,4,,
PT TRI TUNGGAL ABADI MULIA,Pupuk,4,0,4,,
PT TRIASINDO ROYAL AGRO,Pupuk,4,0,4,,
PT. AVEL PESTINDO,Pestisida,0,4,4,Zat Pengatur Tumbuh Tanaman:3; Herbisida:1,
PT. BRAVO DINAMIKA,Pestisida,0,4,4,Insektisida:2; Herbisida:1; Moluskisida:1,
PT. CAKRA AGRO INDONESIA,Pestisida,0,4,4,Insektisida:2; Fungisida:1; Zat Pengatur Tumbuh Tanaman:1,
PT. DELAPAN ENAM BERLIAN,Pupuk,4,0,4,,
PT. EKA SALA ALFAINDO,Pestisida,0,4,4,Herbisida:4,
PT. Hasya Jaya Shafadila,Pupuk,4,0,4,,HASYA JAYA SHAFADILA
PT. INDO ASIA TIRTA MANUNGGAL,Pestisida,0,4,4,Bakterisida:3; Fungisida:1,
PT. Indevco Internusa,Pupuk,4,0,4,,
PT. KATAYA ABADI,Pestisida,0,4,4,Pestisida Pengendalian Vektor Penyakit Pada Manusia:4,
PT. KUDA RAYA KARYANUSA,Pestisida,0,4,4,Pestisida Rumah Tangga:4,
PT. LANGGENG MUSTIKA CHEMINDO,Pestisida,0,4,4,Herbisida:4,
PT. MEDION FARMA JAYA,Pestisida,0,4,4,Insektisida:2; Pestisida Rumah Tangga:1; Pestisida lain-lain:1,
PT. MITRA SUKSES AGRINDO,Pupuk+Pestisida,3,1,4,Fungisida:1,MITRA SUKSES AGRINDO; PT Mitra Sukses Agrindo
PT. MULTI GLOBAL CENTRO,Pestisida,0,4,4,Fumigan:3; Insektisida:1,
PT. MULTIGUNA GEMILANG,Pestisida,0,4,4,Fumigan:4,
PT. Makro Chemindo,Pupuk,4,0,4,,MAKRO CHEMINDO
PT. PT. Perusahaan Perdagangan Indonesia (Persero),Pestisida,0,4,4,Insektisida:4,
PT. PT.BARU TOTAL SOLUSINDO,Pestisida,0,4,4,Herbisida:2; Rodentisida:2,
PT. RAWWA ROUNDTEC INDONESIA,Pupuk+Pestisida,1,3,4,Insektisida:2; Zat Pengatur Tumbuh Tanaman:1,RAWWA ROUNDTEC INDONESIA
PT. RIZKY FAJAR AGRO,Pupuk,4,0,4,,
PT. SANJAYA SEJAHTERA LESTARI,Pestisida,0,4,4,Herbisida:4,
PT. SEJAHTERA AGRONUSA LESTARI,Pestisida,0,4,4,Herbisida:4,
PT. SINGA KIMIA INDONESIA,Pestisida,0,4,4,Pestisida Pengendalian Vektor Penyakit Pada Manusia:3; Pestisida Rumah Tangga:1,
PT. SOLUSI MAJU AGRO TANI,Pestisida,0,4,4,Insektisida:3; Fungisida:1,
PT. SPEKTRUM GEO INAGRO,Pestisida,0,4,4,Herbisida:4,
PT. Sarana Utama Lestari Alam,Pupuk,4,0,4,,SARANA UTAMA LESTARI ALAM
PT. Selaras Alam Sejahtera,Pupuk,4,0,4,,SELARAS ALAM SEJAHTERA
PT. Setia Bersama,Pupuk,4,0,4,,
PT. Spektra Global Intiagro,Pestisida,0,4,4,Herbisida:3; Insektisida:1,
PT. Super Tani Indonesia,Pupuk,4,0,4,,
PT. TIENYEN INTERNATIONAL,Pestisida,0,4,4,Insektisida:4,
PT. Tani Karya Makmur Sejahtera,Pupuk,4,0,4,,
PT. WIRAJAYA MITRA SUKSESTAMA,Pestisida,0,4,4,Pestisida Rumah Tangga:3; Moluskisida:1,
PT.CENTRAL ALAM RESOURCES LESTARI,Pupuk,4,0,4,,
PUTRA HAKA PERKASA,Pupuk,4,0,4,,
REZEKI BERSAMA INDONESIA,Pupuk,4,0,4,,
RISET PERKEBUNAN NUSANTARA,Pupuk,4,0,4,,
SAKURA FISHERIES,Pupuk,4,0,4,,
SARIMAKMUR SULTAN NUSANTARA,Pupuk,4,0,4,,
SEA SIX ENERGY INDONESIA,Pupuk,4,0,4,,
SINAR EMPAT PILAR UTAMA,Pupuk,4,0,4,,
SINAR MAS MALAKA,Pupuk,4,0,4,,
SOBAT TANI,Pupuk,4,0,4,,
SUBUR PERKASA NUSANTARA,Pupuk,4,0,4,,
SURYA NUSANTARA SEJATI,Pupuk,4,0,4,,
TANINDO TETAP JAYA,Pupuk,4,0,4,,
TIMURAYA TUNGGAL,Pupuk,4,0,4,,
TUNAS FOREST GEMILANG,Pupuk,4,0,4,,
"""CAHYA SEJATI""",Pupuk,3,0,3,,
AGRI PRIME INTERNATIONAL,Pupuk,3,0,3,,
AGRIBISNIS TECHNOLOGY INDONESIA,Pupuk,3,0,3,,
AGRITAMA PRIMA MANDIRI,Pupuk,3,0,3,,
AGRO FARMERY INDONESIA,Pupuk,3,0,3,,
AGRO LESTARI JAYA,Pupuk,3,0,3,,
AGRO RAYA TIMUR GROUP,Pupuk,3,0,3,,
AGROMAX MAKMUR SEKAWAN,Pupuk,3,0,3,,
ANARD BUMI SENTOSA,Pupuk,3,0,3,,
ARICTON EXIM INDONESIA,Pupuk,3,0,3,,
ARTHA BUANA,Pupuk,3,0,3,,
ARTHA CHRISTA,Pupuk,3,0,3,,
ASIA MIKRO PUPUK,Pupuk,3,0,3,,
BAROKAH PRIMA TANI,Pupuk,3,0,3,,
BASISCROP INDONESIA,Pupuk,3,0,3,,
BERKAH TANI LESTARI,Pupuk,3,0,3,,
BUMI IMPERIUM INDONESIA,Pupuk,3,0,3,,
BUMI PERSADA SIDAYU,Pupuk,3,0,3,,
BUMI REKAYASA PERSADA,Pupuk,3,0,3,,
BUMI SUBUR RIZQUNA,Pupuk,3,0,3,,
CHEMSTAR AGRO INDONESIA,Pupuk,3,0,3,,
CIPTA AGRO NUSANTARA,Pupuk,3,0,3,,
CIPTA SARANA INDOTANI,Pupuk,3,0,3,,
CV AGRO PERSADA,Pupuk,3,0,3,,
CV AGRO PETANI MAJU,Pupuk,3,0,3,,
CV Agro Niaga Sejati,Pupuk,3,0,3,,AGRO NIAGA SEJATI
CV Arisna Jaya,Pupuk,3,0,3,,
CV JAYA SRI BERSAMA,Pupuk,3,0,3,,JAYA SRI BERSAMA
CV MARZUQ,Pupuk,3,0,3,,MARZUQ
CV. ASRITANI UTAMA,Pestisida,0,3,3,Fungisida:2; Insektisida:1,
CV. Agro Santanindo,Pupuk,3,0,3,,AGRO SANTANINDO
CV. Agronusa Mandiri,Pupuk,3,0,3,,
CV. BARU INDONESIA,Pupuk+Pestisida,2,1,3,Rodentisida:1,BARU INDONESIA
CV. BERKAT MANNA MAJU,Pupuk+Pestisida,2,1,3,Fungisida:1,BERKAT MANNA MAJU
CV. CINDE LARAS,Pupuk+Pestisida,2,1,3,Insektisida:1,CINDE LARAS
CV. CULTURE AGRITECH INTERZONA,Pestisida,0,3,3,Insektisida:2; Fungisida:1,
CV. DMA,Pestisida,0,3,3,Insektisida:3,
CV. Deka Agro Product,Pupuk,3,0,3,,DEKA AGRO PRODUCT
CV. Duta Surya Alam,Pupuk,3,0,3,,
CV. FLORA DAN FAUNA,Pestisida,0,3,3,Herbisida:2; Zat Pengatur Tumbuh Tanaman:1,
CV. GHANDI PUTRA,Pupuk,3,0,3,,
CV. Jaya Makmur Sentausa,Pupuk,3,0,3,,JAYA MAKMUR SENTAUSA
CV. PESANGGEM MITRA ABADI,Pupuk,3,0,3,,PESANGGEM MITRA ABADI
CV. RAJA BENUA MAS,Pupuk+Pestisida,2,1,3,Fungisida:1,RAJA BENUA MAS
CV. Rahma Jaya,Pupuk,3,0,3,,RAHMA JAYA
CV. SARANA TANI MAKMUR,Pestisida,0,3,3,Insektisida:2; Fungisida:1,
CV. Tani Subur Perkasa,Pupuk,3,0,3,,
DELTA GREEN ZONE,Pupuk,3,0,3,,
DEWI SRI RAMA I,Pupuk,3,0,3,,
DUA POHON BESAR,Pupuk,3,0,3,,
FERTILINDO AGROLESTARI,Pupuk,3,0,3,,
HIKMAH TANI,Pupuk,3,0,3,,
HYDRO FARM INDONESIA,Pupuk,3,0,3,,
INDO BAY BIO,Pupuk,3,0,3,,
INDOFAST AGRO NUSANTARA,Pupuk,3,0,3,,
INTI MIKRO INDONESIA,Pupuk,3,0,3,,
JASA TAMBANG ACEH,Pupuk,3,0,3,,
JENAWI SUBURINDO REJEKI,Pupuk,3,0,3,,
JENGGONG MAGTASIDA GRUP,Pupuk,3,0,3,,
KAKIMAS PRIMA PERKASA,Pupuk,3,0,3,,
KURNIA MAS,Pupuk,3,0,3,,
LAMPOKO TERNAK INDONESIA,Pupuk,3,0,3,,
MABARFEED INDONESIA,Pupuk,3,0,3,,
MAGNESIUM GOSARI INTERNASIONAL,Pupuk,3,0,3,,
MULTI ALAM RAYA SEJAHTERAA,Pupuk,3,0,3,,
NELAYAN INDONESIA JAYA,Pupuk,3,0,3,,
NEO CROP SOLUTIONS,Pupuk,3,0,3,,
NEO SINAR MEDAN,Pupuk,3,0,3,,
NUGEN CROP INDONESIA,Pupuk,3,0,3,,
NUSANTARA GREEN LAND,Pupuk,3,0,3,,
PANEN AGRO NIAGA,Pupuk,3,0,3,,
PERMANA AGRO LESTARI,Pupuk,3,0,3,,
PINAGO UTAMA,Pupuk,3,0,3,,
PRATAMA AGRO SENTOSA,Pupuk,3,0,3,,
PT AGRI MULTI LESTARI,Pupuk,3,0,3,,
PT RENER INTI INTERNASIONAL,Pupuk,3,0,3,,
PT. AGRI KIMIA NUSANTARA,Pestisida,0,3,3,Herbisida:3,
PT. AGRICULTURE CONSTRUCTION INDONESIA,Pestisida,0,3,3,Insektisida:3,
PT. AGRIVA CROPSCIENCE INDONESIA,Pestisida,0,3,3,Insektisida:3,
PT. AGRO TANI MAJU SEJAHTERA,Pupuk,3,0,3,,AGRO TANI MAJU SEJAHTERA
PT. AGROABADI MAKMUR PERSADA,Pupuk,3,0,3,,AGROABADI MAKMUR PERSADA
PT. AGROSIDA SELARAS BERSAMA,Pestisida,0,3,3,Fungisida:2; Insektisida:1,
PT. AGROW USAHA TANI INDONESIA,Pestisida,0,3,3,Insektisida:2; Herbisida:1,
PT. Agri Jaya Manggala,Pupuk,3,0,3,,AGRI JAYA MANGGALA
PT. Aneka Nutrisi Global Indonesia,Pupuk,3,0,3,,ANEKA NUTRISI GLOBAL INDONESIA
PT. CIPTA KARYA UNGGULAN,Pestisida,0,3,3,Pestisida Rumah Tangga:2; Repelen:1,
PT. DEWARI AGRO SAKTI,Pupuk+Pestisida,2,1,3,Insektisida:1,DEWARI AGRO SAKTI
PT. DWI AGRO HAYATI,Pupuk,3,0,3,,
PT. Duta Alam Prima,Pestisida,0,3,3,Insektisida:2; Fungisida:1,
PT. GLOBAL AGRO MANDIRI,Pestisida,0,3,3,Fungisida:1; Insektisida:1; Herbisida:1,
PT. GOLDEN MAKMUR AGRI,Pestisida,0,3,3,Herbisida:3,
PT. GOODFARM CHEMICAL INDONESIA,Pestisida,0,3,3,Insektisida:1; Fungisida:1; Herbisida:1,
PT. GRESIK NUSANTARA FERTILIZER,Pupuk,3,0,3,,GRESIK NUSANTARA FERTILIZER
PT. Guthrie Agri Bio,Pestisida,0,3,3,Rodentisida:2; Atraktan / Feromon:1,
PT. INTI TANI NIAGA,Pupuk+Pestisida,1,2,3,Herbisida:2,INTI TANI NIAGA
PT. JASINDO KREASI MANDIRI,Pupuk,3,0,3,,
PT. JUBARO AGRO INDONESIA,Pestisida,0,3,3,Insektisida:2; Fungisida:1,
PT. MODERN AGRICULTURE INDONESIA,Pestisida,0,3,3,Insektisida:3,
PT. NUSA BERKAT ALAM,Pupuk,3,0,3,,NUSA BERKAT ALAM
PT. NUSANTARA AGRO TAMA,Pupuk,3,0,3,,
PT. PERINTIS NIAGA INDONESIA,Pupuk,3,0,3,,
PT. PESTINDO SOLUTION,Pestisida,0,3,3,Rodentisida:2; Pestisida Rumah Tangga:1,
PT. PHOSPHINDO JAYA UTAMA,Pestisida,0,3,3,Fumigan:2; Insektisida:1,
PT. PUTRISARI KIMIANUSA,Pestisida,0,3,3,Herbisida:3,
PT. Perdagangan Indo Mandiri Sejati,Pupuk,3,0,3,,
PT. RAGAM MANDIRI,Pestisida,0,3,3,Herbisida:3,
PT. REJEKI AGRO INDONESIA,Pupuk+Pestisida,1,2,3,Insektisida:1; Herbisida:1,REJEKI AGRO INDONESIA
PT. ROJO KOYO MANUNGGAL GROUP,Pupuk,3,0,3,,ROJO KOYO MANUNGGAL GROUP
PT. SERA AGRO NUTRINDO,Pupuk,3,0,3,,
PT. SOLUSI LINGKUNGAN INDUSTRI NUSANTARA,Pupuk,3,0,3,,
PT. SURYA KARYA ANDALAN,Pestisida,0,3,3,Herbisida:3,
PT. SYNAGRO PERKASA,Pestisida,0,3,3,Herbisida:3,
PT. TOYOTA TSUSHO INDONESIA,Pestisida,0,3,3,Fungisida:3,
PT. Trubus Mitra Swadaya,Pupuk,3,0,3,,TRUBUS MITRA SWADAYA
PT. VADEL KSATRIA SAMUDRA INDONESIA,Pestisida,0,3,3,Pestisida Pengendalian Vektor Penyakit Pada Manusia:2; Pestisida Rumah Tangga:1,
PT. YUDHA PERDANA ANGESTI,Pupuk,3,0,3,,YUDHA PERDANA ANGESTI
PT. ZAINI MAKMUR SENTOSA,Pestisida,0,3,3,Insektisida:1; Fungisida:1; Herbisida:1,
PT. ZAMRUD LINTAS KATULISTIWA,Pestisida,0,3,3,Pestisida Pengendalian Vektor Penyakit Pada Manusia:2; Insektisida:1,
PUPUK LAPAN HARSA,Pupuk,3,0,3,,
PUPUK PARIT KITANG,Pupuk,3,0,3,,
RAHMA JAYA BERSAMA,Pupuk,3,0,3,,
RAJAWALI CITRA ALAM,Pupuk,3,0,3,,
REJEKI INDAH MANDIRI,Pupuk,3,0,3,,
REKATANI INDONESIA,Pupuk,3,0,3,,
RUCI TANI JAYA ABADI,Pupuk,3,0,3,,
RUHISA PERSADA,Pupuk,3,0,3,,
SAF AGRO JAYA,Pupuk,3,0,3,,
SANG HYANG SERI,Pupuk,3,0,3,,
SARANA GLOBAL PHOSPHORINDO,Pupuk,3,0,3,,
SARI BUMI SIDAYU,Pupuk,3,0,3,,
SIGMA KARYA BUANA,Pupuk,3,0,3,,
SUKINDO SUPRASEMESTA,Pupuk,3,0,3,,
SULTAN ISKANDAR MUDA,Pupuk,3,0,3,,
SUMBER ALAM UNGGUL,Pupuk,3,0,3,,
SURYA MENTARI SAKTINDO,Pupuk,3,0,3,,
SUTERA AGRINDO UTAMA,Pupuk,3,0,3,,
TIGA UNGGUL SEJAHTERA,Pupuk,3,0,3,,
WIRAPUTRA AGRO MANDIRI,Pupuk,3,0,3,,
ADAMAS MAKMUR SEJAHTERA,Pupuk,2,0,2,,
