merk_dagang,nomor_pendaftaran,pemegang_pendaftaran,jenis_pupuk,bentuk_formula,tipe_permohonan,tgl_terbit,tgl_berakhir,jumlah_perubahan,product_id,perusahaan_id
Mahkota,01.03.2021.704,PT. WILMAR CHEMICAL INDONESIA,,Tepung (Powder),Pendaftaran Ulang Ganjil,2021-05-19,2026-05-19,0,730f6dca-8d62-4391-baf8-27b24d3a8835,f46679f0-5a47-4d85-97e4-cd22abc7bb79
CAP TAWON,01.03.2020.634,KERTOPATEN KENCANA,,Tepung (Powder),Pendaftaran Ulang Ganjil,2020-09-07,2025-09-07,0,73106bb1-538c-4399-8a93-66388988c6c9,08fef8a4-93c2-4291-8978-5acb259417ea
MIKROBION,03.02.2021.303,PT. BIOGREEN AGRO NUSA,Hayati Majemuk,Cair (Liquid),Pendaftaran Ulang Genap,2021-01-16,2026-01-16,1,7316b4a9-ef75-48a2-af71-23b3ef96d6ac,66129793-91a5-4d8f-84a9-97fe45488a5b
MerokeKKB,01.01.2025.14,MEROKE TETAP JAYA,,Butiran (Granular),Pendaftaran Baru,2024-11-25,2029-11-25,0,7326a6ef-7839-4ccc-b78a-8f6a1d145152,a5a2f54e-db06-45ca-acd3-bf7db4701956
MICRO ALAM 99 PLUS,02.02.2022.508,CV. Marson Syah,Pupuk Organik,Cair (Liquid),Pendaftaran Ulang Ganjil,2022-04-08,2027-04-08,0,7333574e-f93d-4070-9f26-aa5a2345fa05,d197f6f7-0261-4174-b66f-da0eb8b80709
MENTARI,01.03.2024.2,PERMATA AGRO PERSADA,Pupuk Fosfat Alam Untuk Pertanian,Tepung (Powder),Pendaftaran Baru,2023-12-08,2028-12-08,0,7336cf67-08ed-41e0-96e1-918a77b5899b,d6995698-8fd6-4d4e-81b6-f09a2d303f26
PALMIC,01.01.2024.1145,AGROFARM NUSA RAYA,,Butiran (Granular),Pendaftaran Baru,2024-10-08,2029-10-08,1,733c0f1e-ef3a-4796-930e-b44fea38ce30,42aa8c88-cccb-41f4-8010-2dace3de5164
BUAMAX,01.01.2020.633,PT. HANAMPI SEJAHTERA KAHURIPAN,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2020-08-26,2025-08-26,0,734212b8-6c1a-41ac-81f1-17ad2c5d0b74,ab602e40-08fa-483a-a5f6-66810d0530e3
HERBAGREEN,01.02.2024.992,STEFES INDONESIA,,Cair (Liquid),Pendaftaran Ulang Ganjil,2024-08-26,2029-08-26,0,7367f61f-c64b-4569-ad30-290ff6825320,44dea697-156c-4561-951b-0ac7dd94eea2
CAP TAWON,01.01.2021.849,KERTOPATEN KENCANA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2021-09-03,2026-09-03,0,7369c0a9-3d86-43ad-990d-da027f8374a2,08fef8a4-93c2-4291-8978-5acb259417ea
MANISKALI,01.01.2024.1085,CARLINDO SERASI ABADI,,Butiran (Granular),Pendaftaran Baru,2024-09-09,2029-09-09,0,737322a2-89ad-4b65-a517-a10e76a3ae30,1211d7a9-a798-422a-ab3d-f3cd12c6d19c
STARGROW,01.02.2023.2265,BOMA SAKTI TANI,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Ulang Ganjil,2023-10-11,2028-10-11,1,737ab0e8-b638-488a-a9d8-aaff874278a6,31cb8738-0953-48d7-8dfc-6ec0da58f84e
HARATA,02.08.2024.107,HABIBI PUTRA TANI,Pupuk Organik,Bentuk Lainnya,Pendaftaran Baru,2024-03-15,2029-03-15,0,737df787-7bbf-4780-9c8d-90641677330e,d535f624-2da7-4b3a-8377-d936a8fab1bb
SAFA,01.01.2025.311,SAFA AGROTEK INDONESIA,,Butiran (Granular),Pendaftaran Ulang Ganjil,2025-03-19,2030-03-19,0,7388ab83-f715-43d8-9c4d-fdc9651e2ce2,88a64e70-d2f5-4738-9ccd-151a0b968e40
LOONGZOU,01.03.2024.1027,SASCO INDONESIA,Pupuk Fosfat Alam Untuk Pertanian,Tepung (Powder),Pendaftaran Ulang Ganjil,2024-09-04,2029-09-04,0,738f3757-cf4e-430d-9a5c-e13f7795e0ae,5f3559b5-945e-4d3a-9fe9-b4a089c200fa
HARACOAT,01.01.2023.1378,HANAMPI SEJAHTERA KAHURIPAN,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Butiran (Granular),Pendaftaran Baru,2023-05-31,2028-05-31,0,73912efb-da7f-40c2-ae74-a9fa0bb6466a,1abae3b3-34a1-4b6f-9ef6-c4d1acf957c3
IJOREN,01.03.2025.738,FERTA INDONESIA PERSADA,Pupuk Kalium Klorida (KCl),Tepung (Powder),Pendaftaran Ulang Ganjil,2025-08-26,2030-08-26,0,739d47fb-8842-4383-a3fa-959ef1a68f60,7798cdc9-d553-4b35-8f43-2100d47c2c7a
Mahkota Fertilizer,01.01.2023.662,WILMAR CHEMICAL INDONESIA,Pupuk Kalium Klorida (KCl),Butiran (Granular),Pendaftaran Ulang Ganjil,2023-01-30,2028-01-30,2,73a761a6-74a0-4ad8-b01a-925bac49645b,1511917e-254d-426d-a2db-e9a2e78efbb2
BEENTOP,04.03.2025.116,DHARMA AYU TANI,Senyawa Humat,Tepung (Powder),Pendaftaran Baru,2025-02-26,2030-02-26,0,73b025d5-538d-4c18-b881-9c349d349b95,aa2bb24e-cbe8-47b9-a001-0ca9341ab847
BOP 8,01.03.2023.1282,AGROFARM NUSA RAYA,,Tepung (Powder),Pendaftaran Baru,2022-04-20,2027-04-20,0,73b5feef-995e-47c1-87b9-6c453366817d,42aa8c88-cccb-41f4-8010-2dace3de5164
OKURA EMAS,01.01.2021.908,AGINDA RIAU ABADI,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2021-10-12,2026-10-12,0,73c2d5f1-43f4-4059-903e-8f65d9d92f44,9187f26a-4b32-402c-a09d-e46203630939
SOILNUT,04.03.2025.376,BISATANI SUKSES UTAMA,Senyawa Humat,Tepung (Powder),Pendaftaran Baru,2025-08-14,2030-08-14,0,73d055f9-a7a9-4a18-9afe-fdfca491be62,1ed5ea74-b6a1-44e0-83f9-1299f2b5dfe6
Mentari,01.01.2023.2390,ABADI AGROSINDO PERSADA,"Pupuk Hara Makro Majemuk
",Butiran (Granular),Pendaftaran Baru,2023-12-08,2028-12-08,0,73eb19bc-6d55-4ee2-bc36-1feca4586e8f,84851bab-5b43-414f-99b4-37f27de9a348
BUAMAX,01.01.2024.1267,HANAMPI SEJAHTERA KAHURIPAN,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Butiran (Granular),Pendaftaran Baru,2024-12-05,2029-12-05,0,73ef396f-f649-4ea5-b911-12fdefd540cb,1abae3b3-34a1-4b6f-9ef6-c4d1acf957c3
BIOTIS,01.01.2024.1029,POLARCHEM,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Butiran (Granular),Pendaftaran Baru,2024-09-04,2029-09-04,0,74144a0b-655e-4ac1-b381-5b1ecc8e09c0,8d202e4d-2b77-409d-a196-014aacf30c4c
Mahkota Fertilizer,01.01.2026.128,WILMAR CHEMICAL INDONESIA,Pupuk Kalium Klorida (KCl),Butiran (Granular),Pendaftaran Ulang Ganjil,2026-02-11,2031-02-11,0,7417a7a5-2b5e-4492-ab7e-8cb2827f7bb4,1511917e-254d-426d-a2db-e9a2e78efbb2
TERRABIO,03.03.2026.295,PRIMA AGRO TECH,Pupuk Hayati Majemuk,Tepung (Powder),Pendaftaran Ulang Ganjil,2026-06-26,2031-06-26,0,74231d96-4469-4074-862c-c23ae1bd86bf,1497478e-87df-4363-8da9-1acf60d7f56f
BACTEGROWTH,03.03.2023.1016,EUREEKAGREAT NUSANTARA,Hayati Majemuk,Tepung (Powder),Pendaftaran Baru,2023-09-21,2028-09-21,0,742f1fdd-04e5-481c-8aa1-0dae3c215ff3,aee83c10-a60e-4325-8668-6d053d0c2c5f
LAO YING,01.01.2021.541,MEST INDONESIY,,Butiran (Granular),Pendaftaran Baru,2021-02-05,2026-02-05,2,7432bc63-2af0-417d-ba30-930a699f5bcf,bb03ab12-99e8-46cb-91a4-f237f3ce0ffd
NATURFRUIT,01.02.2024.766,PT. INDOGAL AGRO TRADING,,Cair (Liquid),Pendaftaran Baru,2024-06-26,2029-06-26,0,74387506-9c98-4188-956a-9014e25825ad,3a8eea92-ebc7-4434-bf2a-5fdd034ff84c
HX-AS,01.08.2021.587,DGW PUPUK INDONESIA,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Bentuk Lainnya,Pendaftaran Ulang Genap,2021-03-06,2026-03-06,2,743af277-477d-46b0-9aa8-b147786f9acb,c8a04f82-4325-438e-b9a9-fbd339f00068
KANCIL EMAS,01.01.2024.1016,AGINDA RIAU ABADI,,Butiran (Granular),Pendaftaran Baru,2024-08-21,2029-08-21,0,74429251-7193-46cf-b426-c58120b95df2,9187f26a-4b32-402c-a09d-e46203630939
HERBAGREEN,01.03.2024.1032,STEFES INDONESIA,,Tepung (Powder),Pendaftaran Ulang Ganjil,2024-08-26,2029-08-26,0,74609b48-d282-42e7-8804-7150d03412e9,44dea697-156c-4561-951b-0ac7dd94eea2
suburmandiri,01.01.2023.1543,BHADRA CEMERLANG,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2023-07-25,2028-07-25,1,7467165b-f040-4a25-95d9-d7f555577c3a,05e7eb60-8f61-4911-bbd5-b5ceec30e6ca
D'BOOSTERFER,02.02.2023.570,FEMU ENVIRO RISORINDO,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2023-03-16,2028-03-16,0,746be66d-c04b-4552-8f88-8262f27f4e88,bfa5dacb-e0d9-4e54-9415-31746e3a9c2a
DOLASMA,04.03.2026.140,CV. BAROKAH ZA,Pembenah Tanah Dolomit,Tepung (Powder),Pendaftaran Ulang Genap,2026-03-16,2031-03-16,0,746fe5ef-dc38-40d4-8f14-126de2c956ad,b52575b8-d02f-4032-946a-b41a351c8df3
URALCHEM,01.05.2025.695,MULTI HARA AGRO,Pupuk Urea {CO(NH2)2},Prill,Pendaftaran Baru,2025-08-13,2030-08-13,0,7472e0f3-81c9-440a-8e83-bb284736e3fd,09a40dcf-4ae1-4207-9dc1-3daf0df4220c
CAP LARON,01.01.2024.1173,ANDI JAYA INDUSTRI,Pupuk Fosfat Alam Untuk Pertanian,Butiran (Granular),Pendaftaran Baru,2024-10-21,2029-10-21,0,7473a557-6efd-4af6-80ea-59c358115e04,f49c551a-e50d-483f-9acc-4e0400079463
KENCANA MAS,04.03.2022.941,PT. Catur HIdayah Lestari,Dolomit,Tepung (Powder),Pendaftaran Ulang Ganjil,2022-09-09,2027-09-09,0,74808ee2-7d8e-4a64-a30c-9d87cb3ae330,3fd88987-7028-44bc-8198-f8cb0af5806c
PTORCA,02.02.2026.208,MANUNGGAL MERDEKA MAKMUR,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2026-04-23,2031-04-23,0,749c1fa8-5056-4321-8d16-f6c504ef9812,10a2c58e-84e8-4c7b-af05-f36f48b25a42
AVATARA,01.01.2024.264,NIVIDIA PRATAMA KHATULISTIWA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2024-02-26,2029-02-26,0,749f94a4-d63a-44aa-b944-43019c06acca,8e02a46a-8679-4aee-8809-cbaf102c0d6f
SanBlend,01.01.2023.918,AGRI TANIMAS SELARAS,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2023-03-21,2028-03-21,0,74a53158-4165-48e4-9b0f-7088cd8c87f0,e031df17-742c-4663-be7f-8fb34a6b30ea
TANI UNGGUL,01.03.2024.1220,AGRI MANDIRI SEJAHTERA,Pupuk Fosfat Alam Untuk Pertanian,Tepung (Powder),Pendaftaran Baru,2024-10-29,2029-10-29,0,74a5a059-0137-495e-a767-325e25a87c58,df8f5028-387b-44d8-84a8-fcd78d3e87ca
MULTIDAYA,01.01.2022.1658,MULTIDAYA PUTRA SEJAHTERA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Genap,2022-11-12,2027-11-12,0,74a78e08-a9ca-4408-9e99-91e888d307db,236ff02b-20a2-4b31-a150-1f551ac00ad7
LOONGZOU,01.01.2026.329,SASCO INDONESIA,Pupuk Kalium Klorida (KCl),Butiran (Granular),Pendaftaran Baru,2026-04-23,2031-04-23,0,74b6792f-3820-4447-9ecd-769fab43b766,5f3559b5-945e-4d3a-9fe9-b4a089c200fa
NUMERO UNO,01.02.2022.1874,HAFISA ANUGERAH MAKMUR,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Baru,2022-12-24,2027-12-24,0,74b99007-4d93-46ee-ab91-08662aca0f84,9f487b70-addf-4ac0-bf82-5bb2da84fdd9
MENTARI,01.01.2022.1544,PERMATA AGRO PERSADA,Pupuk Triple Super Fosfat (TSP) {3Ca(H2PO4)2},Butiran (Granular),Pendaftaran Ulang Ganjil,2022-10-20,2027-10-20,0,74dc5736-d9f0-4e3c-99cf-ab37bb4f4a54,d6995698-8fd6-4d4e-81b6-f09a2d303f26
NITROPHOSKA,01.01.2022.1364,SANTANI SEJAHTERA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2022-09-14,2027-09-14,0,74e054ba-17b6-46f5-b9ea-9e6712217fcf,32a43c35-1ca5-4049-9b9a-d322ab71b496
AGRITAMA,01.01.2023.1266,MULTI NIAGA NUSANTARA INDONESIA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2023-04-15,2028-04-15,0,7504be8e-bea4-4b0a-8b40-f45782b41243,9ce30327-5c3d-47c8-ae9d-6e46907f55fc
javagreen,01.01.2021.604,PT. Bumi Subur Sentosa,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Butiran (Granular),Pendaftaran Ulang Ganjil,2021-03-22,2026-03-22,0,7508a820-c47e-4851-a7bf-6c6080e5e8f5,63da1dd8-7426-43ea-b56a-fafc0131f1d4
GOLDEN LAND,01.01.2022.1484,AGRO NUSANTARA INTERNASIONAL,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2022-10-12,2027-10-12,0,75165e7b-e6aa-466d-9c21-e725e3ea071f,e1a9f713-2fd1-4c02-b94f-8ebb7fcf9c6e
HARINJING,03.02.2026.133,TRUBUS MAS LESTARI,Pupuk Hayati Majemuk,Cair (Liquid),Pendaftaran Ulang Ganjil,2026-03-02,2031-03-02,0,75241392-51b7-4420-92b5-129cd610445a,1e553fcf-7349-448f-ae75-58c031b06ed0
LAO YING,01.01.2025.599,MEST INDONESIY,Pupuk Diamonium Fosfat (DAP) {(NH4)2HPO4},Butiran (Granular),Pendaftaran Ulang Genap,2025-07-09,2030-07-09,0,7528af00-1bdd-47a9-9e43-045f69ecd8c0,bb03ab12-99e8-46cb-91a4-f237f3ce0ffd
MAHKOTA SAWIT,04.01.2023.646,EMPAT LIMA NUSWANTORO,Dolomit,Butiran (Granular),Pendaftaran Baru,2023-04-03,2028-04-03,0,753157bf-b955-4f83-959c-3e8e2652b737,daefd687-5a92-461f-9658-773147c62515
POHON MAS,04.03.2025.519,DHARMA KARTAPURA,Kaptan,Tepung (Powder),Pendaftaran Baru,2025-11-13,2030-11-13,0,753a651b-0d71-4530-88a5-7644813792cc,6061df93-6b35-47c3-880b-5e7e5f8a97de
BUNGA MERAH,01.01.2025.1007,WILMAR CHEMICAL INDONESIA,Pupuk Kalium Klorida (KCl),Butiran (Granular),Pendaftaran Ulang Ganjil,2025-12-15,2030-12-15,0,75460ceb-8008-4e2b-a02a-b78da76c23f2,1511917e-254d-426d-a2db-e9a2e78efbb2
BIOTIPUL,03.02.2023.1061,IKASHI SABDA AGUNG,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2023-11-01,2028-11-01,0,75493efe-c2e4-4d39-b64b-0492d378799b,ed433746-2f85-4f69-b2da-4f7c56a5c736
GREENSUPE,01.03.2021.699,DITYA CHEMINDO,,Tepung (Powder),Pendaftaran Ulang Ganjil,2021-05-19,2026-05-19,1,7549d96f-ad38-4b4b-b067-30faf76ac607,f7090f1a-ddb7-4167-99ba-bdd0c02d5985
NAVATI,02.02.2026.16,NAVATI GEMILANG MANDIRI,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2025-12-22,2030-12-22,0,754e3e4e-2f43-4a37-9f50-f604a15802b8,76fdc9c5-107d-490c-9683-43d813cb7495
MAMIGRO,01.03.2021.550,MULTI SARANA INDOTANI,Pupuk Hara Makro Majemuk,Tepung (Powder),Pendaftaran Ulang Ganjil,2021-02-09,2026-02-09,1,754f011d-3ea8-4935-ae2e-88ea9d9fb7c7,17c107d0-3d9b-4d1e-8ab0-cef63ae94f9f
Pomi 4in1,02.02.2024.234,INDO ACIDATAMA,Pupuk Organik,Cair (Liquid),Pendaftaran Ulang Ganjil,2024-05-20,2029-05-20,0,754fd6a4-3d43-420b-ba76-68acf0f2cacb,cb888ba5-4be8-4687-bb57-dc016697f2bd
PAK TANI,01.01.2022.1048,SAPROTAN UTAMA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Genap,2022-05-20,2027-05-20,1,755472cb-b5b0-458d-8e89-03fcf42ef92a,32a5fc08-615e-4849-9010-dfc08eaec4e8
PANENTAS,02.02.2023.999,TATANAN ALAM SEGAR,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2023-07-08,2028-07-08,0,755921e5-5c6b-45df-80f1-45b4cfd53aee,2ca98093-2036-4ad7-9f49-d2cfc0577415
AMINOMAX,02.02.2020.344,GRAHA AGRO,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2020-07-01,2025-07-01,0,7559fd9a-dd8e-474d-84a9-f133b10fc31a,cda7268b-c3e0-426f-88d0-2a9728f77284
Hi-Kay Bio,01.01.2021.637,PT AGRI HIKAY INDONESIA,,Butiran (Granular),Pendaftaran Ulang Ganjil,2021-04-18,2026-04-18,1,755cd2ae-5167-4f16-9e1f-ae2883d7b436,c9eeec76-340a-4731-b32a-f02d19a99052
Lembu Lestari,03.02.2021.416,PT AGRI MULTI LESTARI,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2021-06-03,2026-06-03,0,75662c43-ce7f-4b5f-818a-9539bdc78527,8d109721-fa19-417d-be9f-f556dde25667
PLANT X,02.03.2024.494,SAFEEKO BIO INDONESIA,Pupuk Organik,Tepung (Powder),Pendaftaran Baru,2024-08-16,2029-08-16,0,75699568-19f7-429a-84bd-91b57bc895ae,e6ee3c8c-e877-48bf-9ef1-1f88b222bbb6
PHONSKAMAX 15 15 15,04.01.2024.512,TUNAS FOREST GEMILANG,Dolomit,Butiran (Granular),Pendaftaran Baru,2024-09-15,2029-09-15,0,7569a256-44a0-4be2-bdb0-e046d71c2d9c,76739e82-df55-44c1-a6ab-60ef6163dc82
LaGuanoPlus,02.07.2025.255,ARGO WIRA BUANA,Pupuk Organik,Pelet,Pendaftaran Baru,2025-04-28,2030-04-28,0,7578723f-0922-4595-bf9c-f4f8c7fe5e62,ab6778b4-d242-450a-8a5a-d3602d2a9899
DUMILAH,04.03.2023.1050,ALAM MANFAAT BERKAH,Dolomit,Tepung (Powder),Pendaftaran Baru,2023-10-27,2028-10-27,0,75887ba0-9e9e-4da9-96be-14f09f6fb8c9,ab352d6e-9495-4adc-a3c5-e5543114d96c
NutriGrown,01.01.2022.592,ARTHA MAKMUR ABADI,Pupuk Fosfat Alam Untuk Pertanian,Butiran (Granular),Pendaftaran Baru,2022-02-25,2027-02-25,0,7589fa4a-4d92-48c6-8b10-3a6b16a1989f,aa82572e-fa00-4cb2-8f93-c653e517c1f1
BUNGA TULIP,01.01.2022.568,PT. FERTA INDONESIA PERSADA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2022-02-15,2027-02-15,0,759d9d5a-7de7-4584-b891-7808cdfb97b8,8e6adc29-176f-4aeb-bdca-56603eb7f8d9
G ASRI JJMI,01.02.2021.936,MAJU MAKMUR UTOMO,,Cair (Liquid),Pendaftaran Ulang Ganjil,2021-10-27,2026-10-27,0,75a53cc5-e99c-4b73-93f2-e099ff2308c5,8ecd40c8-d272-453f-9337-1958de3d86f7
GREEN SOLUSI,01.02.2021.702,CIPTA GUNA MUKTI,,Cair (Liquid),Pendaftaran Baru,2021-05-19,2026-05-19,0,75a586e5-a7f6-47de-a116-b1353a6e5868,75e2d37e-a150-4b77-8657-4bda3b52a172
KANCIL EMAS,01.01.2025.118,PT. SANLEX MALINDO,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2025-01-17,2030-01-17,0,75aff30e-b6ef-4453-8ec9-340c6b1012d5,46eccec8-2718-4ecf-82b0-d69f6c5a43e9
HAYME,02.08.2024.596,PT. Sarana Agro Panata,Pupuk Organik,Bentuk Lainnya,Pendaftaran Baru,2024-11-18,2029-11-18,0,75cc9eaa-1b18-4cf3-a678-4d926075048c,8571b7a2-7897-4f0c-8e3c-763b18f41fe3
Manggala,01.02.2024.831,MITRA TANI ABADI,,Cair (Liquid),Pendaftaran Baru,2024-07-26,2029-07-26,0,75d1949c-2904-4d49-b305-1aa8c5e6fe39,55d3b120-e759-496c-ac25-e190445775a9
testmenungsa,04.07.2023.1196,PT. Pemohon (DUMMY),Dolomit,Pelet,Pendaftaran Baru,2023-09-18,2028-09-18,0,75f134ef-7478-4519-b89d-f8e6a18c9c94,a453da12-6663-4bf1-ba94-64e03831e8c5
LUKISAN TANGAN MERAH (RED HAND) A BRAND YOU TRUST,01.01.2024.1219,AGROTAMA TUNAS SARANA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2024-10-08,2029-10-08,0,76149d9c-ab8b-4a5b-8665-41f7f6834e72,83c743cb-4ec1-4b82-ae85-3a1f26750e30
MerokeMAP,01.03.2024.318,MEROKE TETAP JAYA,,Tepung (Powder),Pendaftaran Ulang Genap,2024-03-05,2029-03-05,2,7642e8f0-f322-4133-a1f4-ccafb1589386,a5a2f54e-db06-45ca-acd3-bf7db4701956
LAI,01.01.2026.265,LOTUS AGROKIMIA INDONESIA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2026-03-16,2031-03-16,0,76473a30-bf8c-4b32-be80-bd6c54b6590d,011a2438-739d-47fd-830b-c387b164c117
ENTEC,01.01.2021.882,SANTANI SEJAHTERA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Genap,2021-09-19,2026-09-19,0,7650d776-33b2-413d-9ed9-0ccbf1493ffe,32a43c35-1ca5-4049-9b9a-d322ab71b496
DAUN BUAH,01.01.2020.700,PUPUK KALIMANTAN TIMUR,Pupuk Urea {CO(NH2)2},Butiran (Granular),Pendaftaran Ulang Ganjil,2020-12-03,2025-12-03,0,765c959d-6b97-46bc-a8ac-294756b2fe09,54463581-e74e-4653-9fbb-895ff5dd989b
Biodex,03.03.2021.325,PUPUK KALIMANTAN TIMUR,Hayati Majemuk,Tepung (Powder),Pendaftaran Baru,2021-02-22,2026-02-22,0,765e3ff5-2abd-4e68-afdc-115a12607484,54463581-e74e-4653-9fbb-895ff5dd989b
JATI WANGI,01.01.2023.687,CIPTO LANGGENG JOYO,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2023-02-02,2028-02-02,0,766c85c6-fcce-4d84-aa2a-ad8aa31ef977,f8a343e6-38c3-40e7-a02b-8c08483b6042
HIGH CAL,04.03.2023.1079,UD Primagro,Dolomit,Tepung (Powder),Pendaftaran Ulang Genap,2023-10-27,2028-10-27,0,7676d0f0-803d-46c6-9510-31722f1696fa,baac0661-9be3-424a-bc02-ddb660bcb827
ABABIL,01.01.2024.1164,AGRO NUSANTARA INDONESIA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2024-10-21,2029-10-21,0,7677ff9f-0af4-4e79-8ec5-824e562df02a,4ddd87c1-840b-42c1-a35c-06cf604061c1
FERTINDO,01.01.2024.101,ANUGERAH PUPUK LESTARI,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2024-01-04,2029-01-04,0,7679ac98-f697-44c2-aaf0-abe7fdcc62a9,a800e216-70e6-46da-bfd0-ba425ecc775e
GOLDENMAX,04.03.2025.350,AGRINDO PERSADATAMA,Kaptan,Tepung (Powder),Pendaftaran Baru,2025-07-24,2030-07-24,0,7679b80a-9dc9-4db3-b762-285bdd5dc202,461def0a-3efa-42c5-bd24-9a6d4794fc9b
Maxipro,01.08.2023.2041,TRIAGRO HIJRAH JAYA,"Pupuk Hara Makro Majemuk
",Bentuk Lainnya,Pendaftaran Baru,2023-08-25,2028-08-25,0,767ce9fd-ec4a-4da3-987d-0d27c156af27,1f4bc4f6-5463-46d3-8509-ee9585656e34
ABABIL,01.01.2023.2355,AGRO NUSANTARA INDONESIA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2023-11-21,2028-11-21,0,768031db-e5cf-4d96-bf79-04fe9f5538da,4ddd87c1-840b-42c1-a35c-06cf604061c1
NATURES99,04.08.2026.120,PT. DAMAI AGRO MANUNGGAL,Organik,Bentuk Lainnya,Pendaftaran Baru,2026-03-11,2031-03-11,0,76967da5-8c83-4afe-a829-be17fb5876d6,b4ed7671-d03f-48a0-926a-84952cec727d
LAO YING,01.01.2024.621,MEST INDONESIY,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2024-06-11,2029-06-11,0,7697dfc8-8a5b-4aec-92cb-5fd00b38a48d,bb03ab12-99e8-46cb-91a4-f237f3ce0ffd
PETRO K PLUS,01.01.2025.336,PETROKIMIA GRESIK,,Butiran (Granular),Pendaftaran Baru,2025-03-28,2030-03-28,0,76a4ace2-a41e-4ef5-947c-deb566d48a08,3c5752ce-3f32-4537-8e7a-beb109499f5a
P-07,02.01.2023.379,IJO,Pupuk Organik,Butiran (Granular),Pendaftaran Baru,2023-01-10,2028-01-10,0,76a9024f-d7d4-4626-b6b6-e885065d396c,6a9f767c-3e12-42f1-a960-f38fc5d3e104
SJS ,01.01.2023.2042,SINAR JAYA SAE,Pupuk Fosfat Alam Untuk Pertanian,Butiran (Granular),Pendaftaran Baru,2023-09-12,2028-09-12,0,76bc815d-79de-4917-871f-ff946fb5137d,dd30683e-030f-41ed-980e-13fbd08edd58
CAP TAWON,01.01.2026.494,KERTOPATEN KENCANA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Genap,2026-05-25,2031-05-25,0,76d40c7e-9e00-4f68-90f9-23c48f43ab48,08fef8a4-93c2-4291-8978-5acb259417ea
BINTANG MUTIARA 16-16-16,01.01.2025.503,SUMBER AGUNG JAYA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2025-06-20,2030-06-20,0,76f378d3-b469-4fe2-9767-ef2808f49362,0ad772bb-1d28-40cf-bbc4-5b92e21110d1
MAHARAJA,01.02.2023.2378,CIPTA MAKMUR PERTIWI,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Baru,2023-11-27,2028-11-27,0,76f6fd2a-0d15-499e-b880-c90a55b2e75f,3f95834b-f146-496b-b46a-f6bf85ce6e69
MANISKALI,01.03.2026.244,CARLINDO SERASI ABADI,Pupuk Kalium Nitrat (KNO3),Tepung (Powder),Pendaftaran Baru,2026-03-17,2031-03-17,0,770fe351-31e9-474f-871e-17bef09dcd3f,1211d7a9-a798-422a-ab3d-f3cd12c6d19c
Biofarm,02.02.2021.498,PT. Sido Muncul Pupuk Nusantara,Pupuk Organik,Cair (Liquid),Pendaftaran Ulang Genap,2021-08-18,2026-08-18,0,771c201e-eb53-4b1c-9d81-76091d9b96d6,17fb60dc-1785-48e2-a3d3-d48efd3da6e6
