merk_dagang,nomor_pendaftaran,pemegang_pendaftaran,jenis_formula,bentuk_formula,warna_pupuk,jenis_permohonan,tanggal_terbit,tanggal_berakhir,id_perusahaan
JADI MAS,,PT JADI MAS,NPK Padat (SNI),Butiran,Hijau,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,2004b629430939f680b316dd09563d4d3955
JADI MAS,,PT JADI MAS,NPK Padat (SNI),Butiran,kuning,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,2004b629430939f680b316dd09563d4d3955
LINTANG SONGO,,PT. PRIMA MULIA ABADI,NPK Padat (SNI),Briket,NATURAL,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,ad885eca-4bb8-4ac5-80bf-e8f6e5c141cd
LUKISAN BURUNG,01.01.2019.265,PT.MEROKE TETAP JAYA,Urea (SNI),Butiran,Putih,An-organik - Pendaftaran Baru (2018),2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
BACTOHORTI,03.03.2019.154,PT PRIMA AGRO TECH,hayati,Tepung,hitam kekuningan,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,2004b629430939f680b316dd09563d4d7065
VINKRO,03.02.2020.031,PT. PERKEBUNAN NUSANTARA XI,hayati,Cair,Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,cb5313e685f339f266d87be0a8c7b2704525
NITRABIRU,,PT. Kingenta Pupuk Indonesia,NPK Padat (SNI),Butiran,Hijau,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,5011aa1c-f0c9-42ab-bb97-8249eaecaa09
MerokeCALNIT,,PT.MEROKE TETAP JAYA,Calsium nitrat,Butiran,Putih,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
SKORTLEF,02.03.2020.020,PT.BUMI TANI INDONESIA SEJAHTERA,organik,Tepung,Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,85b6490f-5b06-4f27-9e83-4b21ad44d78c
Bontigro,,PT Dwitama Agro Makmur,"Kalsium, Mangan, Zinc, Magnesium, Boron",Tepung,putih,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,e5342252-6dd1-4717-88f2-8600b0679c4d
SEJAHTERA,,PT Gresik Cipta Sejahtera,Fosfat Alam untuk Pertanian (SNI),Butiran,PUTIH,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,2d76f9c0-5abc-4dec-8238-cdc7598356d1
BIOGANIK IJO ROYO-ROYO,02.01.2020.029,CV. BUMI NUSANTARA,organik,Butiran,Hitam Kecoklatan,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,7b3471b1-1fe4-4dbc-bb49-8d8432173d73
NITRABIRU,,PT. Kingenta Pupuk Indonesia,NPK Padat (SNI),Butiran,Biru,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,5011aa1c-f0c9-42ab-bb97-8249eaecaa09
NITRABIRU,,PT. Kingenta Pupuk Indonesia,NPK Padat (SNI),Butiran,Hijau,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,5011aa1c-f0c9-42ab-bb97-8249eaecaa09
HORTIPLUS ,,PT. Kingenta Pupuk Indonesia,Potassium Nitrat,Tepung,Putih,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,5011aa1c-f0c9-42ab-bb97-8249eaecaa09
HALIMUN,,CV. Multi Agro Jaya Utama,organik,,,Organik/Hayati/Pembenah Tanah - Pengalihan Nomor Pendaftaran,2019,2024,477034fe-aa39-472f-bb37-f542ee8bc109
Agribor,,PT AGRI HIKAY INDONESIA,Pupuk Borat,Butiran,Putih,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,75658255-78a9-4b9c-8b03-d0058ad4f61c
BIO-FERTRICH FORTE,03.02.2020.028,CV. AGRO BIO MAHLIGAI,hayati,Cair,Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,10bca611-1741-4d35-b97b-36b6a6b2ad85
SEROJA SUBUR,01.01.2019.085,PT Lamandau Subur Sejahtera,NK 18-32,Butiran,Coklat ,An-organik - Pendaftaran Baru (2018),2019,2024,39bc4782-0f6d-40b8-b83a-94b178dc81a1
KCPlus,,PT.Surya Agung Unggul,,Tepung,Merah dan biru,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,279e3874-42d5-4e5a-ae4c-d34055589229
OSMOCOTE,01.01.2019.148,PT. Agrotama Tunas Sarana,NPK Padat (SNI),Butiran,Coklat,An-organik - Pendaftaran Baru (2018),2019,2024,83c743cb-4ec1-4b82-ae85-3a1f26750e30
Fertitani,,PT. AGRITANI MAKMUR MANDIRI,hayati,,,Organik/Hayati/Pembenah Tanah - Pengalihan Nomor Pendaftaran,2019,2024,deb573fa-72a4-4d11-ad7f-a8b13f179dee
UMG MATADOR GRO-MAXX,03.03.2020.039,PT. UMG INDONESIA,hayati,Tepung,Putih,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,7d5d0376-277c-40b0-a597-aefbc1cb3dc9
Fertitani,,PT. AGRITANI MAKMUR MANDIRI,hayati,,,Organik/Hayati/Pembenah Tanah - Pengalihan Nomor Pendaftaran,2019,2024,deb573fa-72a4-4d11-ad7f-a8b13f179dee
Fertitani,,PT. AGRITANI MAKMUR MANDIRI,hayati,,,Organik/Hayati/Pembenah Tanah - Pengalihan Nomor Pendaftaran,2019,2024,deb573fa-72a4-4d11-ad7f-a8b13f179dee
SIDAGREEN,,PT. Petrosida Gresik,an-organik,Cair,Hijau,An-organik - Pendaftaran Ulang Ganjil,2019,2024,34351c87-ca0f-4674-a8ea-71289155b047
Suburkali BUTIR,,PT.MEROKE TETAP JAYA,Makro Campuran,Butiran,Putih Abu-abu,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
SS (AMMOPHOS) LUKISAN BURUNG,,PT.MEROKE TETAP JAYA,Nitrogen Phosphate,Butiran,Putih ,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
Korn-Kali+B,,PT.MEROKE TETAP JAYA,Makro MIkro Majemuk,Butiran,Abu-abu kehitaman,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
 FerreSOIL,02.01.2019.160,PT. NUSA BERKAT ALAM,organik,Butiran,Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,8aee00d3-ff66-47b5-be7c-7b358222e126
MS,,CV. MITRA AGRO SENTOSA,an-organik,Butiran,Biru,An-organik - Pendaftaran Ulang Ganjil,2019,2024,2004b629430939f680b316dd09563d4d5369
SEJAHTERA,,PT Gresik Cipta Sejahtera,Amonium Sulfat (ZA) (SNI) ,Butiran,PUTIH,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,2d76f9c0-5abc-4dec-8238-cdc7598356d1
SEJAHTERA,,PT Gresik Cipta Sejahtera,Super Fosfat (SP-36) (SNI),Butiran,ABU-ABU,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,2d76f9c0-5abc-4dec-8238-cdc7598356d1
Mahkota,01.01.2019.093,PT. SENTANA ADIDAYA PRATAMA,Diammonium Phosphate,Butiran,Kuning Kecoklatan,An-organik - Pendaftaran Baru (2018),2019,2024,36c5c4f2-e215-4d04-9948-8926fb16c0a5
BIO-FERTRICH FORTE,03.08.2020.009,CV. AGRO BIO MAHLIGAI,hayati,Serbuk,Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,10bca611-1741-4d35-b97b-36b6a6b2ad85
CAP BUNGA MERAH,,PT AGRI HIKAY INDONESIA,Triple Super Fosfat (TSP) (SNI),Butiran,Abu - Abu,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,75658255-78a9-4b9c-8b03-d0058ad4f61c
BINTANG TANI,04.03.2020.022,PT. PUPUT TANI MANDIRI,Pembenah Tanah Dolomit,Tepung,Putih,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,912fad15-eef9-4303-9ad3-5336e0fd468b
SEA WINNER SUPER ACTIVE FULVIC ACID +K,02.03.2019.142,PT Exindo Raharja Pratama,organik,Tepung,Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Genap,2019,2024,2004b629430939f680b316dd09563d4d1027
Solvit ,02.08.2020.037,PT. ENVITEC MULTI INDONESIA,organik,Curah,Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,37c0e638-dece-4361-be1c-8e9e97e32f88
FOSMAG,,PT Carlindo Serasi Abadi,"Makro Primer, Makro Sekunder dan Silika (P2O5; CaO; Mg; Si)",Tepung,Abu-abu,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,1211d7a9-a798-422a-ab3d-f3cd12c6d19c
JATI WANGI,,CV. CIPTO LANGGENG,an-organik,Butiran,MERAH,An-organik - Pendaftaran Ulang Ganjil,2019,2024,32312ed6-d092-49da-8419-317451664ff6
VITA4,,PT. Indevco Internusa,Potassium Magnesium Calcium Sulfate,Butiran,Abu abu,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,d9aebb79-28f9-45b5-b2d8-6a4a567193f4
SAPRODAP PAK TANI,01.01.2019.268,CV. SAPROTAN UTAMA,Pupuk Makro Majemuk NP,Butiran,Putih Kelabu,An-organik - Pendaftaran Baru (2018),2019,2024,32a5fc08-615e-4849-9010-dfc08eaec4e8
Samppi,,PT.OAT MITOKU AGRIO,NPK Cair dan Mikro Nutrisi cair,Cair,Hijau Tua,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,b820cc90-f0b6-4f63-9fa3-41aca7c684aa
RE-VIT GROW,01.02.2019.124,C.V. Berkat Eya Pratama,An-Organik Cair Majemuk NK,Cair,Hijau,An-organik - Pendaftaran Baru (2018),2019,2024,c07c9718-c214-4b66-afbf-7c2c8ca20266
Mentari,01.01.2019.107,PT. Permata Agro Persada,Diammonium Phosphate,Butiran,Kuning Kecoklatan,An-organik - Pendaftaran Baru (2018),2019,2024,d6995698-8fd6-4d4e-81b6-f09a2d303f26
A.O.A,,CV. PESANGGEM MITRA ABADI,hayati,Cair,Kecoklatan,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2019,2024,0bf52028-a536-4547-ba1a-3d878007df09
PELANGI,,PT Pupuk Kalimantan Timur,NPK Padat (SNI),Butiran,Warna-warni,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,3af996a5b19bf8ac5db58137d8d1afed4892
VITAFLORA B,,PT.TANINDO INTERTRACO,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2019,2024,71f6ceda-37e5-4309-b02e-cf7eb6e4675c
VITAFLORA D,,PT.TANINDO INTERTRACO,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2019,2024,71f6ceda-37e5-4309-b02e-cf7eb6e4675c
CSN SENDAWA PUTIH PAK TANI,01.05.2020.031,CV. SAPROTAN UTAMA,Pupuk Makro-Mikro Campuran,Prill,Putih,An-organik - Pendaftaran Baru (2018),2020,2025,32a5fc08-615e-4849-9010-dfc08eaec4e8
VITA4,,PT. Indevco Internusa,Potassium Magnesium Calcium Sulfate,Tepung,Abu - Abu,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,d9aebb79-28f9-45b5-b2d8-6a4a567193f4
DGW,,PT. Hextar Fertilizer Indonesia,an-organik,Butiran,Hitam,An-organik - Pendaftaran Ulang Ganjil,2019,2024,c8a04f82-4325-438e-b9a9-fbd339f00068
BIO-rappa,,CV MEGAH JAYA SEVENTIES,organik,Cair,Coklat/Gelap Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2019,2024,c2057eec-f590-4ea7-b920-0f22afd9aa73
COMPACTION DGW,,PT. Hextar Fertilizer Indonesia,NK,Butiran,Coklat kemerahan,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,c8a04f82-4325-438e-b9a9-fbd339f00068
SUPERLAND,02.03.2020.071,PT ELKABE BIOTEK INDONESIA,organik,Tepung,Abu-abu,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,b4ab1ac15eb726b148e0611f799090fc8727
BT KENCANA,01.01.2019.108,PT HARVESTMORE MULTITRADE INDONESIA,NPK Padat (SNI),Butiran,Kuning,An-organik - Pendaftaran Baru (2018),2019,2024,d2b1a682-7ab6-4dbe-9024-f858017b8916
Ferti Best,,PT. Agro Berjaya Nusantara,NPK Padat (SNI),Butiran,"Coklat, Merah",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,02affaf0-6a1d-44d6-86cb-fca5d343fbe5
PAK TANI,,CV. SAPROTAN UTAMA,an-organik,Butiran,Merah Muda dan Biru,An-organik - Pendaftaran Ulang Ganjil,2019,2024,32a5fc08-615e-4849-9010-dfc08eaec4e8
PUPINDO,,PT. Dupan Anugerah Lestari,NPK Padat (SNI),Butiran,Abu-abu,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,8e9c7bdb-074f-49e2-8e4b-1ca4e945368c
MerokeMAP,,PT.MEROKE TETAP JAYA,an-organik,Tepung,Putih,An-organik - Pendaftaran Ulang Ganjil,2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
PELANGI,01.01.2019.272,PT Pupuk Kalimantan Timur,NPK Padat (SNI),Butiran,Warna-warni,An-organik - Pendaftaran Baru (2018),2019,2024,3af996a5b19bf8ac5db58137d8d1afed4892
PELANGI,,PT Pupuk Kalimantan Timur,NPK Padat (SNI),Butiran,Warna-warni,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,3af996a5b19bf8ac5db58137d8d1afed4892
GAL-Xe ONE,,PT. AGROABADI MAKMUR PERSADA,NPK Padat (SNI),Padat Butiran,Coklat Keemasan,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,a9b9428b-fb3a-4199-833e-5ab002a1be79
Pamafert,,PT SRI REJEKI FERTILIZER,NPK Padat (SNI),Tablet,Merah Muda,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,27cfeb4c6002d05cdab676e5d69c7aaa8820
BESGREEN,01.08.2019.293,PT. TIARA BUANA MANDIRI,Potassium Nitrat,Kristal,Putih,An-organik - Pendaftaran Baru (2018),2019,2024,36144a66-b620-4878-9b70-b492165f2ddf
Starnit-P,01.01.2019.347,PT. TIARA BUANA MANDIRI,Nitrogen Phosphate,Butiran,Putih Keabu-abuan,An-organik - Pendaftaran Baru (2018),2019,2024,36144a66-b620-4878-9b70-b492165f2ddf
GAINEXA FC,01.02.2019.365,PT. CATUR AGRODAYA MANDIRI,Makro Mikro Campuran,Cair,Kuning Bening,An-organik - Pendaftaran Baru (2018),2019,2024,7e6a63e1-f1cd-49ae-baec-30120b2877f1
RapiFlow MAGNUM,01.02.2019.338,PT. Agspec Indonesia,Makro Mikro Campuran,Cair,Bening,An-organik - Pendaftaran Baru (2018),2019,2024,038dbfa8-43ab-411a-b9ae-2a62c8f2d68d
BUNGA TULIP,,PT. FERTA INDONESIA PERSADA,,Butiran,Merah Keputihan / Merah Keabuan,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,8e6adc29-176f-4aeb-bdca-56603eb7f8d9
PROVIT MERAH,,PT.MEROKE TETAP JAYA,NPK Padat (SNI),Kristal,"Merah, Merah Muda",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
PROVIT HIJAU,,PT.MEROKE TETAP JAYA,NPK Padat (SNI),Kristal,Hijau,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
PROVIT ORANGE,,PT.MEROKE TETAP JAYA,NPK Padat (SNI),Kristal,Putih kekuningan,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
MerokeFITOFLEX,,PT.MEROKE TETAP JAYA, MIkro Majemuk,Tepung,Hijau,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
SoluMAG,,PT.MEROKE TETAP JAYA,Kieserite (Tepung),Tepung,Krem,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
NEO PROMESS,,UD. PRIMAGRO,Mikro Majemuk Cair,Cair,Biru,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,baac0661-9be3-424a-bc02-ddb660bcb827
TIAHARA,04.03.2020.041,CV. Mutiara Agro Persada,Pembenah Tanah Kapur Pertanian,Tepung,Putih,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,b4ab1ac15eb726b148e0611f799090fc1715
PUPINDO,01.01.2020.095,PT. Dupan Anugerah Lestari,NPK Padat (SNI),Butiran,Abu-abu,An-organik - Pendaftaran Baru (2018),2020,2025,8e9c7bdb-074f-49e2-8e4b-1ca4e945368c
PUPINDO,01.01.2020.095,PT. Dupan Anugerah Lestari,NPK Padat (SNI),Butiran,Abu-abu,An-organik - Pendaftaran Baru (2018),2020,2025,8e9c7bdb-074f-49e2-8e4b-1ca4e945368c
maxgrow,01.01.2020.107,PT. Parama Agroindustri Danapati,Potassium Nitrat,Butiran,Merah,An-organik - Pendaftaran Baru (2018),2020,2025,8e2f672b-5bfd-462c-be7b-b188c1930e15
maxgrow,01.01.2020.107,PT. Parama Agroindustri Danapati,Potassium Nitrat,Butiran,Merah,An-organik - Pendaftaran Baru (2018),2020,2025,8e2f672b-5bfd-462c-be7b-b188c1930e15
maxgrow,01.08.2020.106,PT. Parama Agroindustri Danapati,Mono Potassium Phosphate,Kristal,Putih,An-organik - Pendaftaran Baru (2018),2020,2025,8e2f672b-5bfd-462c-be7b-b188c1930e15
maxgrow,01.08.2020.106,PT. Parama Agroindustri Danapati,Mono Potassium Phosphate,Kristal,Putih,An-organik - Pendaftaran Baru (2018),2020,2025,8e2f672b-5bfd-462c-be7b-b188c1930e15
MerokeMIKRO,01.03.2016.186,PT.MEROKE TETAP JAYA,Mikro Tunggal,Tepung,Putih,An-organik - Pendaftaran Baru (2018),2020,2025,a5a2f54e-db06-45ca-acd3-bf7db4701956
MerokeMIKRO,01.03.2016.186,PT.MEROKE TETAP JAYA,Mikro Tunggal,Tepung,Putih,An-organik - Pendaftaran Baru (2018),2020,2025,a5a2f54e-db06-45ca-acd3-bf7db4701956
COMPACTION DGW,01.01.2020.104,PT. Hextar Fertilizer Indonesia,Potassium Nitrat,Butiran,Coklat Kemerahan,An-organik - Pendaftaran Baru (2018),2020,2025,c8a04f82-4325-438e-b9a9-fbd339f00068
COMPACTION DGW,01.01.2020.104,PT. Hextar Fertilizer Indonesia,Potassium Nitrat,Butiran,Coklat Kemerahan,An-organik - Pendaftaran Baru (2018),2020,2025,c8a04f82-4325-438e-b9a9-fbd339f00068
MULYA,,PT. Setia Bersama,NPK Padat (SNI),Butiran,"Merah, Biru",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,9ed5673d-0e54-4116-8568-9395ad7c1d96
Mahkota,01.03.2019.132,PT. WILMAR CHEMICAL INDONESIA,Fosfat Alam untuk Pertanian (SNI),Butiran,Kuning Kecoklatan ,An-organik - Pendaftaran Baru (2018),2019,2024,f46679f0-5a47-4d85-97e4-cd22abc7bb79
LOF Liquid Organic Farm,03.02.2019.127,CV. DELTA FORTUNA,hayati,Cair,Coklat kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,24144672-08ad-4622-b629-9abdfad5f846
KEBOMAS,01.01.2019.155,PT Petrokimia Gresik,NPK Padat (SNI),Butiran,Coklat Keabuan,An-organik - Pendaftaran Baru (2018),2019,2024,8259c7aa7427a3aafbc56ffd00cff00e3021
FERTINDO,,PT. Anugerah Pupuk Lestari,NPK Padat (SNI),Butiran,Abu-Abu,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,a800e216-70e6-46da-bfd0-ba425ecc775e
Mahkota,01.01.2019.126,PT. WILMAR CHEMICAL INDONESIA,Diammonium Phosphate,Butiran,Kuning Kecoklatan,An-organik - Pendaftaran Baru (2018),2019,2024,f46679f0-5a47-4d85-97e4-cd22abc7bb79
SEMESTA,,PT. SEMESTA JAYA ABADI,an-organik,Serbuk,Merah,An-organik - Pendaftaran Ulang Ganjil,2019,2024,370a20b1-9b92-4ff8-8c12-2d5c2e806f4d
PULLET,,PT. Polowijo Gosari,NPK Padat (SNI),Butiran,Abu-Abu Kehitaman,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,a2f15a6c-10a0-4312-90e4-fc3075df8621
ENZYLAW,02.02.2020.018,CV. KUJANG MAS AGRO KENCANA,organik,Cair,Putih Susu,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,b4ab1ac15eb726b148e0611f799090fc2139
Pamafert,,PT SRI REJEKI FERTILIZER,NPK Padat (SNI),Tablet,Merah muda,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,27cfeb4c6002d05cdab676e5d69c7aaa8820
MITRA BUAH,01.01.2019.130,PT. MITRA FINEX ANTARNUSA,Potassium Nitrat,Butiran,putiih crystal,An-organik - Pendaftaran Baru (2018),2019,2024,610af4e9-992e-4789-8c39-f4d61f2610d6
FERTIPHOS,,CV. SAPROTAN UTAMA,Fosfat Alam untuk Pertanian (SNI),Butiran,"Abu-abu, Hitam",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,32a5fc08-615e-4849-9010-dfc08eaec4e8
MerokeSOP,,PT.MEROKE TETAP JAYA,Kalium Sulfat,Tepung,Krem,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
MerokeMKP,,PT.MEROKE TETAP JAYA,Mono Potassium Phosphate,Tepung,Putih,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,a5a2f54e-db06-45ca-acd3-bf7db4701956
SIDO KAYA,02.02.2019.172,CV. Rejeki Lumintu Makmur,organik,Cair,Coklat Kehitam-hitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,3e2f43c408ff7cb7d2d6ec3c1188558f4699
SIDO JAYA,02.01.2019.173,CV. Rejeki Lumintu Makmur,organik,Butiran,Hitam Keabu-abuan,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,3e2f43c408ff7cb7d2d6ec3c1188558f4699
Ferti Best,,PT. Agro Berjaya Nusantara,NPK Padat (SNI),Butiran,"Coklat, Merah",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,02affaf0-6a1d-44d6-86cb-fca5d343fbe5
TEMBUS,01.02.2019.131,PT. RIZKY FAJAR AGRO,NPK Cair,Cair,Hijau,An-organik - Pendaftaran Baru (2018),2019,2024,e48de99d-005d-43b8-89e6-2d174382adf4
BASACOTE,01.01.2019.181,PT. BEHN MEYER AGRICARE,NPK Padat (SNI),Butiran,Hijau,An-organik - Pendaftaran Baru (2018),2019,2024,3d48529b-97aa-48d6-b6ad-cbfa089183bc
java ion+,,CV. Javamas Agrophos,NPK Padat (SNI),Butiran,Hitam,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,d11b4e0a-abe0-4596-b690-29afc25e93c7
MAGNESIUM SULFATE PAK TANI,01.08.2019.372,CV. SAPROTAN UTAMA,Magnesium Sulphate,Kristal,Putih,An-organik - Pendaftaran Baru (2018),2019,2024,32a5fc08-615e-4849-9010-dfc08eaec4e8
Daun Sawit,,PT. Multi Mas Chemindo,an-organik,Butiran,Putih Keabu-abuan,An-organik - Pendaftaran Ulang Ganjil,2019,2024,fbdb0e81-027b-4762-b83e-25caf0314a73
FERTIBIO,02.01.2020.048,CV. SAPROTAN UTAMA,organik,Butiran,Abu-abu,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Genap,2019,2024,32a5fc08-615e-4849-9010-dfc08eaec4e8
TRIPOSKAP,04.01.2019.169,PT. Mitra Gresik Indonesia,Pembenah Tanah Kapur Pertanian,Butiran,"Merah, Biru dan Putih",Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,3e2f43c408ff7cb7d2d6ec3c1188558f1581
HENS,02.02.2019.149,PT. Aneka Nutrisi Global Indonesia,organik,Cair,Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2019,2024,3e2f43c408ff7cb7d2d6ec3c1188558f3829
Cap Tani Jaya,01.01.2019.156,PT. BUMI TANI SUBUR,Pupuk Kieserite,Butiran,Putih,An-organik - Pendaftaran Baru (2018),2019,2024,387a06a8-1438-40b9-a985-7a5799ebc9d7
LOONGZOU,01.01.2019.141,PT. Sasco Indonesia,Kalium Klorida (KCL) (SNI),Butiran,Merah Jambu,An-organik - Pendaftaran Baru (2018),2019,2024,5f3559b5-945e-4d3a-9fe9-b4a089c200fa
Daun Sawit,,PT. Multi Mas Chemindo,an-organik,Butiran,Kecoklatan/kekuningan,An-organik - Pendaftaran Ulang Ganjil,2019,2024,fbdb0e81-027b-4762-b83e-25caf0314a73
Mahkota,,PT. WILMAR CHEMICAL INDONESIA,an-organik,Butiran,Putih,An-organik - Pendaftaran Ulang Ganjil,2019,2024,f46679f0-5a47-4d85-97e4-cd22abc7bb79
Fertitani,,PT. AGRITANI MAKMUR MANDIRI,organik,,,Organik/Hayati/Pembenah Tanah - Pengalihan Nomor Pendaftaran,2019,2024,deb573fa-72a4-4d11-ad7f-a8b13f179dee
Mentari,,PT. Permata Agro Persada,,Butiran,Abu-abu kehitaman,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,d6995698-8fd6-4d4e-81b6-f09a2d303f26
