pemegang_pendaftaran,jumlah_produk,sumber
SUMBER BERKAH AGRO SANTOSA,1,SIMPEL
TERRA AGRO PERSADA,1,SIMPEL
CV. Mino Tangguh Mandiri,1,SIMPEL
DELTA ANUGRAH SUBUR SEJAHTERA,1,SIMPEL
ZHEN TIAN WANG SOUTH EAST ASIA BIOLOGICAL TECHNOLOGY,1,SIMPEL
SATYALOKA PARAMA SIDHI,1,SIMPEL
BYTER AGRICULTURE INDONESIA,1,SIMPEL
BERSAMA SATU TEGUH,1,SIMPEL
BIO POLLEN INDONESIA,1,SIMPEL
YUKI MINERALINDO PERSADA,1,SIMPEL
WIDAYA AGROKIMIA NUSANTARA,1,SIMPEL
KENCANA BHUMI SELARAS,1,SIMPEL
TRION GENI UTAMA NUSANTARA,1,SIMPEL
CV. Anugerah Prima Lestari,1,SIMPEL
ARIF FIZAH FERTILIZER,1,SIMPEL
AGROSMART,1,SIMPEL
HUMUS AGRO LESTARI,1,SIMPEL
NIAGA RAYA,1,SIMPEL
SANG SURYA INDAH,1,SIMPEL
PETROTECH INDO ENGINEERING,1,SIMPEL
ALGATROPIA INDONESIA RAYA,1,SIMPEL
WIJIMAS AGRI LESTARI,1,SIMPEL
PASAROA KREASI ANAK NEGERI,1,SIMPEL
EMJ AGRO NUSANTARA,1,SIMPEL
GLOBAL ALAM PERKASA GRUP,1,SIMPEL
CV. APDIL APDILAH SUPER BUAH,1,SIMPEL
KELAPA NUSANTARA GROP,1,SIMPEL
PERFEKTA LINTAS SEMESTA,1,SIMPEL
SERASI MAHARAYA INDONESIA,1,SIMPEL
SEMESTA ALAM INDO,1,SIMPEL
ST UNGGUL JAYA,1,SIMPEL
AGRANAS KARYA MANDIRI,1,SIMPEL
AGRO NIAGA SEJATI,1,SIMPEL
SULTAN AGRO NUSANTARA,1,SIMPEL
PUTRA ABIMANYU UTAMA,1,SIMPEL
LIM KOEI HOCK/UD SALIM JAYA,1,SIMPEL
PT CENTRANUSA INTI PRIMA INDUSTRY,1,SIMPEL
AGROLAND INDO SYNERGY,1,SIMPEL
SANG SURYA BERSINAR,1,SIMPEL
SARANA DAUN HIJAU,1,SIMPEL
PT. HARAKU JAYA SINERGY,1,SIMPEL
ABU NAWAS MEU ADAB,1,SIMPEL
TEKNO ORGANIK PAPUA,1,SIMPEL
CATUR INTI PERSADA,1,SIMPEL
TIRTA MITRA PRATAMA,1,SIMPEL
GAPOKTAN SUKA MAKMUR,1,SIMPEL
MPS ORGANIK SUPER,1,SIMPEL
SUMBER RAYA,1,SIMPEL
CLAREXINDO MAKMUR SEJAHTERA,1,SIMPEL
NUANSA INDORAYA PERKASA,1,SIMPEL
ALAM KIMIA BLITZ PERKASA,1,SIMPEL
NIAGA BERKAH ANUGRAH,1,SIMPEL
CV. Subur Makmur Nusantara,1,SIMPEL
QL AGROFOOD,1,SIMPEL
INTI MINERAL INDUSTRI,1,SIMPEL
BATARAGENI KARYA MANDIRI,1,SIMPEL
PERDANA AGRO PERSADA,1,SIMPEL
AGRO INDO MANDIRI,1,SIMPEL
TRI HARMONI ABADI,1,SIMPEL
RAINBOW AGROSCIENCES,1,SIMPEL
CV.BERNAS ANDALAN SEJATI,1,SIMPEL
PANCA MULYA TANIMAS LESTARI,1,SIMPEL
BINTANG BERLIAN,1,SIMPEL
AGRO LESTARINDO,1,SIMPEL
BAROKAH ABADI TANI,1,SIMPEL
DNA TECHNOLOGY INDUSTRI,1,SIMPEL
CV AGRO SENTOSA ABADI,1,SIMPEL
CV. LESTARI INTI AGRO,1,SIMPEL
HIDAYAT BINTANG ASIA,1,SIMPEL
MORAWA ORGANIK,1,SIMPEL
MANDIRI DASAR UTAMA,1,SIMPEL
PT Biodiversitas Bioteknologi Indonesia,1,SIMPEL
TIGA KREASI BERSAMA,1,SIMPEL
PT. BERKAT KARUNIA DAMAI,1,SIMPEL
SAHABAT TANI TV,1,SIMPEL
MEKAR SARI JAYA,1,SIMPEL
ASPA SEMBILAN TUJUH FARMER INDUSTRY,1,SIMPEL
CV. ZEO BENT INDONESIA,1,SIMPEL
BHETOCHAR ENERGI NUSANTARA,1,SIMPEL
YKB MERAH PUTIH,1,SIMPEL
BATARA SUBUR TANI,1,SIMPEL
MONTREAL JAYA INDO,1,SIMPEL
KUR AGRO LESTARI,1,SIMPEL
SURYAPRATAMA CITRALESTARI,1,SIMPEL
MUKTI GRAHA PERKASA,1,SIMPEL
INDO FERT CORP,1,SIMPEL
CV. Rimba Jaya,1,SIMPEL
GRESIK GOLD BLESSING,1,SIMPEL
LAHAN MAS MEKAR,1,SIMPEL
SEMBILAN JAYA ABADI RESOURCES,1,SIMPEL
ARTA PUTRI,1,SIMPEL
CV. PRIMA SAKTI,1,SIMPEL
BUKIT MAS MURTI PERSADA,1,SIMPEL
BERKAH BUMI BARU,1,SIMPEL
NS CROPS ORGANIC,1,SIMPEL
ALOVE BALI IND,1,SIMPEL
APDIL APDILAH SUPER BUAH,1,SIMPEL
JASARESI MANDIRI,1,SIMPEL
PT. SETIA ALAM SINERGI,1,SIMPEL
TRIASPUTRA AGRO MAJU SEJAHTERA,1,SIMPEL
BUMI SRIWIJAYA INDONESIA,1,SIMPEL
BERSAMA AGRI MAKMUR,1,SIMPEL
PT Cipta Ulang Sumberdaya Indonesia,1,SIMPEL
DEWI MURNI SAMPURNA,1,SIMPEL
TRANS BUMI SUBUR SEJAHTERA,1,SIMPEL
WINON INTERNATIONAL,1,SIMPEL
UD Jonhson,1,SIMPEL
MAJJAMA AGRO INDUSTRI,1,SIMPEL
MEGA KIMIA INDUSTRI,1,SIMPEL
TUNAS MAKMUR JAYA ABADI,1,SIMPEL
AGROABADI MAKMUR PERSADA,1,SIMPEL
MITRA TANINDO,1,SIMPEL
ARTHASIDDHI SUKSES ANUGERAH,1,SIMPEL
DEWADARU KARYAUTAMA JAYA,1,SIMPEL
INFINITI SUMBER ALAM,1,SIMPEL
TUNAS LESTARI ALAM INDAH,1,SIMPEL
PRAMUDITA DARYA PARMA,1,SIMPEL
LIBO FARMING,1,SIMPEL
PT DYNAPHARM NUSANTARA GEMILANG,1,SIMPEL
SAMOR ARGA MAKMUR,1,SIMPEL
INTIDAYA AGROLESTARI,1,SIMPEL
CV.JABAL REZKI,1,SIMPEL
ZENTIDE BIOTEKNOLOGI GLOBAL,1,SIMPEL
CIWANGI NUTRISI TANAMAN,1,SIMPEL
ARJUNA GRESIK BUMI PERKASA,1,SIMPEL
PT. NUSANTARA AGRO FARMA,1,SIMPEL
CANTIGA,1,SIMPEL
MANDIRI CEMERLANG ABADI,1,SIMPEL
SEDAYA AGRO,1,SIMPEL
PT UNGGUL SEJAHTERA PERTANIAN,1,SIMPEL
PELITA SUSUN BENTANG ORGANIK,1,SIMPEL
PT GLOBAL GROWTH,1,SIMPEL
PRINALTIA JUNTA PERKASA,1,SIMPEL
BELERANG GUNUNG KAWAH IJEN,1,SIMPEL
INSAN LESTARI,1,SIMPEL
MUNCUL BERKAH TANI,1,SIMPEL
UD. HARAPAN ABADI,1,SIMPEL
PABRIK GULA RAJAWALI I,1,SIMPEL
ZAQ INDONESIA,1,SIMPEL
SURYA SEMI SENTOSA,1,SIMPEL
BIOKLANTEK NUSANTARA,1,SIMPEL
GEUSAN WIRA PERKASA,1,SIMPEL
DAVARI ANUGERAH SEJAHTERA,1,SIMPEL
PT. Kemoza Mandiri Grup,1,SIMPEL
WIRA ADHI SATYA PERTIWI,1,SIMPEL
BUMI LAVANAA AGRO INDUSTRI,1,SIMPEL
SINAR MAS AGRO RESOURCES AND TECHNOLOGY,1,SIMPEL
BIO BATARA JAYA,1,SIMPEL
WILIS MULYO NUSWANTORO JOYO,1,SIMPEL
INDOHAYATI AGRO SEJAHTERA,1,SIMPEL
RAHMA JAYA,1,SIMPEL
PT. BLANG THOEI LUAH,1,SIMPEL
ORCHID GLOBAL MAKMUR,1,SIMPEL
CV. Marson Syah,1,SIMPEL
HAFISA ANUGERAH MAKMUR,1,SIMPEL
TRUBUS MAS LESTARI,1,SIMPEL
IKASHI SABDA AGUNG,1,SIMPEL
NAVATI GEMILANG MANDIRI,1,SIMPEL
TATANAN ALAM SEGAR,1,SIMPEL
ARGO WIRA BUANA,1,SIMPEL
IJO,1,SIMPEL
SINAR JAYA SAE,1,SIMPEL
BIO NUSA LESTARI,1,SIMPEL
MUTIARA ZIOSOVIQ,1,SIMPEL
RAMBATE RATAHAYU,1,SIMPEL
DEWI,1,SIMPEL
SUMBER PANGAN GRESIK,1,SIMPEL
KUDJANG PUTRA PRATAMA,1,SIMPEL
ADHI MANGGALA,1,SIMPEL
FAN JAYA MANUNGGAL,1,SIMPEL
AGROTANI,1,SIMPEL
NAWASENA UNGGUL SANTOSA,1,SIMPEL
KARYA ALAM SUKSES,1,SIMPEL
MADUBARU,1,SIMPEL
PUTRA JAYA RAHARJA,1,SIMPEL
SURYA NUSA PERKASA,1,SIMPEL
HERKREASI,1,SIMPEL
VALENTA JAYA BERSAMA,1,SIMPEL
PT. LAJU PERSADA UTAMA,1,SIMPEL
CV. RIAU AGROFERT,1,SIMPEL
ANAGATA AGRO ABADI,1,SIMPEL
ARINAKI MULIA BERSAMA,1,SIMPEL
RIMBA ALAM NUSANTARA,1,SIMPEL
CLEAN AND WELL PACK INDONESIA,1,SIMPEL
PT. DAHLIAH DUTA UTAMA,1,SIMPEL
BIN ZEIN AGRICULTURE,1,SIMPEL
BERLIAN ANUGERAH JAYA,1,SIMPEL
HUMACARE INDONESIA ABADI,1,SIMPEL
CV. MANUNGGAL ABADI SENTOSA,1,SIMPEL
HERDANIC AFDA DIHESA,1,SIMPEL
CV. INDAH PRATAMA SARI,1,SIMPEL
KK INDONESIA,1,SIMPEL
SEMANGAT BERSAMA ENTREPRENEURSHIP,1,SIMPEL
ARMAFAN BAKTI SESAMA,1,SIMPEL
LEGASI ALAM INDONESIA,1,SIMPEL
"TANI JAYA, UD",1,SIMPEL
GUNUNG DONO PUTRA,1,SIMPEL
CV. DITAMA RAYA,1,SIMPEL
DELTA FORTUNA,1,SIMPEL
ALAM SEMESTA TEKHNOVASI,1,SIMPEL
LABEZAR UTAMA INDONESIA,1,SIMPEL
BENATA,1,SIMPEL
ANDALAS DOLOMIT SEJAHTERA,1,SIMPEL
NUSANTARA TETAP JAYA,1,SIMPEL
BASIMBAH TANI SYAHDILATA,1,SIMPEL
MITRA KREASIDHARMA,1,SIMPEL
SUMBER MULYA GRAND ORGANIK,1,SIMPEL
MITRA GRESIK INDONESIA,1,SIMPEL
EMIRA AGRITANI,1,SIMPEL
ASIA PACIFIC MARKETING INTERNATIONAL,1,SIMPEL
ASIA PACIFIC RAYON,1,SIMPEL
CV. PONDANGI,1,SIMPEL
DUTA AGRO LESTARI,1,SIMPEL
PUPUK KELAPA SAWIT JAYA,1,SIMPEL
CV. Argo Pundi Lestari,1,SIMPEL
MAHKOTA JAYA RAYA,1,SIMPEL
ARTHA BUANA MANDIRI,1,SIMPEL
JAYA MAKMUR SENTAUSA,1,SIMPEL
PUTRO JOYO GROUP,1,SIMPEL
PT. POLOWIJO GRAHA NIAGA,1,SIMPEL
TASMA PUJA,1,SIMPEL
CV. BINA AGRO PACIFIC,1,SIMPEL
BUMI MAKMUR,1,SIMPEL
EKOTANI SINAR ANUGERAH,1,SIMPEL
LAMPOH LADA,1,SIMPEL
GROWING PLANTS INTERNASIONAL,1,SIMPEL
ALAMI ORION AGROTAMA,1,SIMPEL
CV. Sinar Agro Sejati,1,SIMPEL
ENERGI AGRO NUSANTARA,1,SIMPEL
DASA VAYU ALAM SARI,1,SIMPEL
NETA AGRINDO SANTOSA,1,SIMPEL
BIMA JAYA FARM,1,SIMPEL
BANGBARA SADULUR MAKMUR,1,SIMPEL
KOPERASI PRODUSEN BRAHMAN SEJAHTERA SUBANG,1,SIMPEL
ETONG CHEMICAL INDONESIA,1,SIMPEL
JAYA PERKASA,1,SIMPEL
EVA SUKSES MAKMUR,1,SIMPEL
DARMAWANGSA PUTRA,1,SIMPEL
IRQ MAKMUR JAYA,1,SIMPEL
RIZKI FERTILA SEJAHTERA,1,SIMPEL
PT Tri Dharma Internasional,1,SIMPEL
CV. Putri Gresik,1,SIMPEL
RODAME INDONESIA,1,SIMPEL
PESONA HERBAL INDONESIA,1,SIMPEL
KARYA MANUNGGAL JAYA,1,SIMPEL
CV. AL HADID 20,1,SIMPEL
BERKAH ALAM GEMILANG,1,SIMPEL
HAYATI MAKMUR NUSANTARA,1,SIMPEL
SEJAHTERA ABADI,1,SIMPEL
BIOTEK AGRI LESTARI,1,SIMPEL
ARWANA TANI MAKMUR,1,SIMPEL
TIRTA UTAMA GLOBAL,1,SIMPEL
OMTEC PRIMA MANDIRI,1,SIMPEL
MULIA REZEKI ABADI,1,SIMPEL
NUTRISI INDONESIA RAYA,1,SIMPEL
TRIJAYA ANUGRAH SENTOSA,1,SIMPEL
Yayasan Pemilahan Sampah Temesi,1,SIMPEL
DHARMA PERTIWI,1,SIMPEL
PT.LINTAS INDO SEJAHTERA,1,SIMPEL
BIO DITA ORGANIK,1,SIMPEL
CV. Cipta Agrifarmerindo,1,SIMPEL
GREEN PHOSKA SEJAHTERA,1,SIMPEL
CV. CEMIKA OPTIMA,1,SIMPEL
PT. BIO INOVASINDO HAYATI,1,SIMPEL
PT.Madura Guano,1,SIMPEL
MAKMUR JAYA AGRO,1,SIMPEL
FORMULA DISTRIBUSI KIMIA,1,SIMPEL
KELOMPOK USAHA BERSAMA SIDO TENTREM,1,SIMPEL
KUMISIK BERKAH SEJAHTERA,1,SIMPEL
REJEKI INDO AGROTEC,1,SIMPEL
PT. KARYA ALAM SUKSES,1,SIMPEL
SUMITOMO INDONESIA,1,SIMPEL
SUPER GRADE ROSINDO,1,SIMPEL
PT. NUANSA INDORAYA PERKASA,1,SIMPEL
MAHAJAYA MULTI SINERGI,1,SIMPEL
PT. Hikari Agro Indonesia,1,SIMPEL
PT DIANATA ADIKARYA SENTOSA,1,SIMPEL
COKRO JOYO PASTI CUAN,1,SIMPEL
SOLUSI AGRONUSA PRATAMA,1,SIMPEL
MINERAL JAYA ALAM NUSANTARA,1,SIMPEL
DAHLIAH DUTA UTAMA,1,SIMPEL
BAHAGIA JAYA SINERGY,1,SIMPEL
SURYA BUMI ADILMAKMUR,1,SIMPEL
SIMAR ALAM BERKAH,1,SIMPEL
CV BIO SENTRATAMA,1,SIMPEL
ANUGRAHA ALAM SENTOSA,1,SIMPEL
ESA ILHAM PERSADA,1,SIMPEL
MARCO JAYA SEJAHTERA,1,SIMPEL
MITRA TEMASEK NUSANTARA,1,SIMPEL
AURORA SABANGSATIA,1,SIMPEL
CIPTA MAKMUR BERSAMA,1,SIMPEL
PT.BINTANG ANANDA MANDIRI,1,SIMPEL
EMINEN GLOBALINDO RAYA,1,SIMPEL
ADAMAS ASABHUMI,1,SIMPEL
SENTRA PETERNAKAN RAKYAT (SPR),1,SIMPEL
ORGANIC FARMING INDONESIA,1,SIMPEL
MADA PUTRA NUSANTARA,1,SIMPEL
AGROTIS GAIA INDONESIA,1,SIMPEL
ULI AGRO MAKMUR,1,SIMPEL
EBISU GLOBALTRADING INDONESIA,1,SIMPEL
CAKRA DHARMA USAHA,1,SIMPEL
SAUNG AGRO NUSANTARA,1,SIMPEL
BIAN JAYA MAKMUR,1,SIMPEL
MAJU JAYA,1,SIMPEL
REGENERASI KEHIDUPAN NUSANTARA,1,SIMPEL
PT BANDUNG ECO SINERGI TEKNOLOGI,1,SIMPEL
NAZRAH AGRO MANDIRI,1,SIMPEL
TIARA AGRO HITA KENCANA,1,SIMPEL
PALAPA GRESIK,1,SIMPEL
PANGAN INDO MAJU ABADI,1,SIMPEL
PT. Anugerah Sarana Hayati,1,SIMPEL
PT. Sri Munarti Supakat Indoputra,1,SIMPEL
BUKIT KAPUR ALAM RAYA,1,SIMPEL
CV. ANUGERAH BERSAMA,1,SIMPEL
INOVASI ANAK INDONESIA,1,SIMPEL
CITRA ANUGRAH MALINOTAMA,1,SIMPEL
AGRO GALBA RABUKA,1,SIMPEL
PT. BIOTEK AGRO INDONESIA,1,SIMPEL
PERSADA HIJAU,1,SIMPEL
DELTAGRO MULIA SEJATI,1,SIMPEL
SUMINDO,1,SIMPEL
HARVEST BERKAH ABADI,1,SIMPEL
AGRO INVESTAMA LESTARI,1,SIMPEL
PUPUK AGRO JAYA,1,SIMPEL
PUTRA KURNIA MAS,1,SIMPEL
PT KIBO AGRI JAYA,1,SIMPEL
MAHA DWIPA NUSANTARA,1,SIMPEL
SEPAKAT GLOBAL,1,SIMPEL
MAKMUR BUMI ABADI,1,SIMPEL
NIRANKARA MAKMUR AGRO,1,SIMPEL
TAWANG AGRO FARM,1,SIMPEL
PESONA PETANI NUSANTARA,1,SIMPEL
GALIH JATI,1,SIMPEL
TIMAN AGUNG,1,SIMPEL
BANGKIT SOLUSI AGRINDO,1,SIMPEL
SUNJOY AGRO INDONESIA,1,SIMPEL
HARI AGRO HAYATI,1,SIMPEL
LOBO KRIS UNIKKA,1,SIMPEL
SYNGENTA INDONESIA,1,SIMPEL
ASA MANDIRI SEJAHTERA,1,SIMPEL
TARUM SINERGI INDONESIA,1,SIMPEL
MULIA AGRO SEJAHTERA,1,SIMPEL
CIPTA USAHA SANTOSA,1,SIMPEL
SUBURI PUTRA MANDIRI,1,SIMPEL
CV. HANGSON,1,SIMPEL
CIHURIP AGRO NUSA,1,SIMPEL
TANIKITA BERKAH,1,SIMPEL
MITRA TERBAIK NUSANTARA,1,SIMPEL
CV.PRATAMA LESTARI,1,SIMPEL
BARATAYUDA AGRO TANI,1,SIMPEL
SUMBER ALAM REJEKI,1,SIMPEL
RJ MANDIRI,1,SIMPEL
PT PERSADA PUPUK INDONESIA,1,SIMPEL
TAN TJUN HOA/UD. NAGA MAS SAKTI,1,SIMPEL
CV. Wahana Putra Mandiri,1,SIMPEL
AGRO RIZVIK PRADANA,1,SIMPEL
H.C.S. POWERINDO,1,SIMPEL
ULTRAMIC INDONESIA,1,SIMPEL
SEMULUR JAYA MAKMUR,1,SIMPEL
CV. INDO SAMADA,1,SIMPEL
BIO HARUN INDONESIA,1,SIMPEL
INAMAS ANUGERAH SEMESTA,1,SIMPEL
TOKYO DELAPAN INDONESIA,1,SIMPEL
PLANTSAFE FERTILIZER INDONESIA,1,SIMPEL
ALAMO GREENLIFE INTERNATIONAL,1,SIMPEL
INOVASI NAGA LAUT BIRU,1,SIMPEL
RICH DIGITAL NATURE,1,SIMPEL
MOZAIKS JAYA MAKMUR,1,SIMPEL
DAYA MERRY PERSADA,1,SIMPEL
BERKAH FIQRI KERINCI,1,SIMPEL
AGRO MUSTIKA ABADI,1,SIMPEL
DAESANG INGREDIENTS INDONESIA,1,SIMPEL
DEDANDU UTAMA,1,SIMPEL
PADI DAMAI BALI,1,SIMPEL
INOVASI TANI ALHIDAYAH GORONTALO,1,SIMPEL
OMYA DISTRIBUTION INDONESIA,1,SIMPEL
PT. MULYO TANI MAKMUR,1,SIMPEL
SARI JAYA AGRO,1,SIMPEL
BADAN USAHA MILIK PETANI (BUMP) PT. PENGAYOM TANI SEJAGAD,1,SIMPEL
IJO INOVASI INDONESIA,1,SIMPEL
MITRA SABDA,1,SIMPEL
AKHTARINDO CHEMICAL SPECIALIST,1,SIMPEL
GLOBAL NUTRI AGRINUSA,1,SIMPEL
CV. Hattara Citra Argo,1,SIMPEL
CV. BERKAH MAKMUR NUSANTARA,1,SIMPEL
BUMI ASIH LELUHUR,1,SIMPEL
PT. TANCIMAS WISIN JAYA,1,SIMPEL
AGRO UNGGUL,1,SIMPEL
AGAR SARI JAYA,1,SIMPEL
MITRA CIPTA AGRO,1,SIMPEL
KOPERASI KONSUMEN KSM SEHAT SEJAHTERA,1,SIMPEL
TOMATEC INDONESIA,1,SIMPEL
TRINITY MULTI,1,SIMPEL
BUMI NOTO ROGO,1,SIMPEL
CV BINA AGRO JAYA MAKMUR,1,SIMPEL
SINAR MUTIARA GRESIK,1,SIMPEL
SUMBER INTI CEMERLANG,1,SIMPEL
ALAM PERKASA JAYA,1,SIMPEL
PT.CITRA GIZEL MANDIRI,1,SIMPEL
JASA TANI SUBUR,1,SIMPEL
CAHAYA BARU,1,SIMPEL
BUMI ALAM JATI,1,SIMPEL
ADHIESTA NUGRAHA,1,SIMPEL
CV. Maju Dua Sahabat,1,SIMPEL
NUVALA MAKMUR SEJAHTERA,1,SIMPEL
ARTHA MUARA FERTILIZER,1,SIMPEL
CV. Mandiri Massadidu,1,SIMPEL
ANUGERAH TANI MAKMUR,1,SIMPEL
PLANET CHEMICALS,1,SIMPEL
ANUGRAH TUNAS MANDIRI,1,SIMPEL
INSAN TANI MANDIRI,1,SIMPEL
PT. GRESIK NUSANTARA FERTILIZER,1,SIMPEL
NOGYO ALAM SWASTIKA,1,SIMPEL
PT. DUWIPA AGRO PERSADA,1,SIMPEL
KARYA KOMPOS ORGANIK,1,SIMPEL
MANDALA AGRO MAKMUR,1,SIMPEL
CV. INDOZEZAR,1,SIMPEL
MUTIARA TIMUR GRESIK,1,SIMPEL
PT Pupuk Agung Sentosa,1,SIMPEL
SAMRSAR,1,SIMPEL
THIA ORGANIK,1,SIMPEL
KARWALIP ROCHIS INDONESIA,1,SIMPEL
BINANGUN GEMILANG SEMBADA,1,SIMPEL
CATUR KARTIKA JAYA,1,SIMPEL
SAMBONG PUTRA MARGO UTOMO,1,SIMPEL
NUSANTARA AGRO HAYATI,1,SIMPEL
MAS LESTARI INDONESIA,1,SIMPEL
TANIRA YASA UTAMA,1,SIMPEL
AGRO MAKMUR BERSAMA,1,SIMPEL
EUREEKA INDONESIA,1,SIMPEL
WULAN PUPUK INDONESIA,1,SIMPEL
YUDHA PERDANA ANGESTI,1,SIMPEL
ENNO CORPORATION,1,SIMPEL
ARGA TANI MANDIRI,1,SIMPEL
CARIU AGRO NATURA,1,SIMPEL
JIVA AGRICULTURE INDONESIA,1,SIMPEL
RAJA BORNEO FARM,1,SIMPEL
MINERINDO TRIFABUANA,1,SIMPEL
LUAS ARUNG SEJAHTERA,1,SIMPEL
MITRA TANI MAKMUR,1,SIMPEL
PT SURYA JAYA PRAKARSA SELARAS,1,SIMPEL
WAHANA ALAM INDONESIA,1,SIMPEL
CV. MEISA ADELIA PRIMA PRO,1,SIMPEL
BIO AGRI LINK,1,SIMPEL
SUKA BUMI LESTARI,1,SIMPEL
PATAQU USAHA EXELEN,1,SIMPEL
PT. ROJO KOYO MANUNGGAL GROUP,1,SIMPEL
ANISA AGRO LESTARI,1,SIMPEL
KITA TUMBUH SUBUR,1,SIMPEL
PT. Bahra Eco Semesta Tani,1,SIMPEL
UNIVERSAL BIOGRO AGRO,1,SIMPEL
DIENG AGRO VANJAVA,1,SIMPEL
BUMI SUBUR UTAMA,1,SIMPEL
RAWWA ROUNDTEC INDONESIA,1,SIMPEL
RAHMAD JAYA SANTOSO,1,SIMPEL
CV. Baraya Maju Bersama,1,SIMPEL
PANCARAN DARMA FARMINDO,1,SIMPEL
MARGO UTOMO MULYO,1,SIMPEL
PT. LINGGA HSB ABADI,1,SIMPEL
PT. KAPUR PUTIH LAMPUNG,1,SIMPEL
KERAMBITAN AGRO,1,SIMPEL
SORIK ANGKOLA SINERGI,1,SIMPEL
SUWARNADWIPA GREEN FERTILIZER,1,SIMPEL
INDAGRO,1,SIMPEL
MULIA SUKSES ABADI SENTOSA,1,SIMPEL
PT. ARYA SUPRA NUGRAHA,1,SIMPEL
EKADWI SELO UNGGUL,1,SIMPEL
CV. KANA MAKMUR,1,SIMPEL
AGROBION SEJAHTERA,1,SIMPEL
SEKAWAN JAYA BESTINDO,1,SIMPEL
NATURAL EVERGREEN ORGANIK,1,SIMPEL
NUSANTARA AGRO FARMA,1,SIMPEL
DINAR MULIA LESTARI,1,SIMPEL
PT. Amory Multi Quality,1,SIMPEL
PT JAVA MINING FERTILIZO,1,SIMPEL
TUMBUH SUBUR MAKMUR,1,SIMPEL
SUBUR INDO AMERTA,1,SIMPEL
PT. ARENA AGRO UTAMA,1,SIMPEL
BENGKEL MIMPI NUSANTARA,1,SIMPEL
PT. SEKAWAN MAJU BERSAMA PRIMA,1,SIMPEL
SAKTI BERJAYA,1,SIMPEL
PT. Pupor Sejahtera Makmur,1,SIMPEL
MANDRAGUNA PUSAKA INDONESIA,1,SIMPEL
CV. AGRO BIO ORGANIK,1,SIMPEL
ANTARES MULTI ENERGI,1,SIMPEL
REZKY BERSAUDARA,1,SIMPEL
KAMPAR SYNERGI ABADI,1,SIMPEL
SINAR AGRI UTAMA,1,SIMPEL
PT. Berkah Indonesiaraya Sukses,1,SIMPEL
TOBA AGRO CHEMICAL,1,SIMPEL
AGRIVEST ALAM ASIA,1,SIMPEL
LAKSMANA MULIA SENTOSA,1,SIMPEL
PT. VIBEST SUKSES ABADI,1,SIMPEL
MUSTIKA TANAH NUSANTARA,1,SIMPEL
AJE PRATAMA GEMILANG,1,SIMPEL
PT. ANUGRAHA ALAM SENTOSA,1,SIMPEL
AGROSINDO UTAMA,1,SIMPEL
CV. DUTA MAS PADJADJARAN,1,SIMPEL
RESEP MAKMUR JAYA,1,SIMPEL
CAHYA TANI INDONESIA,1,SIMPEL
PUTRA PATIKALA MAJU,1,SIMPEL
PETRO PUPUK KIMIA,1,SIMPEL
ANGSA MAS JAYA,1,SIMPEL
PT. MANDALA PRATAMA NUSANTARA,1,SIMPEL
TRUBUS SWADAYA,1,SIMPEL
ARFADA TIGAPUTRA BUDIWIBOWO,1,SIMPEL
AZKA MANDIRI,1,SIMPEL
ST. MANDIRI,1,SIMPEL
CV. SURYA INDAH MULIA,1,SIMPEL
CV . Berkah Tani Mandiri,1,SIMPEL
TRIJAVA MAJU BERSAMA,1,SIMPEL
BINA TANI MULIA,1,SIMPEL
BERKAH TANI PERKASA,1,SIMPEL
GOPIN TEGAR ABADI,1,SIMPEL
PRIMASID ANDALANUTAMA,1,SIMPEL
BAWANA INDO UNIVERSAL,1,SIMPEL
PT. Bilquis Jaya Perkasa,1,SIMPEL
ECONOVA PRIMA INTERNATIONAL,1,SIMPEL
GLORIENTA MINERAL PERKASA,1,SIMPEL
MARIO MARAJA,1,SIMPEL
AGRARIA SENTOSA NUSANTARA,1,SIMPEL
ERAKARYA PUPUK LESTARI,1,SIMPEL
BIO DEMETER SUBUR BERKAH,1,SIMPEL
AMINDOWAY JAYA,1,SIMPEL
PT. TEKNO INOVASI ASIA,1,SIMPEL
MAJULAH SOLUSI PARAGON,1,SIMPEL
PASCAL BIOTECH INDONESIA,1,SIMPEL
PT. Dewi Samudra Bumi Makmur,1,SIMPEL
NAZA AGRO'S,1,SIMPEL
GANCARGEMILANG JAYASAKTI,1,SIMPEL
INOVASI JAYA ORGANIK,1,SIMPEL
LESAFFRE SARI NUSA,1,SIMPEL
PUTRA ANANDIRI,1,SIMPEL
MITRA AGRONIAGA NUSANTARA,1,SIMPEL
TION AGRO NUSANTARA,1,SIMPEL
ARTHA TANI UNGGUL,1,SIMPEL
POESRI RAYA,1,SIMPEL
PT. SINAR MAKMUR ORGANIK,1,SIMPEL
SETIA AGUNG SINERGI,1,SIMPEL
CV Trubus Mas Lestari,1,SIMPEL
KIMIA KARYANUSA CARAKA,1,SIMPEL
PT. WAHANA MAKMUR BERSAMA,1,SIMPEL
ENVITEC MULTI INDONESIA,1,SIMPEL
BERNIAGA SINERGI NUSANTARA,1,SIMPEL
BERDI ORGANIK INTERNASIONAL,1,SIMPEL
GOLDEN PLANTER INDONESIA,1,SIMPEL
INTI TANI NIAGA,1,SIMPEL
MASARO SENTRA MAKMUR,1,SIMPEL
TUAH INDATU,1,SIMPEL
LENTERA WIJAYA,1,SIMPEL
ASIA GALA KIMIA,1,SIMPEL
