pemohon,jenis_badan,jumlah_varietas,jumlah_ejaan_digabung,komoditas_utama,komoditas_semua,tahun_pertama,tahun_terakhir,jenis_perizinan_terbanyak
Pemerintah Kabupaten Jembrana,Pemerintah,7,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Provinsi Aceh,Pemerintah,7,1,Tanaman Perkebunan,Tanaman Perkebunan,2017,2018,Pendaftaran Varietas Tanaman
Pemerintah Provinsi Kalimantan Selatan,Pemerintah,7,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2010,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Hulu Sungai Selatan,Pemerintah,7,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2007,2018,Pendaftaran Varietas Tanaman
PT Agrofarmaka Nusantara,PT,7,1,Tanaman Sayuran,Tanaman Sayuran,2016,2018,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Tulungagung,Pemerintah,7,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah,2010,2017,Pendaftaran Varietas Tanaman
PT Palma Asri Sejahtera,PT,7,1,Tanaman Perkebunan,Tanaman Perkebunan,2017,2017,Pelepasan Varietas Tanaman
PTPP London Sumatra Indonesia Tbk.,perorangan/lainnya,7,1,Tanaman Perkebunan,Tanaman Perkebunan,1993,2016,Pelepasan Varietas Tanaman
PT Namdhari Seed Indonesia,PT,7,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2016,2016,Pelepasan Varietas Tanaman
PT Sang Hyang seri,PT,7,1,Tanaman Sayuran,Tanaman Sayuran,2006,2009,Pelepasan Varietas Tanaman
PETANI ANDALAN INDONESIA,perorangan/lainnya,6,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
PEMERINTAH DAERAH KABUPATEN MALANG,Pemerintah,6,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Lokal
Politeknik Negeri Lampung,Perguruan tinggi,6,2,Tanaman Buah,Tanaman Buah;Hortikultura,2022,2026,Pendaftaran Varietas Hasil Pemuliaan
BENIH HARAKA SEJAHTERA,perorangan/lainnya,6,1,Hortikultura,Hortikultura,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
PT Sukses Seed Sentosa,PT,6,1,Tanaman Pangan,Tanaman Pangan,2023,2025,Perlindungan Varietas Tanaman
"Fakultas Pertanian, Universitas Hasanuddin",Perguruan tinggi,6,1,Tanaman Pangan,Tanaman Pangan,2024,2025,Perlindungan Varietas Tanaman
Kusumahadi,perorangan/lainnya,6,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran,2023,2025,Pelepasan Varietas Tanaman
PT Dami Mas Sejahtera,PT,6,1,Tanaman Perkebunan,Tanaman Perkebunan,2003,2025,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Bantul,Pemerintah,6,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Pangan,2014,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Grobogan,Pemerintah,6,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan,2008,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bengkalis,Pemerintah,6,1,Tanaman Buah,Tanaman Buah,2023,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Ciamis,Pemerintah,6,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Sayuran,2014,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Barito Selatan,Pemerintah,6,1,Tanaman Buah,Tanaman Buah;Tanaman Flori;Tanaman Biofarmaka,2013,2024,Pendaftaran Varietas Tanaman
Pemerintah Provinsi Riau,Pemerintah,6,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2020,2023,Pendaftaran Varietas Tanaman
BPTP Riau dan Dinas Pertanian Provinsi Riau  ,Pemerintah,6,1,Tanaman Pangan,Tanaman Pangan,2023,2023,Pelepasan Varietas Tanaman
PT Great Giant Pineapple,PT,6,1,Tanaman Buah,Tanaman Buah,2016,2022,Perlindungan Varietas Tanaman
Pemerintah Kabupaten Lampung Timur,Pemerintah,6,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan,2010,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Sijunjung,Pemerintah,6,2,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Sayuran,2013,2022,Pendaftaran Varietas Tanaman
Pemerintah Kota Singkawang,Pemerintah,6,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2017,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Muna,Pemerintah,6,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Pangan,2009,2021,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Musi Banyuasin,Pemerintah,6,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Perkebunan,2020,2021,Pendaftaran Varietas Tanaman
"Balai Konservasi Tumbuhan Kebun Raya Eka Karya Bali, LIPI",Pemerintah,6,1,Tanaman Flori,Tanaman Flori,2017,2020,Pendaftaran Varietas Tanaman
Dinas Perkebunan Provinsi Jawa Barat,Pemerintah,6,1,Tanaman Perkebunan,Tanaman Perkebunan,2018,2018,Pendaftaran Varietas Tanaman
CV Mitra Tani,CV,6,2,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran,2014,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kepulauan Talaud,Pemerintah,6,1,Tanaman Perkebunan,Tanaman Perkebunan,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Tana Tidung,Pemerintah,6,1,Tanaman Pangan,Tanaman Pangan,2017,2017,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Seram Bagian Timur,Pemerintah,6,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah,2011,2017,Pendaftaran Varietas Tanaman
PT Takii Indonesia,PT,6,1,Tanaman Sayuran,Tanaman Sayuran,2012,2017,Pelepasan Varietas Tanaman
Balai Penelitian Tanaman Pemanis dan Serat,Pemerintah,6,1,Tanaman Perkebunan,Tanaman Perkebunan,2012,2015,Pelepasan Varietas Tanaman
PT Nusantara Surya Benih,PT,6,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan,2012,2015,Pelepasan Varietas Tanaman
Iwan Linuhung ,perorangan/lainnya,6,1,Tanaman Flori,Tanaman Flori,2009,2009,Pendaftaran Varietas Tanaman
PT Sumber Alam Sutera,PT,6,1,Tanaman Pangan,Tanaman Pangan,2006,2009,Pelepasan Varietas Tanaman
PT Bina Sawit Makmur Sumatera Selatan ,PT,6,1,Tanaman Perkebunan,Tanaman Perkebunan,2004,2007,Pelepasan Varietas Tanaman
Pemerintah Kota Batu,Pemerintah,6,1,Tanaman Kehutanan,Tanaman Kehutanan,2026,2026,Pendaftaran Varietas Lokal
BUANA INTI GANI,perorangan/lainnya,5,1,Hortikultura,Hortikultura,2026,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi)
Dinas Pertanian provinsi Maluku,Pemerintah,5,2,Perkebunan,Perkebunan;Tanaman Buah,2007,2026,Pendaftaran Varietas Lokal
CV Tunas Java Mandiri,CV,5,2,Tanaman Sayuran,Tanaman Sayuran;Hortikultura,2020,2026,Pelepasan Varietas Tanaman
"Florida Foundation Seed Producers, Inc.",perorangan/lainnya,5,1,Tanaman Buah,Tanaman Buah,2020,2025,Perlindungan Varietas Tanaman
"Fakultas Pertanian, IPB University",Perguruan tinggi,5,1,Tanaman Sayuran,Tanaman Sayuran,2025,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Batanghari,Pemerintah,5,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan,2020,2025,Pendaftaran Varietas Tanaman
Balai Besar Pengujian Standar Instrumen Kehutanan,Pemerintah,5,1,Tanaman Kehutanan,Tanaman Kehutanan,2023,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Pakpak Bharat,Pemerintah,5,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Kehutanan;Tanaman Buah;Tanaman Pangan,2020,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Pesisir Selatan,Pemerintah,5,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2010,2024,Pendaftaran Varietas Tanaman
PT Restu Agropro Jayamas,PT,5,1,Tanaman Pangan,Tanaman Pangan,2024,2024,Pelepasan Varietas Tanaman
PT Nikos Jaya Benih Unggul,PT,5,1,Tanaman Sayuran,Tanaman Sayuran,2014,2024,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Karawang,Pemerintah,5,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2014,2023,Pendaftaran Varietas Tanaman
Pemerintah Kota Depok,Pemerintah,5,1,Tanaman Buah,Tanaman Buah,2023,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Jember,Pemerintah,5,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan,2021,2023,Pendaftaran Varietas Tanaman
Pemerintah Provinsi Lampung,Pemerintah,5,1,Tanaman Buah,Tanaman Buah;Tanaman Pakan Ternak;Tanaman Pangan,2019,2023,Pendaftaran Varietas Tanaman
Pemerintah Kota Semarang,Pemerintah,5,1,Tanaman Buah,Tanaman Buah,2011,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Solok Selatan,Pemerintah,5,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan;Tanaman Buah,2016,2023,Pendaftaran Varietas Tanaman
Pemerintah Provinsi DI Yogyakarta,Pemerintah,5,1,Tanaman Buah,Tanaman Buah;Tanaman Flori;Tanaman Pangan,2007,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Pringsewu,Pemerintah,5,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan;Tanaman Pangan,2018,2023,Pendaftaran Varietas Tanaman
Pemerintah Kota Bengkulu,Pemerintah,5,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Flori,2016,2023,Pendaftaran Varietas Tanaman
"Dinas Tanaman Pangan, Hortikultura dan Perkebunan Kabupaten Bogor",Pemerintah,5,1,Tanaman Buah,Tanaman Buah;Tanaman Obat,2009,2023,Pelepasan Varietas Tanaman
CV Satya Agro Mandiri,CV,5,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2023,2023,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Buton,Pemerintah,5,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan,2020,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Gorontalo,Pemerintah,5,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan;Tanaman Buah,2018,2022,Pendaftaran Varietas Tanaman
Supri Hertanto,perorangan/lainnya,5,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2022,2022,Pelepasan Varietas Tanaman
Perhutani Forestry Institute,Pemerintah,5,1,Tanaman Perkebunan,Tanaman Perkebunan,2021,2021,Perlindungan Varietas Tanaman
Pemerintah Kabupaten Konawe Kepulauan,Pemerintah,5,1,Tanaman Pangan,Tanaman Pangan,2020,2021,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Ngada,Pemerintah,5,1,Tanaman Biofarmaka,Tanaman Biofarmaka;Tanaman Buah;Tanaman Pangan,2021,2021,Pendaftaran Varietas Tanaman
PT Winon Intercontinental,PT,5,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2005,2021,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Bireuen,Pemerintah,5,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Pangan;Tanaman Buah,2017,2020,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Halmahera Barat,Pemerintah,5,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2019,2020,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Halmahera Timur,Pemerintah,5,1,Tanaman Pangan,Tanaman Pangan,2020,2020,Pendaftaran Varietas Tanaman
Universitas Brawijaya,Perguruan tinggi,5,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2019,2020,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Aceh Barat Daya,Pemerintah,5,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan,2013,2020,Pendaftaran Varietas Tanaman
Pemerintah Kota Samarinda,Pemerintah,5,1,Tanaman Buah,Tanaman Buah,2018,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Lahat,Pemerintah,5,1,Tanaman Buah,Tanaman Buah,2007,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Maluku Tenggara,Pemerintah,5,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2016,2019,Pendaftaran Varietas Tanaman
PT Asia Gala Agri,PT,5,2,Tanaman Pangan,Tanaman Pangan,2016,2019,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Batang,Pemerintah,5,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran;Tanaman Flori,2008,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Seluma,Pemerintah,5,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran;Tanaman Buah,2017,2019,Pendaftaran Varietas Tanaman
Dinas Perkebunan Provinsi Jawa Barat dan Balai Penelitian Tanaman Pemanis dan Serat,Pemerintah,5,1,Tanaman Perkebunan,Tanaman Perkebunan,2019,2019,Pelepasan Varietas Tanaman
Dinas Pertanian Kabupaten Garut dan Balai Penelitian Tanaman Pemanis dan Serat,Pemerintah,5,1,Tanaman Perkebunan,Tanaman Perkebunan,2019,2019,Pelepasan Varietas Tanaman
CV Saninco Seed Indonesia,CV,5,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran,2019,2019,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Solok,Pemerintah,5,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2009,2018,Pendaftaran Varietas Tanaman
Pemerintah Kota Pagar Alam,Pemerintah,5,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kebumen,Pemerintah,5,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Provinsi DKI Jakarta,Pemerintah,5,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Kota Jambi,Pemerintah,5,1,Tanaman Buah,Tanaman Buah,2008,2017,Pendaftaran Varietas Tanaman
CV Nasienie Indonesia,CV,5,1,Tanaman Sayuran,Tanaman Sayuran,2016,2017,Pelepasan Varietas Tanaman
CV Mahatani Pertiwi,CV,5,1,Tanaman Sayuran,Tanaman Sayuran,2016,2017,Pelepasan Varietas Tanaman
PT Nusantara Tropical Farm,PT,5,1,Tanaman Buah,Tanaman Buah,2015,2016,Perlindungan Varietas Tanaman
PT Andall Hasa Prima,PT,5,1,Tanaman Sayuran,Tanaman Sayuran,2014,2016,Pelepasan Varietas Tanaman
Dinas Pertanian dan Peternakan Provinsi Sulawesi Utara,Pemerintah,5,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah;Tanaman Flori,2007,2016,Pelepasan Varietas Tanaman
"BB Padi, Balitbangtan",Pemerintah,5,1,Tanaman Pangan,Tanaman Pangan,2013,2015,Pelepasan Varietas Tanaman
Balai Penelitian Tanaman Obat dan Aromatik,Pemerintah,5,1,Tanaman Obat,Tanaman Obat;Tanaman Perkebunan,2012,2015,Pelepasan Varietas Tanaman
CV Nusantara Genetika Agro,CV,5,1,Tanaman Sayuran,Tanaman Sayuran,2015,2015,Pelepasan Varietas Tanaman
CV Global Agro Mandiri,CV,5,1,Tanaman Sayuran,Tanaman Sayuran,2013,2015,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Nunukan,Pemerintah,5,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2006,2014,Pendaftaran Varietas Tanaman
BBPPTP Ambon ,perorangan/lainnya,5,1,Tanaman Perkebunan,Tanaman Perkebunan,2014,2014,Pelepasan Varietas Tanaman
PT Royal Agro,PT,5,1,Tanaman Sayuran,Tanaman Sayuran,2013,2014,Pelepasan Varietas Tanaman
"Prof. Dr. Ir. Kuswanto, MP ",perorangan/lainnya,5,1,Tanaman Sayuran,Tanaman Sayuran,2012,2012,Perlindungan Varietas Tanaman
"Boshima Seed Co., dan PT SHS",perorangan/lainnya,5,1,Tanaman Pangan,Tanaman Pangan,2009,2012,Pelepasan Varietas Tanaman
PT Jagung Hibrida Sulawesi,PT,5,1,Tanaman Pangan,Tanaman Pangan,2011,2011,Perlindungan Varietas Tanaman
Handojo Hardjo ,perorangan/lainnya,5,1,Tanaman Flori,Tanaman Flori,2009,2009,Pendaftaran Varietas Tanaman
PPTK Gambung,perorangan/lainnya,5,1,Tanaman Perkebunan,Tanaman Perkebunan,2009,2009,Pelepasan Varietas Tanaman
Nunhems Seed Indonesia,perorangan/lainnya,5,1,Tanaman Sayuran,Tanaman Sayuran,2006,2006,Pelepasan Varietas Tanaman
"Gunawan Sukarso, Soejoto Sastrowijoyo, Mirzawan P.D.N, Eka Sugiyarna,  Soeprajitno Lamadji, Hermono Budisantoso, Soedjono Darmodjo, dan Soeprijanto. ",perorangan/lainnya,5,1,Tanaman Perkebunan,Tanaman Perkebunan,1992,1992,Pelepasan Varietas Tanaman
"Gunawan Sukarso, Soejoto Sastrowijoyo, Mirzawan P.D.N, Eka Sugiyarna,  Soeprajitno Lamadji, Hermono Budisantoso, Soeprijanto, dan Soedjono Darmodjo. ",perorangan/lainnya,5,1,Tanaman Perkebunan,Tanaman Perkebunan,1992,1992,Pelepasan Varietas Tanaman
"Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, Soedjono Darmodjo, Soeprijanto, Eka Sugiyarna, Hermono Budisantoso",perorangan/lainnya,5,1,Tanaman Perkebunan,Tanaman Perkebunan,1990,1990,Pelepasan Varietas Tanaman
Pemerintah Daerah Kabupaten Hulu Sungai Tengah,Pemerintah,4,1,Tanaman Pangan,Tanaman Pangan,2026,2026,Pendaftaran Varietas Lokal
PT BEJO BENIH INDONESIA,PT,4,2,Hortikultura,Hortikultura;Tanaman Sayuran,2025,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi)
PT.ANUGRAH CEMERLANG INDONESIA,PT,4,1,Tanaman Pangan,Tanaman Pangan,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
"Sekolah Vokasi, IPB",Perguruan tinggi,4,1,Tanaman Sayuran,Tanaman Sayuran,2023,2025,Pendaftaran Varietas Tanaman
CV Semi,CV,4,2,Tanaman Pangan,Tanaman Pangan,2025,2025,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Samosir,Pemerintah,4,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Perkebunan;Tanaman Pangan,2018,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kupang,Pemerintah,4,1,Tanaman Pakan Ternak,Tanaman Pakan Ternak;Tanaman Buah,2019,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Temanggung,Pemerintah,4,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran;Tanaman Pangan;Tanaman Perkebunan,2019,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Mahakam Ulu,Pemerintah,4,1,Tanaman Pangan,Tanaman Pangan,2025,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bangka Tengah,Pemerintah,4,1,Tanaman Buah,Tanaman Buah,2025,2025,Pendaftaran Varietas Tanaman
PT Syngenta Seed Indonesia,PT,4,1,Tanaman Pangan,Tanaman Pangan,2024,2025,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Mojokerto,Pemerintah,4,2,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan,2019,2025,Pelepasan Varietas Tanaman
"PT Smart, Tbk",PT,4,2,Tanaman Perkebunan,Tanaman Perkebunan,2017,2025,Pelepasan Varietas Tanaman
PT Protani Gemilang Indonesia,PT,4,1,Tanaman Pangan,Tanaman Pangan,2024,2024,Pelepasan Varietas Tanaman
CV Bunga Tani Sejahtera,CV,4,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2022,2024,Pelepasan Varietas Tanaman
PT Musim Mas ,PT,4,1,Tanaman Perkebunan,Tanaman Perkebunan,2024,2024,Pelepasan Varietas Tanaman
Balai Besar Pengujian Standar Instrumen Padi,Pemerintah,4,1,Tanaman Pangan,Tanaman Pangan,2024,2024,Pelepasan Varietas Tanaman
Dinas Pertanian Kabupaten Banyuwangi,Pemerintah,4,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2015,2024,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Aceh jaya,Pemerintah,4,2,Tanaman Buah,Tanaman Buah;Tanaman Sayuran,2021,2024,Pelepasan Varietas Tanaman
ZESPRI GROUP LIMITED,perorangan/lainnya,4,1,Tanaman Buah,Tanaman Buah,2015,2023,Perlindungan Varietas Tanaman
Pemerintah Kabupaten Temanggung dan BSIP,Pemerintah,4,1,Tanaman Perkebunan,Tanaman Perkebunan,2023,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Nganjuk,Pemerintah,4,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2021,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Sidoarjo,Pemerintah,4,1,Tanaman Buah,Tanaman Buah;Tanaman Flori,2023,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Tapin,Pemerintah,4,1,Tanaman Biofarmaka,Tanaman Biofarmaka;Tanaman Buah;Tanaman Pangan;Tanaman Sayuran,2012,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bekasi,Pemerintah,4,1,Tanaman Buah,Tanaman Buah;Tanaman Biofarmaka;Tanaman Pangan,2022,2023,Pendaftaran Varietas Tanaman
CV Muara Tirtamas,CV,4,1,Tanaman Sayuran,Tanaman Sayuran,2019,2023,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Banyumas,Pemerintah,4,1,Tanaman Buah,Tanaman Buah;Tanaman Pakan Ternak,2013,2021,Pendaftaran Varietas Tanaman
"Pusat Pusat Penelitian Biologi, LIPI",Lembaga riset,4,1,Tanaman Buah,Tanaman Buah,2017,2021,Pendaftaran Varietas Tanaman
Pemerintah Kota Sawahlunto,Pemerintah,4,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2019,2021,Pendaftaran Varietas Tanaman
Pemerintah Kota Sungai Penuh,Pemerintah,4,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Perkebunan,2018,2021,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bulungan,Pemerintah,4,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2013,2020,Pendaftaran Varietas Tanaman
Pemerintah Kota Tidore Kepulauan,Pemerintah,4,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran,2016,2020,Pendaftaran Varietas Tanaman
Pemerintah Kota Ternate,Pemerintah,4,1,Tanaman Buah,Tanaman Buah,2010,2020,Pendaftaran Varietas Tanaman
Pemerintah Provinsi Papua,Pemerintah,4,1,Tanaman Perkebunan,Tanaman Perkebunan,2020,2020,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kepulauan Talaud Provinsi Sulawesi Utara,Pemerintah,4,1,Tanaman Perkebunan,Tanaman Perkebunan,2020,2020,Pelepasan Varietas Tanaman
CV Sampoerna Jaya,CV,4,1,Tanaman Buah,Tanaman Buah,2019,2020,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Ende,Pemerintah,4,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran;Tanaman Pangan,2008,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kepulauan Anambas,Pemerintah,4,1,Tanaman Perkebunan,Tanaman Perkebunan,2019,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Pinrang,Pemerintah,4,1,Tanaman Pangan,Tanaman Pangan,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Buru,Pemerintah,4,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2011,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Nabire,Pemerintah,4,1,Tanaman Pangan,Tanaman Pangan,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Kota Mataram,Pemerintah,4,1,Tanaman Buah,Tanaman Buah;Tanaman buah,2009,2017,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Pidie,Pemerintah,4,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran,2012,2017,Pendaftaran Varietas Tanaman
Pemerintah Kota Pontianak,Pemerintah,4,1,Tanaman Buah,Tanaman Buah;Tanaman Biofarmaka,2010,2017,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Sambas,Pemerintah,4,1,Tanaman Buah,Tanaman Buah,2010,2017,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Luwu,Pemerintah,4,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Pangan,2013,2017,Pendaftaran Varietas Tanaman
CV Sekawan Tani Indonesia,CV,4,1,Tanaman Sayuran,Tanaman Sayuran,2016,2016,Pelepasan Varietas Tanaman
LPPM UNPAD,Perguruan tinggi,4,1,Tanaman Sayuran,Tanaman Sayuran,2015,2015,Pelepasan Varietas Tanaman
PT Parisona Alam Sejahtera,PT,4,1,Tanaman Pangan,Tanaman Pangan,2012,2013,Pelepasan Varietas Tanaman
"Sigit Prastowo, SPt",perorangan/lainnya,4,1,Tanaman Pangan,Tanaman Pangan,2012,2012,Pendaftaran Varietas Tanaman
PT Sarana Inti Pratama ,PT,4,1,Tanaman Perkebunan,Tanaman Perkebunan,2011,2011,Pelepasan Varietas Tanaman
PT Lingkungan Lestari,PT,4,1,Tanaman Pangan,Tanaman Pangan,2008,2009,Pelepasan Varietas Tanaman
PT Inticocoa Abadi Industri dan PT SHS,PT,4,1,Tanaman Pangan,Tanaman Pangan,2009,2009,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Paser,Pemerintah,4,1,Tanaman Pangan,Tanaman Pangan,2008,2008,Pendaftaran Varietas Tanaman
Pemerintah Kota Banjarmasin,Pemerintah,4,1,Tanaman Buah,Tanaman Buah,2007,2007,Pendaftaran Varietas Tanaman
PT Java Inti Agriniaga,PT,4,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran,2007,2007,Pelepasan Varietas Tanaman
"Emy Sulistyowati, Hasnam, Siwi Sumartini, Hadi Sudarmo, IGAA Indrayani, Cece Suhara",perorangan/lainnya,4,2,Tanaman Perkebunan,Tanaman Perkebunan,2007,2007,Pelepasan Varietas Tanaman
PT Monagro Kimia,PT,4,2,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Pangan,2001,2004,Pelepasan Varietas Tanaman
PT Syngenta,PT,4,1,Tanaman Pangan,Tanaman Pangan,2004,2004,Pelepasan Varietas Tanaman
PT SHS,PT,4,1,Tanaman Pangan,Tanaman Pangan,2002,2004,Pelepasan Varietas Tanaman
"PT Tunggal Yunus Estate,Riau",PT,4,1,Tanaman Perkebunan,Tanaman Perkebunan,2004,2004,Pelepasan Varietas Tanaman
"Hasnam, Siwi Sumarini, Emy Sulistyowati, IGAA Indrayani, Nildar Ibrahim",perorangan/lainnya,4,2,Tanaman Perkebunan,Tanaman Perkebunan,1993,1998,Pelepasan Varietas Tanaman
