nama_varietas,komoditas,jenis_tanaman,pemohon,pemohon_kanonik,asal,tahun,jenis_perizinan,no_sk,tgl_sk
Sanren,Tanaman Sayuran,Bawang Merah,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2013,Pelepasan Varietas Tanaman,072/Kpts/SR.120/D.2.7/7/2013,
Sanren,Tanaman Sayuran,Bawang Merah,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2013,Pendaftaran Varietas Tanaman,142/PVHP/2013,
Crok Kuning,Tanaman Sayuran,Bawang Merah,Dinas Pertanian dan Kehutanan Kabupaten Bantul,Dinas Pertanian dan Kehutanan Kabupaten Bantul,Dalam Negeri,2013,Pelepasan Varietas Tanaman,109/Kpts/SR.120/D.2.7/12/2013,
BY ASA 05,Tanaman Sayuran,Bayam,PT Aditya Sentana Agro,PT Aditya Sentana Agro,Dalam Negeri,2013,Pelepasan Varietas Tanaman,063/Kpts/SR.120/D.2.7/7/2013,
Kenshi,Tanaman Sayuran,Bayam,CV Aura Seed Indonesia,CV Aura Seed Indonesia,Dalam Negeri,2013,Pelepasan Varietas Tanaman,083/Kpts/SR.120/D.2.7/8/2013,
BA 285,Tanaman Sayuran,Bayam,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2013,Pelepasan Varietas Tanaman,094/Kpts/SR.120/D.2.7/9/2013,
BA 285,Tanaman Sayuran,Bayam,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2013,Pendaftaran Varietas Tanaman,161/PVHP/2013,
KJHL 847,Tanaman Sayuran,Kacang Panjang,Sumanah,Sumanah,Dalam Negeri,2013,Pelepasan Varietas Tanaman,876/Kpts/SR.120/2/2013,
Tilala,Tanaman Sayuran,Cabai Keriting,PT Inko Seed Makmur,PT Inko Seed Makmur,Dalam Negeri,2013,Pelepasan Varietas Tanaman,472/Kpts/SR.120/2/2013,
Zakia,Tanaman Sayuran,Cabai Keriting,PT Hextar Seed Indonesia,PT Hextar Seed Indonesia,Introduksi,2013,Pelepasan Varietas Tanaman,493/Kpts/SR.120/2/2013,
KJHL 886,Tanaman Sayuran,Kacang Panjang,Sumanah,Sumanah,Dalam Negeri,2013,Pelepasan Varietas Tanaman,877/Kpts/SR.120/2/2013,
BJHL 582,Tanaman Sayuran,Kacang Buncis,Sumanah,Sumanah,Dalam Negeri,2013,Pelepasan Varietas Tanaman,874/Kpts/SR.120/2/2013,
BJHL 579,Tanaman Sayuran,Kacang Buncis,Sumanah,Sumanah,Dalam Negeri,2013,Pelepasan Varietas Tanaman,873/Kpts/SR.120/2/2013,
JMJHL 01,Tanaman Sayuran,Jagung Manis,Sumanah,Sumanah,Dalam Negeri,2013,Pelepasan Varietas Tanaman,875/Kpts/SR.120/2/2013,
Soklatlo,Tanaman Pangan,Kedelai,"Sigit Prastowo, SPt","Sigit Prastowo, SPt",Dalam Negeri,2012,Pendaftaran Varietas Tanaman,69/PVHP/2012,
Larisan,Tanaman Pangan,Kedelai,"Sigit Prastowo, SPt","Sigit Prastowo, SPt",Dalam Negeri,2012,Pendaftaran Varietas Tanaman,70/PVHP/2012,
Pangeran,Tanaman Sayuran,Kacang Panjang,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00156/PPVT/S/2012,
RCP 003C,Tanaman Pangan,Padi,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00158/PPVT/S/2012,
RCP 006C,Tanaman Pangan,Padi,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00159/PPVT/S/2012,
RCP 007C,Tanaman Pangan,Padi,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00160/PPVT/S/2012,
RCP 008C,Tanaman Pangan,Padi,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00161/PPVT/S/2012,
INPAGO JSPGA 136,Tanaman Pangan,Padi,Universitas Jenderal Soedirman,Universitas Jenderal Soedirman,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00163/PPVT/S/2012,
Brawijaya 1,Tanaman Sayuran,Kacang Panjang,"Prof. Dr. Ir. Kuswanto, MP ","Prof. Dr. Ir. Kuswanto, MP ",Dalam Negeri,2012,Perlindungan Varietas Tanaman,00164/PPVT/S/2012,
Brawijaya 3,Tanaman Sayuran,Kacang Panjang,"Prof. Dr. Ir. Kuswanto, MP ","Prof. Dr. Ir. Kuswanto, MP ",Dalam Negeri,2012,Perlindungan Varietas Tanaman,00165/PPVT/S/2012,
Brawijaya 4,Tanaman Sayuran,Kacang Panjang,"Prof. Dr. Ir. Kuswanto, MP ","Prof. Dr. Ir. Kuswanto, MP ",Dalam Negeri,2012,Perlindungan Varietas Tanaman,00166/PPVT/S/2012,
Bagong 2,Tanaman Sayuran,Kacang Panjang,"Prof. Dr. Ir. Kuswanto, MP ","Prof. Dr. Ir. Kuswanto, MP ",Dalam Negeri,2012,Perlindungan Varietas Tanaman,00167/PPVT/S/2012,
Bagong 3,Tanaman Sayuran,Kacang Panjang,"Prof. Dr. Ir. Kuswanto, MP ","Prof. Dr. Ir. Kuswanto, MP ",Dalam Negeri,2012,Perlindungan Varietas Tanaman,00168/PPVT/S/2012,
KCP 04,Tanaman Sayuran,Kacang Panjang,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00169/PPVT/S/2012,
KCP 06,Tanaman Sayuran,Kacang Panjang,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00170/PPVT/S/2012,
SFP 01,Tanaman Sayuran,Jagung Manis,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00171/PPVT/S/2012,
SFP 02,Tanaman Sayuran,Jagung Manis,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00172/PPVT/S/2012,
SFP 03,Tanaman Sayuran,Jagung Manis,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00173/PPVT/S/2012,
SFP 04,Tanaman Sayuran,Jagung Manis,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00174/PPVT/S/2012,
SFP 05,Tanaman Sayuran,Jagung Manis,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00175/PPVT/S/2012,
Rejo 1,Tanaman Pangan,Padi,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00176/PPVT/S/2012,
PV 128,Tanaman Sayuran,Buncis,PT Benih Citra  Asia,PT Benih Citra Asia,Dalam Negeri,2012,Perlindungan Varietas Tanaman,00184/PPVT/S/2012,
Ilokos,Tanaman Sayuran,Bawang Merah,Asosiasi Perbenihan Bawang Merah Indonesia,Asosiasi Perbenihan Bawang Merah Indonesia,Introduksi,2013,Pelepasan Varietas Tanaman,474/Kpts/SR.120/2/2013,
BAL 87,Tanaman Sayuran,Baby Corn,CV Buana Agro Lumlum,CV Buana Agro Lumlum,Dalam Negeri,2013,Pelepasan Varietas Tanaman,477/Kpts/SR.120/2/2013,
MD 01,Tanaman Sayuran,Bayam,CV Buana Agro Lumlum,CV Buana Agro Lumlum,Dalam Negeri,2013,Pelepasan Varietas Tanaman,478/Kpts/SR.120/2/2013,
BCS 01,Tanaman Sayuran,Kacang Buncis,CV Buana Agro Lumlum,CV Buana Agro Lumlum,Dalam Negeri,2013,Pelepasan Varietas Tanaman,479/Kpts/SR.120/2/2013,
BC 30,Tanaman Sayuran,Jagung Manis,CV Buana Agro Lumlum,CV Buana Agro Lumlum,Dalam Negeri,2013,Pelepasan Varietas Tanaman,480/Kpts/SR.120/2/2013,
MDI 06,Tanaman Sayuran,Kacang Panjang,CV Buana Agro Lumlum,CV Buana Agro Lumlum,Dalam Negeri,2013,Pelepasan Varietas Tanaman,481/Kpts/SR.120/2/2013,
DR 01,Tanaman Sayuran,Tomat,CV Buana Agro Lumlum,CV Buana Agro Lumlum,Dalam Negeri,2013,Pelepasan Varietas Tanaman,482/Kpts/SR.120/2/2013,
Priyayi,Tanaman Sayuran,Cabai Keriting,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2013,Pelepasan Varietas Tanaman,483/Kpts/SR.120/2/2013,
Vega,Tanaman Sayuran,Cabai Keriting,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2013,Pelepasan Varietas Tanaman,484/Kpts/SR.120/2/2013,
Amazon,Tanaman Sayuran,Tomat,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2013,Pelepasan Varietas Tanaman,485/Kpts/SR.120/2/2013,
ZA 567,Tanaman Sayuran,Jagung Manis,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2013,Pelepasan Varietas Tanaman,486/Kpts/SR.120/2/2013,
MC 698,Tanaman Sayuran,Paria,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2013,Pelepasan Varietas Tanaman,488/Kpts/SR.120/2/2013,
LA 703,Tanaman Sayuran,Labu,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2013,Pelepasan Varietas Tanaman,487/Kpts/SR.120/2/2013,
Ethana,Tanaman Sayuran,Mentimun,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2013,Pelepasan Varietas Tanaman,491/Kpts/SR.120/2/2013,
Ethana,Tanaman Sayuran,Mentimun,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2013,Pendaftaran Varietas Tanaman,79/PVHP/2013,
Ladyta,Tanaman Sayuran,Kubis Bunga,PT Hextar Seed Indonesia,PT Hextar Seed Indonesia,Introduksi,2013,Pelepasan Varietas Tanaman,494/Kpts/SR.120/2/2013,
Kaka 99,Tanaman Sayuran,Cabai Keriting,PT Inko Seed Makmur,PT Inko Seed Makmur,Dalam Negeri,2013,Pelepasan Varietas Tanaman,473/Kpts/SR.120/2/2013,
RJHL 01,Tanaman Sayuran,Cabai Rawit,PT Prabu Agro Mandiri,PT Prabu Agro Mandiri,Dalam Negeri,2013,Pelepasan Varietas Tanaman,495/Kpts/SR.120/2/2013,
RJHL 085,Tanaman Sayuran,Cabai Rawit,Sumanah,Sumanah,Dalam Negeri,2013,Pelepasan Varietas Tanaman,496/Kpts/SR.120/2/2013,
Winas 1,Tanaman Perkebunan,Wijen,Balai Penelitian Tanaman Tembakau dan Serat,Balai Penelitian Tanaman Tembakau dan Serat,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,61/PVHP/2012,
IPB Seroja,Tanaman Sayuran,Cabai Hias,IPB,IPB,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,63/PVHP/2012,
Anies IPB,Tanaman Sayuran,Cabai Besar,IPB,IPB,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,64/PVHP/2012,
SSP IPB,Tanaman Sayuran,Cabai Besar,IPB,IPB,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,65/PVHP/2012,
IPB Bari,Tanaman Sayuran,Cabai Besar,IPB,IPB,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,66/PVHP/2012,
Bibestanang,Tanaman Pangan,Kedelai,"Sigit Prastowo, SPt","Sigit Prastowo, SPt",Dalam Negeri,2012,Pendaftaran Varietas Tanaman,67/PVHP/2012,
Dampit,Tanaman Pangan,Kedelai,"Sigit Prastowo, SPt","Sigit Prastowo, SPt",Dalam Negeri,2012,Pendaftaran Varietas Tanaman,68/PVHP/2012,
Praya,Tanaman Buah,Semangka,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,15/PVHP/2012,
KE 1718,Tanaman Sayuran,Mentimun,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,16/PVHP/2012,
Bajul,Tanaman Sayuran,Paria,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,17/PVHP/2012,
PA 711,Tanaman Sayuran,Paria,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,18/PVHP/2012,
Hainan,Tanaman Sayuran,Paria,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,19/PVHP/2012,
CB 4833,Tanaman Sayuran,Cabai Besar,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,20/PVHP/2012,
VA 870,Tanaman Sayuran,Kacang Panjang,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,21/PVHP/2012,
TO 2001,Tanaman Sayuran,Tomat,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,22/PVHP/2012,
TO 4232,Tanaman Sayuran,Tomat,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,23/PVHP/2012,
TO 4215,Tanaman Sayuran,Tomat,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,24/PVHP/2012,
TO 4216,Tanaman Sayuran,Tomat,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,25/PVHP/2012,
TO 4234,Tanaman Sayuran,Tomat,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,26/PVHP/2012,
TO 2010,Tanaman Sayuran,Tomat,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,27/PVHP/2012,
TO 2018,Tanaman Sayuran,Tomat,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,28/PVHP/2012,
TO 2046,Tanaman Sayuran,Tomat,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,29/PVHP/2012,
TO 2050,Tanaman Sayuran,Tomat,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,30/PVHP/2012,
Bonita,Tanaman Sayuran,Mentimun,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,31/PVHP/2012,
Loren,Tanaman Sayuran,Mentimun,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,32/PVHP/2012,
KE 2815,Tanaman Sayuran,Mentimun,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,33/PVHP/2012,
Renes,Tanaman Sayuran,Mentimun,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,34/PVHP/2012,
Prentol,Tanaman Sayuran,Cabai Rawit,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,35/PVHP/2012,
Sadewo,Tanaman Sayuran,Cabai Besar,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,36/PVHP/2012,
KL 1125,Tanaman Sayuran,Kailan,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,37/PVHP/2012,
PC 1157,Tanaman Sayuran,Pak Choi,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,38/PVHP/2012,
KL 1111,Tanaman Sayuran,Kailan,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,39/PVHP/2012,
Lestari,Tanaman Sayuran,Kubis Bunga,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,40/PVHP/2012,
KK 975,Tanaman Sayuran,Kangkung,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,41/PVHP/2012,
KK 1195,Tanaman Sayuran,Kangkung,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,42/PVHP/2012,
SM 241,Tanaman Sayuran,Terong,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,43/PVHP/2012,
SM 500,Tanaman Sayuran,Terong,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,44/PVHP/2012,
GSG 1,Tanaman Sayuran,Cabai Merah,PT Petrokimia Gresik,PT Petrokimia Gresik,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,45/PVHP/2012,
GSG 4,Tanaman Sayuran,Cabai Merah,PT Petrokimia Gresik,PT Petrokimia Gresik,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,46/PVHP/2012,
GSG 5,Tanaman Sayuran,Cabai Merah,PT Petrokimia Gresik,PT Petrokimia Gresik,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,47/PVHP/2012,
GSG 6,Tanaman Sayuran,Cabai Merah,PT Petrokimia Gresik,PT Petrokimia Gresik,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,48/PVHP/2012,
GSG 12,Tanaman Sayuran,Cabai Merah,PT Petrokimia Gresik,PT Petrokimia Gresik,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,49/PVHP/2012,
GSG 13,Tanaman Sayuran,Cabai Merah,PT Petrokimia Gresik,PT Petrokimia Gresik,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,50/PVHP/2012,
GSG 16,Tanaman Sayuran,Cabai Merah,PT Petrokimia Gresik,PT Petrokimia Gresik,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,51/PVHP/2012,
GSG 18,Tanaman Sayuran,Cabai Merah,PT Petrokimia Gresik,PT Petrokimia Gresik,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,52/PVHP/2012,
Inpari 16 Pasundan,Tanaman Pangan,Padi,BB Padi,BB Padi,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,53/PVHP/2012,
Inpari 14 Pakuan,Tanaman Pangan,Padi,BB Padi,BB Padi,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,54/PVHP/2012,
Inpari 15 Parahyangan,Tanaman Pangan,Padi,BB Padi,BB Padi,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,55/PVHP/2012,
Panex 100,Tanaman Sayuran,Cabai Besar,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,58/PVHP/2012,
Panex 100,Tanaman Sayuran,Cabai Besar,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2012,Pelepasan Varietas Tanaman,490/Kpts/SR.120/2/2013,
Garnis,Tanaman Buah,Semangka,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,59/PVHP/2012,
Garnis,Tanaman Buah,Semangka,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2012,Pelepasan Varietas Tanaman,492/Kpts/SR.120/2/2013,
Kusuma,Tanaman Sayuran,Waluh,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,60/PVHP/2012,
Winas 2,Tanaman Perkebunan,Wijen,Balai Penelitian Tanaman Tembakau dan Serat,Balai Penelitian Tanaman Tembakau dan Serat,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,62/PVHP/2012,
Amara,Tanaman Buah,Semangka,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,03/PVHP/2012,
Aramis,Tanaman Buah,Melon,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,04/PVHP/2012,
Klefa imut 6,Tanaman Sayuran,Kentang Hitam,"Pusat Penelitian Biologi, LIPI","Pusat Penelitian Biologi, LIPI",Dalam Negeri,2012,Pendaftaran Varietas Tanaman,05/PVHP/2012,
Klefa imut 25,Tanaman Sayuran,Kentang Hitam,"Pusat Penelitian Biologi, LIPI","Pusat Penelitian Biologi, LIPI",Dalam Negeri,2012,Pendaftaran Varietas Tanaman,06/PVHP/2012,
Melani,Tanaman Buah,Melon,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,10/PVHP/2012,
Gonzales,Tanaman Buah,Semangka,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,11/PVHP/2012,
Sasi,Tanaman Sayuran,Oyong,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,12/PVHP/2012,
Masykur,Tanaman Sayuran,Oyong,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,13/PVHP/2012,
Bareta,Tanaman Sayuran,Oyong,PT BCA,PT Benih Citra Asia,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,14/PVHP/2012,
SHS 022,Tanaman Pangan,Jagung Hibrida,PT Bangun Deso Wico,PT Bangun Deso Wico,,2012,Pelepasan Varietas Tanaman,2432/Kpts/SR.120/7/2012 03 Juli 2012,
PAC 313,Tanaman Pangan,Jagung Hibrida,PT Advanta Seed Indonesia,PT Advanta Seed Indonesia,,2012,Pelepasan Varietas Tanaman,2433/Kpts/SR.120/7/2012 03 Juli 2012,
PAC 105S,Tanaman Pangan,Jagung Hibrida,PT Advanta Seed Indonesia,PT Advanta Seed Indonesia,,2012,Pelepasan Varietas Tanaman,2441/Kpts/SR.120/7/2012 03 Juli 2012,
PAC 339,Tanaman Pangan,Jagung Hibrida,PT Advanta Seed Indonesia,PT Advanta Seed Indonesia,,2012,Pelepasan Varietas Tanaman,2439/Kpts/SR.120/7/2012 03 Juli 2012,
PERTIWI 6,Tanaman Pangan,Jagung Hibrida,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,,2012,Pelepasan Varietas Tanaman, ,
PERTIWI 5,Tanaman Pangan,Jagung Hibrida,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,,2012,Pelepasan Varietas Tanaman, ,
Bima Putih 1,Tanaman Pangan,Jagung Hibrida,Balai Penelitian Tanaman Serealia,Balai Penelitian Tanaman Serealia,,2012,Pelepasan Varietas Tanaman, ,
Bima Putih 2,Tanaman Pangan,Jagung Hibrida,Balai Penelitian Tanaman Serealia,Balai Penelitian Tanaman Serealia,,2012,Pelepasan Varietas Tanaman, ,
Hypoma 1,Tanaman Pangan,Kacang Tanah,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,2012,Pelepasan Varietas Tanaman,40996,
Hypoma 2,Tanaman Pangan,Kacang Tanah,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,2012,Pelepasan Varietas Tanaman,40996,
Kanjeng,Tanaman Buah,Durian,Pemerintah Kabupaten Ponorogo,Pemerintah Kabupaten Ponorogo,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,14/PVL/2012,
Takar 1,Tanaman Pangan,Kacang Tanah,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,2012,Pelepasan Varietas Tanaman,41177,
Takar 1,Tanaman Pangan,Kacang Tanah,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,236/PVHP/2014,
Takar 2,Tanaman Pangan,Kacang Tanah,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,2012,Pelepasan Varietas Tanaman,41177,
Takar 2,Tanaman Pangan,Kacang Tanah,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,239/PVHP/2014,
Dering 1,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,2012,Pelepasan Varietas Tanaman,3259/Kpts/SR.120/9/2012 41177,
Dering 1,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,166/PVHP/2013,
Inpari 25 Opak Jaya,Tanaman Pangan,Padi Inbrida,"BB Padi dan Pemerintah Kabupaten Bantul, DIY","BB Padi dan Pemerintah Kabupaten Bantul, DIY",,2012,Pelepasan Varietas Tanaman,2437/Kpts/SR.120/7/2012 03 Juli 2012,
Bima 16,Tanaman Pangan,Jagung Hibrida,Balitsereal dan PT Parisona Alam Sejahtera,Balitsereal dan PT Parisona Alam Sejahtera,,2012,Pelepasan Varietas Tanaman,2294.1/Kpts/SR.120/6/2012 27 Juni 2012,
RK 457,Tanaman Pangan,Jagung Hibrida,PT Parisona Alam Sejahtera,PT Parisona Alam Sejahtera,,2012,Pelepasan Varietas Tanaman,2420/Kpts/SR.120/7/2012 03 Juli 2012,
N 37,Tanaman Pangan,Jagung Hibrida,PT Nusantara Surya Benih dan PT Pertani,PT Nusantara Surya Benih dan PT Pertani,,2012,Pelepasan Varietas Tanaman,2424/Kpts/SR.120/7/2012 03 Juli 2012,
NT 105,Tanaman Pangan,Jagung Hibrida,PT Nusantara Surya Benih dan PT Pertani,PT Nusantara Surya Benih dan PT Pertani,,2012,Pelepasan Varietas Tanaman,2429/Kpts/SR.120/7/2012 03 Juli 2012,
NT 104,Tanaman Pangan,Jagung Hibrida,PT Nusantara Surya Benih dan PT Pertani,PT Nusantara Surya Benih dan PT Pertani,,2012,Pelepasan Varietas Tanaman,2430/Kpts/SR.120/7/2012 03 Juli 2012,
SHS 024,Tanaman Pangan,Jagung Hibrida,PT Bangun Deso Wico,PT Bangun Deso Wico,,2012,Pelepasan Varietas Tanaman,2431/Kpts/SR.120/7/2012 03 Juli 2012,
LITBANG UK 2,Tanaman Pangan,Ubi Kayu,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,2012,Pelepasan Varietas Tanaman,2427/Kpts/SR.120/7/2012 03 Juli 2012,
Fakfak,Tanaman Perkebunan,Pala,Pemerintah Kabupaten Fakfak,Pemerintah Kabupaten Fakfak,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,01/PVL/2012,
Soya,Tanaman Buah,Durian,Pemerintah Kota Ambon,Pemerintah Kota Ambon,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,02/PVL/2012,
Ukupati,Tanaman Buah,Salak,Pemerintah Kota Ambon,Pemerintah Kota Ambon,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,03/PVL/2012,
Sigadung,Tanaman Buah,Durian,Pemerintah Kabupaten Lombok Barat,Pemerintah Kabupaten Lombok Barat,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,04/PVL/2012,
Gulegaet,Tanaman Buah,Durian,Pemerintah Kabupaten Lombok Barat,Pemerintah Kabupaten Lombok Barat,Dalam Negeri,2012,Pendaftaran Varietas Tanaman,05/PVL/2012,
