no_akreditasi,nama,skema_kode,skema,alamat,provinsi,telepon,sumber
"LP-2215-IDN","PT PLN Nusantara Power Services","LP","Laboratorium Penguji","Jl. Raya Juanda No. 35 Desa Semambung, Sidoarjo","Jawa Timur","031-85448391","https://layanan.kan.or.id/direktori-lpk/12423/1"
"LP-2216-IDN","UPTD Laboratorium Bahan Konstruksi Dinas PUPR Provinsi Sumatera Utara","LP","Laboratorium Penguji","Jl. Sakti Lubis No. 7 R Sitirejo II Kecamatan Medan Amplas, Kota Medan","Sumatera Utara","(061) 786465-7860466","https://layanan.kan.or.id/direktori-lpk/10797/1"
"LP-2217-IDN","PT Paku Bumi Laboratorium - Kolaka Utara","LP","Laboratorium Penguji","Totallang, Kecamatan Lasusua, Kabupaten Kolaka Utara, Sulawesi Tenggara 93916","Sulawesi Tenggara","085154058050","https://layanan.kan.or.id/direktori-lpk/12247/1"
"LP-2218-IDN","Laboratorium Lingkungan Dinas Lingkungan Hidup (DLH) Kabupaten Bojonegoro","LP","Laboratorium Penguji","Jl. Dr. Wahidin No. 40 Bojonegoro","Jawa Timur","081231961600","https://layanan.kan.or.id/direktori-lpk/11991/1"
"LP-2219-IDN","PT. Biro Klasifikasi Indonesia (Persero) Cabang Batam","LP","Laboratorium Penguji","Jl. Yos Sudarso Kav.5, Batam","Kepulauan Riau","0778-428284","https://layanan.kan.or.id/direktori-lpk/11893/1"
"LP-2220-IDN","UPT LABORATORIUM LINGKUNGAN DINAS LINGKUNGAN HIDUP KABUPATEN KULON PROGO","LP","Laboratorium Penguji","Jalan Sugiman Margosari Pengasih Kabupaten Kulon Progo Provinsi Daerah Istimewa Yogyakarta","DI Yogyakarta","0274 774638","https://layanan.kan.or.id/direktori-lpk/12179/1"
"LP-2221-IDN","Laboratorium Penguji Minyak dan Gas Politeknik Energi dan Mineral Akamigas","LP","Laboratorium Penguji","Jl. Gajah Mada No.38, Mentul, Karangboyo, Kec. Cepu, Kabupaten Blora","Jawa Tengah","(0296) 421897","https://layanan.kan.or.id/direktori-lpk/12234/1"
"LP-2222-IDN","PT HIDEA INTI DAYA","LP","Laboratorium Penguji","Kawasan Industri dan Pergudangan Taman Tekno,Blok J1 No18, Bumi Serpong Damai (BSD), Kelurahan Muncul, Kec. Setu, Kota Tangerang Selatan, Provinsi Banten 15312","Banten","02122756662","https://layanan.kan.or.id/direktori-lpk/12324/1"
"LP-2223-IDN","PT CARSURIN Tbk Cabang Kolaka","LP","Laboratorium Penguji","Jl. Poros Kolaka-Pomalaa, Desa/Kelurahan Pelambua, Kec. Pomalaa, Kab. Kolaka","Sulawesi Tenggara","08111714617","https://layanan.kan.or.id/direktori-lpk/12417/1"
"LP-226-IDN","Laboratorium Uji Mutu Semen, Balai Besar Inseminasi Buatan Singosari","LP","Laboratorium Penguji","Jl. BBIB No.1, Desa Toyomarto, Kecamatan Singosari, Kotak Pos 8 Singosari Malang","Jawa Timur","0341 458359; 458574","https://layanan.kan.or.id/direktori-lpk/148/1"
"LP-238-IDN","Laboratorium Pengujian Termodinamika, Motor dan Propulsi (LTMP)-BRIN","LP","Laboratorium Penguji","Gedung 230 Kawasan PUSPIPTEK, Serpong Banten","Banten","021 7560539","https://layanan.kan.or.id/direktori-lpk/158/1"
"LP-268-IDN","Balai Besar Pengawas Obat dan Makanan di Samarinda","LP","Laboratorium Penguji","Jl. Letjen R. Soeprapto No. 3,","","0541 741630","https://layanan.kan.or.id/direktori-lpk/181/1"
"LP-272-IDN","LABORATORIUM PENGUJIAN PT Elangperdana Tyre Industry","LP","Laboratorium Penguji","Jl. Elang, Desa/Kelurahan Sukahati, Kec. Citeureup","","(021) 8765105-08","https://layanan.kan.or.id/direktori-lpk/184/1"
"LP-274-IDN","Balai Keselamatan dan Kesehatan Kerja Dinas Tenaga Kerja dan Transmigrasi DIY","LP","Laboratorium Penguji","Jl. Ireda No. 38,","","(0274) 371716","https://layanan.kan.or.id/direktori-lpk/186/1"
"LP-280-IDN","PT Semen Padang","LP","Laboratorium Penguji","Jl. Raya Indarung","","0751 815250","https://layanan.kan.or.id/direktori-lpk/191/1"
"LP-286-IDN","PT Biochem Technology","LP","Laboratorium Penguji","Jl. Sulawesi No. 36, Surabaya 60246","Jawa Timur","(031) 5022666","https://layanan.kan.or.id/direktori-lpk/195/1"
"LP-312-IDN","Laboratorium Jasa Analisis Pangan, Divisi Ilmu dan Teknologi Pangan Fakultas Teknologi Pertanian, Institut Pertanian Bogor","LP","Laboratorium Penguji","Laboratorium Divisi Ilmu dan Teknologi Pangan, Gedung Fakultas Teknologi Pertanian Lantai 4, Kampus IPB Dramaga","","(0251) 8629855","https://layanan.kan.or.id/direktori-lpk/219/1"
"LP-323-IDN","Laboratorium Pengujian Departemen Teknologi Industri Pertanian. Fakultas Teknologi Pertania","LP","Laboratorium Penguji","Gedung Fateta Lt. 2, Kampus IPB Dramaga PO. BOX 220, Bogor","Jawa Barat","08111128323","https://layanan.kan.or.id/direktori-lpk/229/1"
"LP-370-IDN","PT Pindo Deli Pulp and Paper Mills","LP","Laboratorium Penguji","Main Office - Desa Kutamekar BTB 6-9 Kec.Ciampel","","(0267) 440111","https://layanan.kan.or.id/direktori-lpk/272/1"
"LP-383-IDN","Balai Standardisasi dan Pelayanan Jasa Industri Ambon","LP","Laboratorium Penguji","Jl. Kebun Cengkeh Batu Merah Atas Ambon - 97128","Maluku","(0911) 341897","https://layanan.kan.or.id/direktori-lpk/336/1"
"LP-385-IDN","Laboratorium PT Nutrifood Indonesia","LP","Laboratorium Penguji","Jl. Raya Ciawi 280A Bogor 16146, Indonesia","Jawa Barat","02518240257","https://layanan.kan.or.id/direktori-lpk/337/1"
"LP-416-IDN","Laboratorium SOS PT Trakindo Utama","LP","Laboratorium Penguji","TMT 1 Building, 11st Floor Jalan Cilandak KKO No.1, Jakarta 12560, Indonesia","DKI Jakarta","021 782 2373","https://layanan.kan.or.id/direktori-lpk/363/1"
"LP-432-IDN","PT. SGS Indonesia","LP","Laboratorium Penguji","The Garden Center 1st &amp; 2nd Floor - Cilandak Commercial Estate, Jakarta Selatan, Indonesia","DKI Jakarta","+62(0) 21 2978 0600","https://layanan.kan.or.id/direktori-lpk/531/1"
"LP-453-IDN","Laboratorium Penguji Kualitas Udara Badan Meteorologi, Klimatologi dan Geofisika","LP","Laboratorium Penguji","Jl. Angkasa I No. 2, Kemayoran, Jakarta","DKI Jakarta","021-4246321","https://layanan.kan.or.id/direktori-lpk/2083/1"
"LP-455-IDN","PT. Ispat Indo","LP","Laboratorium Penguji","Desa Kedungturi, Taman sepanjang Sidoarjo, PO BOX 1083, Surabaya","Jawa Timur","(031) 7887000","https://layanan.kan.or.id/direktori-lpk/552/1"
"LP-458-IDN","UPTD Balai Pengawasan dan Sertifikasi Mutu Barang Provinsi Lampung","LP","Laboratorium Penguji","Jl. Cut Mutia No.36, Gulak Galik, Kec. Tlk. Betung Utara","","082279359324","https://layanan.kan.or.id/direktori-lpk/555/1"
"LP-475-IDN","Politeknik AKA Bogor","LP","Laboratorium Penguji","Jl. Pangeran Sogiri No, 283, Tanah Baru, Bogor Utara","Jawa Barat","(0251) 8650351","https://layanan.kan.or.id/direktori-lpk/551/1"
"LP-478-IDN","Laboratorium Terpadu Universitas lslam Indonesia","LP","Laboratorium Penguji","Gedung Laboratorium Terpadu Universitas Islam Indonesia, Jl Kaliurang Km.14 5","","085640214267","https://layanan.kan.or.id/direktori-lpk/2313/1"
"LP-482-IDN","Balai Perikanan Budidaya Air Payau Takalar","LP","Laboratorium Penguji","Desa Boddia, Kecamatan Galesong Selatan","","(0418) 2326777","https://layanan.kan.or.id/direktori-lpk/641/1"
"LP-497-IDN","PT. lntertek Utama Services Gosowong","LP","Laboratorium Penguji","Gosowong Gold Project PT. Nusa Halmahera Mineral, Drop Point 3, Gosowong, Kecamatan Kao, Kabupaten H","","(021) 78846956","https://layanan.kan.or.id/direktori-lpk/564/1"
"LP-503-IDN","PT. Barindo Anggun Industri","LP","Laboratorium Penguji","Jl. Simopomahan No. 148P-150P, Sukomanunggal","","(031) 7493333","https://layanan.kan.or.id/direktori-lpk/666/1"
"LP-504-IDN","Balai Pengujian Laik Jalan dan Sertifikasi Kendaraan Bermotor","LP","Laboratorium Penguji","Jl. Raya Setu No. Km 3, RW 5, Cibuntu, Kecamatan Cibitung, Kabupaten Bekasi, Jawa Barat 17520","Jawa Barat","(021)8253352","https://layanan.kan.or.id/direktori-lpk/567/1"
"LP-516-IDN","PT Syslab","LP","Laboratorium Penguji","Plaza Amsterdam Blok D-2, Sentul City","","(021) 87960212","https://layanan.kan.or.id/direktori-lpk/678/1"
"LP-520-IDN","Center for Materials Processing and Failure Analysis Fakultas Teknik Universitas Indonesia","LP","Laboratorium Penguji","Departemen Teknik Metalurgi dan Material Fakultas Teknik Universitas Indonesia Kampus Baru UI","","(021)78849045","https://layanan.kan.or.id/direktori-lpk/574/1"
"LP-522-IDN","PT Petrolab Services","LP","Laboratorium Penguji","Jalan Pisangan Lama III No. 28, Kelurahan Pisangan Timur, Kecamatan Pulogadung, Jakarta Timur 13230","DKI Jakarta","(021) 29688694","https://layanan.kan.or.id/direktori-lpk/684/1"
"LP-551-IDN","UPTD. Laboratorium Kesehatan Provinsi Sumatera Utara","LP","Laboratorium Penguji","Jl. Williem Iskandar Pasar V Barat I No. 4 Medan","Sumatera Utara","061-44031038","https://layanan.kan.or.id/direktori-lpk/870/1"
"LP-553-IDN","UPTD. Balai Pengujian dan Sertifikasi Mutu Barang Provinsi Bali","LP","Laboratorium Penguji","Jl. Raya Puputan Niti Mandala, Renon, Denpasar","Bali","(0361) 231961","https://layanan.kan.or.id/direktori-lpk/1208/1"
"LP-565-IDN","PT Anugrah Analisis Sempurna","LP","Laboratorium Penguji","Jl. Raya Jakarta Bogor KM 37 RT 05/04, Kel. Sukamaju, Kec. Cilodong, Depok","DKI Jakarta","(021) 29629393/29629","https://layanan.kan.or.id/direktori-lpk/723/1"
"LP-586-IDN","Stasiun Pengendalian dan Pengawasan Mutu Hasil Kelautan dan Perikanan Palembang","LP","Laboratorium Penguji","Jl. Gubernur Haji Asnawi Mangku Alam","","08117120089","https://layanan.kan.or.id/direktori-lpk/834/1"
"LP-628-IDN","Stasiun Karantina Ikan, Pengendalian Mutu dan Keamanan Hasil Perikanan Pontianak","LP","Laboratorium Penguji","Jl. Arteri Supadio Km. 18 Desa Limbung Kec. Sui Raya, Kab. Kubu Raya 78391, Kalimantan Barat","Kalimantan Barat","0651-725427","https://layanan.kan.or.id/direktori-lpk/1375/1"
"LP-641-IDN","Balai Besar Pengujian Mineral dan Batubara tekMIRA","LP","Laboratorium Penguji","Jl. Jend. Sudirman 623 Bandung","Jawa Barat","022-6030483","https://layanan.kan.or.id/direktori-lpk/910/1"
"LP-658-IDN","Balai Pengendalian dan Pengawasan Mutu Hasil Kelautan dan Perikanan Ambon","LP","Laboratorium Penguji","Jl. Laksdya Leo Watitimena - Waiheru, Ambon","Maluku","081344447004","https://layanan.kan.or.id/direktori-lpk/954/1"
"LP-700-IDN","PT. Bogor Labs","LP","Laboratorium Penguji","Ruko Yasmin Sektor VI No. 198, Jl. Ring Road Bogor Utara (KH. R. Abdullah Bin Nuh) - BOGOR","Jawa Barat","0251 7534496","https://layanan.kan.or.id/direktori-lpk/1003/1"
"LP-748-IDN","PT. Cito Diagnostika Utama","LP","Laboratorium Penguji","Jl. Abdulrahman Saleh No.226ABC Manyaran","","024-7615511","https://layanan.kan.or.id/direktori-lpk/1063/1"
"LP-756-IDN","PT Global Quality Analytical","LP","Laboratorium Penguji","Ruko Bukit Cimanggu City Blok C1 No. 22 Jl. Soleh Iskandar Bogor","Jawa Barat","0251 7543299","https://layanan.kan.or.id/direktori-lpk/1070/1"
"LP-831-IDN","PT Pupuk Kujang","LP","Laboratorium Penguji","Jl. Jend. A. Yani No. 39 - Cikampek","","0264-316141","https://layanan.kan.or.id/direktori-lpk/1601/1"
"LP-846-IDN","Balai Perakitan dan Pengujian Tanah dan Pupuk","LP","Laboratorium Penguji","Jl. Tentara Pelajar 12, Kampus Penelitian Pertanian Cimanggu","","(0251) 8336757","https://layanan.kan.or.id/direktori-lpk/1697/1"
"LP-853-IDN","PT BMT Asia Indonesia","LP","Laboratorium Penguji","Graha BMT Asia Indonesia, Jl. Pangeran Sogiri No.61 RT/RW 01/05, Kel. Tanah Baru, Kec. Bogor","Jawa Barat","0251-8327533","https://layanan.kan.or.id/direktori-lpk/2050/1"
"LP-854-IDN","Laboratorium Cabang Cilegon, PT Sucofindo","LP","Laboratorium Penguji","Jl. Jend. A. Yani No. 106 Cilegon 42421, Banten","Banten","02543864444","https://layanan.kan.or.id/direktori-lpk/2211/1"
"LP-855-IDN","Laboratorium Digital Forensik Direktorat Reserse Siber Polda Metro Jaya","LP","Laboratorium Penguji","Jl. Jend. Sudirman No. 55, Jakarta 12190","DKI Jakarta","(021) 52344077","https://layanan.kan.or.id/direktori-lpk/1870/1"
"LP-863-IDN","Balai Penerapan Modernisasi Pertanian Sumatera Utara","LP","Laboratorium Penguji","Jl. Jenderal Besar A.H Nasution No. 1B Medan","Sumatera Utara","0617870710","https://layanan.kan.or.id/direktori-lpk/2169/1"
"LP-871-IDN","PT. Vicma Lab Indonesia","LP","Laboratorium Penguji","Jl. Abdul Ghani II No 22B Desa/Kelurahan Pabuaran Kec. Cibinong Kab. Bogor Jawa Barat 16914","Jawa Barat","(021) 8762489","https://layanan.kan.or.id/direktori-lpk/2093/1"
"LP-876-IDN","PT Savoria Kreasi Rasa, Cikupa Factory - Quality Assurance Department","LP","Laboratorium Penguji","Jl. Raya Serang Km. 12, Desa Bitung Jaya, kec. Cikupa, Kab. Tangerang, Banten","Banten","021-5961253","https://layanan.kan.or.id/direktori-lpk/2160/1"
"LP-877-IDN","PT Mikie Oleo Nabati Industri","LP","Laboratorium Penguji","Jl. Raya Narogong km.9, Bojong Menteng, Rawalumbu, Bekasi","Jawa Barat","021 82606060","https://layanan.kan.or.id/direktori-lpk/2146/1"
"LP-879-IDN","PT Busana Remaja Agracipta","LP","Laboratorium Penguji","Jalan Pemuda, Klodran, Kadirojo, Jonggrangan, Bantul, D.I. Yogyakarta","DI Yogyakarta","(0274) 6461031","https://layanan.kan.or.id/direktori-lpk/1694/1"
"LP-882-IDN","PT Anindya Wiraputra Konsult Samarinda","LP","Laboratorium Penguji","Jl. KH. Harun Nafsi No.58 RT. 22, Kel. Rapak Dalam, Kec. Loa Janan Ilir, Samarinda Sebrang, Samarind","Kalimantan Timur","0541 - 4114429","https://layanan.kan.or.id/direktori-lpk/2170/1"
"LP-886-IDN","Laboratorium Lingkungan PT AMMAN Mineral Nusa Tenggara","LP","Laboratorium Penguji","Environmental Affairs Department, Site Batu Hijau Kec. Sekongkang Kab. Sumbawa Barat","Nusa Tenggara Barat","+623726347018","https://layanan.kan.or.id/direktori-lpk/2159/1"
"LP-887-IDN","Balai Pengawas Obat dan Makanan di Manokwari","LP","Laboratorium Penguji","Jl. Angkasa Mulyono, Amban, Manokwari, Papua Barat","Papua Barat","(0986) 2217025","https://layanan.kan.or.id/direktori-lpk/2077/1"
"LP-889-IDN","Tirta Lab, PT Tirta Investama","LP","Laboratorium Penguji","Jl. Pulo Lentut No. 3, Kawasan Industri Pulo Gadung, Jakarta Timur","DKI Jakarta","021-29558000","https://layanan.kan.or.id/direktori-lpk/2142/1"
"LP-892-IDN","Laboratorium Lingkungan Dinas Perumahan Rakyat, Kawasan Permukiman dan Lingkungan Hidup Kabupaten Ketapang","LP","Laboratorium Penguji","Jl. Hos Cokroaminoto No. 1 Kel. Sukaharja, Kec. Delta Pawan","","0812-5628-6308","https://layanan.kan.or.id/direktori-lpk/2227/1"
"LP-921-IDN","UPTD. Laboratorium Lingkungan Dinas Lingkungan Hidup Kota Padang","LP","Laboratorium Penguji","Jl. By Pass Km 15, Palarik, Air Pacah, Kota Padang","Sumatera Barat","08126748536","https://layanan.kan.or.id/direktori-lpk/2318/1"
"LP-927-IDN","PT Geoservices Padang","LP","Laboratorium Penguji","Jl. By Pass Km 25, Katanahan, Anak Air, Padang, Sumatera Barat","Sumatera Barat","0751-484759","https://layanan.kan.or.id/direktori-lpk/2491/1"
"LP-937-IDN","PT Pertamina Gas Kalimantan Area","LP","Laboratorium Penguji","Stasiun Kompressor Gas (SKG) Bontang, Jl. Ir. James Simanjuntak No.1, Kompleks Industri PT Pupuk Kal","Kalimantan Timur","0548-41641","https://layanan.kan.or.id/direktori-lpk/2312/1"
"LP-950-IDN","Balai Karantina Hewan, Ikan dan Tumbuhan Lampung","LP","Laboratorium Penguji","Jl. Soekarno - Hatta KM. 20 Way Laga","","(0721) 31305","https://layanan.kan.or.id/direktori-lpk/2556/1"
"LP-968-IDN","Balai Karantina Hewan, Ikan, dan Tumbuhan Daerah Istimewa Yogyakarta","LP","Laboratorium Penguji","Jl. Laksda Adisucipto Km 8, Maguwoharjo, Sleman, Yogyakarta 55281","DI Yogyakarta","0274488856","https://layanan.kan.or.id/direktori-lpk/2524/1"
"LP-972-IDN","UPTD LABORATORIUM LINGKUNGAN DINAS LINGKUNGAN HIDUP DAN PERHUBUNGAN KABUPATEN TUBAN","LP","Laboratorium Penguji","JALAN VETERAN NO 27 TUBAN","Jawa Timur","0356-321026","https://layanan.kan.or.id/direktori-lpk/8424/1"
"LP-976-IDN","UPTD Laboratorium Lingkungan Dinas Lingkungan Hidup Kabupaten Banyuwangi","LP","Laboratorium Penguji","Jl. Wijaya Kusuma No. 102, Banyuwangi","Jawa Timur","(0333) 428833 / 081336164343","https://layanan.kan.or.id/direktori-lpk/2461/1"
"LP-983-IDN","Balai Pelaksanaan Jalan Nasional Sumatera Barat","LP","Laboratorium Penguji","Jl. Jati No. 109, Padang","Sumatera Barat","0751-8952360","https://layanan.kan.or.id/direktori-lpk/2812/1"
"LP-984-IDN","Laboratorium PT. PLN Indonesia Power Unit Bisnis Pembangkitan Suralaya","LP","Laboratorium Penguji","Jl. Raya PLTU Suralaya, Cilegon 42439, Banten","Banten","0254-571230, 571240","https://layanan.kan.or.id/direktori-lpk/1223/1"
"LP-997-IDN","Unit Pelaksana Teknis Daerah Pelayanan dan Pengujian Veteriner (UPTD PPV) Provinsi Banten","LP","Laboratorium Penguji","Jl. Raya Cilegon Km.04, Drangong, Takatakan, Kota Serang, Provinsi Banten","Banten","0254260165","https://layanan.kan.or.id/direktori-lpk/2671/1"
"LPVI-005-IDN","PT JENGGALA HIJAU SERTIFIKASI","LPVI","Lembaga Penilai dan Verifikasi Independen","Jl. Bambu Apus VI No. 2 Taman Yasmin Sektor VII Kota Bogor, Kode Pos: 16112, Telp./Fax. 0251-756866","Jawa Barat","0251-7568663","https://layanan.kan.or.id/direktori-lpk/2342/10027"
"LPVI-017-IDN","PT. Trustindo Primakarya","LPVI","Lembaga Penilai dan Verifikasi Independen","Gedung APHI Kalimantan Timur Lt.1 Jl. Kesuma Bangsa No.80","Kalimantan Timur","0541747798","https://layanan.kan.or.id/direktori-lpk/922/10027"
"LSBU-010-IDN","LSBU Sertifikasi Kontraktor Terintegrasi Indonesia (LSBU Sertindo)","LSBU","Lembaga Sertifikasi Badan Usaha (LSBU) Sektor Jasa Konstruksi","Jl. Rutte EE / Jl.. Dr. KRT. Radjiman Widyodoningrat No.49, Kel. Jatinegara, Kec. Cakung, Kota Jakarta Timur - DKI Jakarta 13930","DKI Jakarta","021 21057967","https://layanan.kan.or.id/direktori-lpk/5506/10032"
"LSBU-011-IDN","PT. SERTIFIKASI BADAN USAHA JASA KONSULTANSI","LSBU","Lembaga Sertifikasi Badan Usaha (LSBU) Sektor Jasa Konstruksi","RUKO PERKANTORAN GRAND PASAR MINGGU JL.RAWA BAMBU RAYA NO 88X","","02127806899","https://layanan.kan.or.id/direktori-lpk/5639/10032"
"LSBU-017-IDN","PT GAMANA NUSANTARA PERSADA","LSBU","Lembaga Sertifikasi Badan Usaha (LSBU) Sektor Jasa Konstruksi","Jl. Raden Saleh Raya No. 45 & 45D, Kelurahan Cikini, Kecamatan Menteng, Kota Jakarta Pusat, Provinsi DKI Jakarta","DKI Jakarta","0213101765","https://layanan.kan.or.id/direktori-lpk/12277/10032"
"LSBU-018-IDN","PT. KRIDA HANDAL JABAR","LSBU","Lembaga Sertifikasi Badan Usaha (LSBU) Sektor Jasa Konstruksi","JL. TERUSAN GALUNGGUNG NO 7 TALAGABODAS","","082261287453","https://layanan.kan.or.id/direktori-lpk/12275/10032"
"LSISPO-017-IDN","PT TRIFOS INTERNASIONAL SERTIFIKASI","LSISPO","Lembaga Sertifikasi Indonesia Sustainable Palm Oil","Jl. Anthurium No. 01, Banjarsari RT 005 RW 012, Sukoharjo, Ngaglik, Sleman, Yogyakarta","DI Yogyakarta","0274 287 4179","https://layanan.kan.or.id/direktori-lpk/4250/10015"
"LSISPO-025-IDN","PT. SDS Indonesia","LSISPO","Lembaga Sertifikasi Indonesia Sustainable Palm Oil","Jl. Srikoyo No. 117, Patrang, Kelurahan Patrang, Kabupaten Jember, Provinsi Jawa Timur","Jawa Timur","+628113431900","https://layanan.kan.or.id/direktori-lpk/4293/10015"
"LSISPO-026-IDN","PT INTI MULTIMA SERTIFIKASI","LSISPO","Lembaga Sertifikasi Indonesia Sustainable Palm Oil","JL. CIREMAI RAYA BLOK BC NO 231, KAYURINGIN JAYA, BEKASI SELATAN","Jawa Barat","0218844934","https://layanan.kan.or.id/direktori-lpk/7031/10015"
"LSP-001-IDN","Pusat Pengembangan Sumber Daya Manusia Minyak Dan Gas Bumi","LSP","Lembaga Sertifikasi Person","Jl. Sorogo No.1, Cepu, Blora","Jawa Tengah","(0296) 421 888","https://layanan.kan.or.id/direktori-lpk/326/10012"
"LSP-008-IDN","PT Quantum HRM Internasional","LSP","Lembaga Sertifikasi Person","Jl.Sidosermo I/10","","031 843 6700","https://layanan.kan.or.id/direktori-lpk/1138/10012"
"LSP-010-IDN","Deputi Bidang Sumber Daya Manusia Ilmu Pengetahuan dan Teknologi - BRIN","LSP","Lembaga Sertifikasi Person","Gedung B.J. Habibie Lantai 11, Jl. M.H. Thamrin No. 8, Jakarta Pusat, DKI Jakarta","DKI Jakarta","-","https://layanan.kan.or.id/direktori-lpk/1450/10012"
"LSP-025-IDN","Perkumpulan Persatuan Perawat Nasional Indonesia (CBP INNA)","LSP","Lembaga Sertifikasi Person","Jl. Raya Lenteng Agung No.64 Jagakarsa Jakarta Selatan","DKI Jakarta","021-22710272 Fax 021-2271-4959","https://layanan.kan.or.id/direktori-lpk/4453/10012"
"LSP-027-IDN","Lembaga Sertifikasi Person Universitas Pertahanan RI","LSP","Lembaga Sertifikasi Person","Jl. Salemba Raya No.14 RT 03/RW 06, Kenari, Kecamatan Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta Kode Pos 10430","DKI Jakarta","021 -879-54555 ext. 7197","https://layanan.kan.or.id/direktori-lpk/6892/10012"
"LSP-028-IDN","PT Lembaga Sertifikasi Profesi Teknik Manajemen Industri","LSP","Lembaga Sertifikasi Person","Indomas Mulia Office Lantai 4, Jl. Raya Pasar Minggu No. 7B, Kalibata, Pancoran,","","081311512420","https://layanan.kan.or.id/direktori-lpk/5749/10012"
"LSP-032-IDN","LSP Nano Sertifikasi Indonesia","LSP","Lembaga Sertifikasi Person","Jl. Raya Puspiptek, No A-12, Setu, Setu, Tangerang Selatan, Banten - Indonesia","Banten","021-75681294","https://layanan.kan.or.id/direktori-lpk/8171/10012"
"LSP-036-IDN","LSP SUMBER DAYA MANUSIA KONSTRUKSI INDONESIA","LSP","Lembaga Sertifikasi Person","Graha Rhema Lt.3 Jln. Utan Kayu No. 48 Jakarta Timur 13120","DKI Jakarta","(021) 2962 1792","https://layanan.kan.or.id/direktori-lpk/6957/10012"
"LSPJK-004-IDN","Yayasan Sertifikasi Profesi Katiga Konstruksi Indonesia (LSP K3 Konstruksi)","LSP","Lembaga Sertifikasi Person","Rukan Tanjung Mas Raya Blok B1 No. 28 Tanjung Barat Jagakarsa Jakarta Selatan 12530","DKI Jakarta","021-27871134","https://layanan.kan.or.id/direktori-lpk/6978/10012"
"LSPJK-005-IDN","LSP HATSINDO INDONESIA TEKNIK","LSP","Lembaga Sertifikasi Person","Graha Gemilang Group, Perkantoran Ciganjur Express, Jl. Moh. Kahfi 1 No.90A, RT.2/RW.10, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630","DKI Jakarta","(021) 27803999","https://layanan.kan.or.id/direktori-lpk/5803/10012"
"LSPJK-007-IDN","Lembaga Sertifikasi Profesi Ahli Struktur Bangunan Sipil Indonesia (LSP-ASBSI)","LSP","Lembaga Sertifikasi Person","Jl. Tebet Barat Dalam X No. 5 Jakarta Selatan","DKI Jakarta","0817260664","https://layanan.kan.or.id/direktori-lpk/8092/10012"
"LSPr 126 IDN","PT. EKUALINDO ARTHA SINERGI","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Jl. Selayar Blok D No 91, Kelurahan Jatibening, Kecamatan Pondokgede","","(021) 3871 2123","https://layanan.kan.or.id/direktori-lpk/2501/2"
"LSPr-004-IDN","Balai Standardisasi dan Pelayanan Jasa Industri Jakarta (BSPJI Jakarta)","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Jl. Cikini IV No.15 Menteng","","(021) 31925807","https://layanan.kan.or.id/direktori-lpk/279/2"
"LSPr-020-IDN","Samarinda Etam BSPJI Samarinda","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Jl. MT Haryono/Banggeris No. 1","","Telp. (0541) 7771364, 732274 Fax. (0541) 745431","https://layanan.kan.or.id/direktori-lpk/288/2"
"LSPr-027-IDN","LSPro Alsintan Ditjen PSP","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Jl. Harsono RM No. 3 Ragunan Pasar Minggu Jakarta Selatan 12550","DKI Jakarta","(021) 78833240","https://layanan.kan.or.id/direktori-lpk/499/2"
"LSPr-030-IDN","Unit Laboratorium Terpadu Institut Pertanian Bogor (LT-IPB)","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Kampus IPB Baranangsiang, Jl. Pajajaran Bogor, Jawa Barat","Jawa Barat","(0251) 8385165","https://layanan.kan.or.id/direktori-lpk/514/2"
"LSPr-032-IDN","Balai Pengujian dan Sertifikasi Mutu Barang (BPSMB) Dinas Perindustrian dan Perdagangan Provinsi Sulawesi Selatan","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Jl. A.P. Pettarani Makassar 90222","Sulawesi Selatan","0411 - 441239","https://layanan.kan.or.id/direktori-lpk/588/2"
"LSPr-034-IDN","LSPro BSPJI Manado","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Jalan Raya Mapanget, Paniki Dua, Manado","Sulawesi Utara","(0431)7244447","https://layanan.kan.or.id/direktori-lpk/714/2"
"LSPr-041-IDN","PT. CEPRINDO","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Jl. Hybrida Raya PE 10 Kav.18 Kelapa Gading - Jakarta Utara","DKI Jakarta","(021) 45842494","https://layanan.kan.or.id/direktori-lpk/595/2"
"LSPr-044-IDN","Deputi Bidang Infrastruktur Riset dan Inovasi - Direktorat Pengelolaan Laboratorium, Fasilitas Riset, dan Kawasan Sains dan Teknologi - Badan Riset dan Inovasi Nasional (BRIN) Lembaga Sertifikasi Produk Kekuatan Struktur","LSPr","Lembaga Sertifikasi Produk, Proses, Jasa","Kawasan Puspiptek Gedung 460 Serpong - Tangerang Selatan, Banten","Banten","021 7563360","https://layanan.kan.or.id/direktori-lpk/2034/2"
